year,quintil_oecd,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,1st Quintile,female,Eastern Europe,0.59916,37,37,0.43907,0.75925
2013,1st Quintile,female,Eastern Europe,0.55086,44,44,0.40219,0.69954
2014,1st Quintile,male,Eastern Europe,0.47309,74,74,0.35855,0.58762
2014,1st Quintile,female,Eastern Europe,0.49824,101,101,0.40024,0.59624
2014,2nd Quintile,male,Eastern Europe,0.55283,68,68,0.43377,0.67188
2014,2nd Quintile,female,Eastern Europe,0.44554,65,65,0.32377,0.56731
2014,3rd Quintile,male,Eastern Europe,0.37449,47,47,0.23463,0.51436
2014,3rd Quintile,female,Eastern Europe,0.40611,51,51,0.26999,0.54224
2014,4th Quintile,female,Eastern Europe,0.54792,37,37,0.38534,0.71050
2015,1st Quintile,male,Eastern Europe,0.41991,56,56,0.28948,0.55035
2015,1st Quintile,female,Eastern Europe,0.44460,84,84,0.33769,0.55150
2015,2nd Quintile,male,Eastern Europe,0.54523,50,50,0.40580,0.68465
2015,2nd Quintile,female,Eastern Europe,0.42424,61,61,0.29919,0.54930
2015,3rd Quintile,male,Eastern Europe,0.44941,45,45,0.30243,0.59639
2015,3rd Quintile,female,Eastern Europe,0.39593,49,49,0.25757,0.53428
2015,4th Quintile,female,Eastern Europe,0.34332,34,34,0.18132,0.50533
2016,1st Quintile,male,Eastern Europe,0.42476,47,47,0.28191,0.56761
2016,1st Quintile,female,Eastern Europe,0.48580,63,63,0.36139,0.61021
2016,2nd Quintile,male,Eastern Europe,0.43553,48,48,0.29378,0.57729
2016,2nd Quintile,female,Eastern Europe,0.39298,70,70,0.27774,0.50823
2016,3rd Quintile,male,Eastern Europe,0.52445,41,41,0.36968,0.67921
2016,3rd Quintile,female,Eastern Europe,0.36458,45,45,0.22236,0.50680
2016,4th Quintile,female,Eastern Europe,0.35039,35,35,0.19002,0.51076
2017,1st Quintile,male,Eastern Europe,0.44946,53,53,0.31426,0.58467
2017,1st Quintile,female,Eastern Europe,0.38306,64,64,0.26301,0.50310
2017,2nd Quintile,male,Eastern Europe,0.51902,46,46,0.37304,0.66500
2017,2nd Quintile,female,Eastern Europe,0.34457,58,58,0.22120,0.46795
2017,3rd Quintile,male,Eastern Europe,0.54138,36,36,0.37630,0.70647
2017,3rd Quintile,female,Eastern Europe,0.47033,43,43,0.31938,0.62128
2018,1st Quintile,male,Eastern Europe,0.32266,44,44,0.18293,0.46239
2018,1st Quintile,female,Eastern Europe,0.37253,67,67,0.25589,0.48918
2018,2nd Quintile,male,Eastern Europe,0.34581,45,45,0.20527,0.48635
2018,2nd Quintile,female,Eastern Europe,0.42017,60,60,0.29422,0.54611
2018,3rd Quintile,male,Eastern Europe,0.41402,45,45,0.26848,0.55956
2018,3rd Quintile,female,Eastern Europe,0.40463,46,46,0.26122,0.54803
2018,4th Quintile,female,Eastern Europe,0.36838,42,42,0.22073,0.51603
2019,1st Quintile,male,Eastern Europe,0.18933,35,35,0.05764,0.32102
2019,1st Quintile,female,Eastern Europe,0.35791,61,61,0.23661,0.47921
2019,2nd Quintile,male,Eastern Europe,0.48959,55,55,0.35626,0.62292
2019,2nd Quintile,female,Eastern Europe,0.49902,74,74,0.38432,0.61372
2019,3rd Quintile,female,Eastern Europe,0.35963,38,38,0.20500,0.51426
2019,4th Quintile,female,Eastern Europe,0.43129,32,32,0.25695,0.60563
2019,5th Quintile,female,Eastern Europe,0.26784,35,35,0.11898,0.41669
2020,1st Quintile,male,Eastern Europe,0.20122,42,42,0.07850,0.32394
2020,1st Quintile,female,Eastern Europe,0.30914,72,72,0.20164,0.41664
2020,2nd Quintile,male,Eastern Europe,0.26600,44,44,0.13392,0.39807
2020,2nd Quintile,female,Eastern Europe,0.34920,65,65,0.23240,0.46600
2020,3rd Quintile,female,Eastern Europe,0.40012,45,45,0.25536,0.54488
2020,4th Quintile,female,Eastern Europe,0.34514,41,41,0.19781,0.49247
2021,1st Quintile,male,Eastern Europe,0.36784,35,35,0.20575,0.52993
2021,1st Quintile,female,Eastern Europe,0.27657,45,45,0.14440,0.40874
2021,2nd Quintile,male,Eastern Europe,0.42451,34,34,0.25587,0.59315
2021,2nd Quintile,female,Eastern Europe,0.32847,45,45,0.18969,0.46724
2021,3rd Quintile,female,Eastern Europe,0.46195,34,34,0.29185,0.63205
2022,1st Quintile,male,Western Asia,0.31241,63,99,0.22064,0.40417
2022,1st Quintile,male,Eastern Europe,0.37893,36,99,0.28288,0.47498
2022,1st Quintile,female,Western Asia,0.13979,36,82,0.06427,0.21531
2022,1st Quintile,female,Eastern Europe,0.39947,46,82,0.29280,0.50613
2022,2nd Quintile,female,Eastern Europe,0.36122,37,37,0.20430,0.51813
