year,quintil_oecd,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,2nd Quintile,Eastern Europe,0.67154,37,37,0.51812,0.82496
2003,2nd Quintile,Eastern Europe,0.53950,31,31,0.36113,0.71786
2005,1st Quintile,Eastern Europe,0.55583,34,34,0.38630,0.72536
2007,1st Quintile,Eastern Europe,0.43140,32,32,0.25705,0.60575
2008,3rd Quintile,Eastern Europe,0.58342,34,34,0.41522,0.75163
2012,1st Quintile,Eastern Europe,0.57919,57,57,0.44989,0.70850
2012,2nd Quintile,Eastern Europe,0.44569,55,55,0.31312,0.57826
2012,3rd Quintile,Eastern Europe,0.45242,43,43,0.30189,0.60296
2013,1st Quintile,Eastern Europe,0.55479,73,73,0.43999,0.66959
2013,2nd Quintile,Eastern Europe,0.55909,56,56,0.42787,0.69030
2013,3rd Quintile,Eastern Europe,0.54742,40,40,0.39120,0.70364
2014,1st Quintile,Western Asia,0.15211,42,217,0.10422,0.20001
2014,1st Quintile,Eastern Europe,0.48568,175,217,0.41903,0.55234
2014,2nd Quintile,Southern Europe,0.09461,34,167,0.05009,0.13914
2014,2nd Quintile,Eastern Europe,0.49329,133,167,0.41724,0.56935
2014,3rd Quintile,Southern Europe,0.21446,45,143,0.14695,0.28197
2014,3rd Quintile,Eastern Europe,0.39118,98,143,0.31092,0.47145
2014,4th Quintile,Eastern Europe,0.55840,65,65,0.43674,0.68006
2014,5th Quintile,Southern Europe,0.21156,36,70,0.11519,0.30793
2014,5th Quintile,Eastern Europe,0.25211,34,70,0.14965,0.35456
2015,1st Quintile,Western Asia,0.22051,44,184,0.16044,0.28058
2015,1st Quintile,Eastern Europe,0.43339,140,184,0.36159,0.50518
2015,2nd Quintile,Southern Europe,0.07398,31,142,0.03078,0.11718
2015,2nd Quintile,Eastern Europe,0.47547,111,142,0.39303,0.55790
2015,3rd Quintile,Southern Europe,0.25861,34,128,0.18246,0.33477
2015,3rd Quintile,Eastern Europe,0.41985,94,128,0.33402,0.50569
2015,4th Quintile,Eastern Europe,0.35041,61,61,0.22969,0.47113
2015,5th Quintile,Southern Europe,0.16476,34,66,0.07457,0.25494
2015,5th Quintile,Eastern Europe,0.26882,32,66,0.16104,0.37660
2016,1st Quintile,Western Asia,0.20405,43,153,0.13998,0.26812
2016,1st Quintile,Eastern Europe,0.45689,110,153,0.37769,0.53608
2016,2nd Quintile,Southern Europe,0.10898,32,150,0.05895,0.15902
2016,2nd Quintile,Eastern Europe,0.40965,118,150,0.33069,0.48861
2016,3rd Quintile,Eastern Europe,0.42423,86,86,0.31916,0.52929
2016,4th Quintile,Southern Europe,0.20870,36,97,0.12741,0.28999
2016,4th Quintile,Eastern Europe,0.30735,61,97,0.21505,0.39964
2016,5th Quintile,Eastern Europe,0.33376,42,42,0.18942,0.47810
2017,1st Quintile,Southern Europe,0.13447,35,196,0.08658,0.18235
2017,1st Quintile,Western Asia,0.16944,44,196,0.11679,0.22209
2017,1st Quintile,Eastern Europe,0.41486,117,196,0.34571,0.48401
2017,2nd Quintile,Eastern Europe,0.40786,104,104,0.31295,0.50277
2017,3rd Quintile,Eastern Europe,0.49972,79,79,0.38876,0.61069
2017,4th Quintile,Southern Europe,0.35694,33,83,0.25324,0.46064
2017,4th Quintile,Eastern Europe,0.21472,50,83,0.12584,0.30360
2017,5th Quintile,Southern Europe,0.20413,36,79,0.11468,0.29358
2017,5th Quintile,Eastern Europe,0.27853,43,79,0.17905,0.37801
2018,1st Quintile,Western Asia,0.12040,36,147,0.06761,0.17319
2018,1st Quintile,Eastern Europe,0.34860,111,147,0.27130,0.42590
2018,2nd Quintile,Eastern Europe,0.38623,105,105,0.29265,0.47980
2018,3rd Quintile,Eastern Europe,0.40917,91,91,0.30759,0.51075
2018,4th Quintile,Eastern Europe,0.38928,69,69,0.27339,0.50517
2018,5th Quintile,Southern Europe,0.31495,44,88,0.21735,0.41256
2018,5th Quintile,Eastern Europe,0.33182,44,88,0.23288,0.43077
2019,1st Quintile,Western Asia,0.11884,37,133,0.06363,0.17404
2019,1st Quintile,Eastern Europe,0.28005,96,133,0.20345,0.35665
2019,2nd Quintile,Eastern Europe,0.49628,129,129,0.40966,0.58290
2019,3rd Quintile,Southern Europe,0.21779,40,107,0.13921,0.29636
2019,3rd Quintile,Eastern Europe,0.39920,67,107,0.30597,0.49243
2019,4th Quintile,Eastern Europe,0.44970,53,53,0.31449,0.58491
2019,5th Quintile,Southern Europe,0.23858,44,104,0.15627,0.32089
2019,5th Quintile,Eastern Europe,0.29327,60,104,0.20535,0.38120
2020,1st Quintile,Southern Europe,0.08500,36,201,0.04635,0.12365
2020,1st Quintile,Western Asia,0.21072,51,201,0.15420,0.26725
2020,1st Quintile,Eastern Europe,0.26392,114,201,0.20283,0.32500
2020,2nd Quintile,Southern Europe,0.32082,35,144,0.24431,0.39733
2020,2nd Quintile,Eastern Europe,0.30442,109,144,0.22900,0.37984
2020,3rd Quintile,Southern Europe,0.23854,36,111,0.15889,0.31818
2020,3rd Quintile,Eastern Europe,0.38513,75,111,0.29419,0.47607
2020,4th Quintile,Eastern Europe,0.36322,70,70,0.24974,0.47670
2020,5th Quintile,Southern Europe,0.24680,54,110,0.16586,0.32774
2020,5th Quintile,Eastern Europe,0.23814,56,110,0.15818,0.31811
2021,1st Quintile,Western Asia,0.18293,31,111,0.11068,0.25518
2021,1st Quintile,Eastern Europe,0.31819,80,111,0.23115,0.40523
2021,2nd Quintile,Eastern Europe,0.37396,79,79,0.26658,0.48134
2021,3rd Quintile,Eastern Europe,0.35797,54,54,0.22890,0.48704
2021,4th Quintile,Eastern Europe,0.29006,41,41,0.14943,0.43069
2021,5th Quintile,Southern Europe,0.33332,38,83,0.23129,0.43535
2021,5th Quintile,Eastern Europe,0.29093,45,83,0.19262,0.38924
2022,1st Quintile,Western Asia,0.21274,99,181,0.15296,0.27253
2022,1st Quintile,Eastern Europe,0.39079,82,181,0.31951,0.46207
2022,2nd Quintile,Eastern Europe,0.26456,57,57,0.14903,0.38009
2022,3rd Quintile,Eastern Europe,0.20189,40,40,0.07591,0.32788
2022,4th Quintile,Eastern Europe,0.30928,38,38,0.16035,0.45821
2022,5th Quintile,Eastern Europe,0.18064,35,35,0.05132,0.30996
