year,bula_h,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,North Rhine-Westphalia,female,Eastern Europe,0.01190,34,34,-0.02510,0.04891
2012,North Rhine-Westphalia,male,Eastern Europe,0.01495,31,31,-0.02847,0.05837
2012,North Rhine-Westphalia,female,Eastern Europe,0.01276,45,45,-0.02040,0.04591
2013,Lower Saxony,female,Eastern Europe,0.00840,32,32,-0.02373,0.04053
2013,North Rhine-Westphalia,male,Eastern Europe,0.00936,61,61,-0.01501,0.03373
2013,North Rhine-Westphalia,female,Eastern Europe,0.00849,79,79,-0.01187,0.02885
2013,Baden-Wuerttemberg,male,Eastern Europe,0.00772,40,40,-0.01975,0.03520
2013,Baden-Wuerttemberg,female,Eastern Europe,0.00859,45,45,-0.01868,0.03587
2013,Bavaria,male,Eastern Europe,0.00696,40,40,-0.01914,0.03306
2013,Bavaria,female,Eastern Europe,0.00962,64,64,-0.01448,0.03373
2014,North Rhine-Westphalia,male,Eastern Europe,0.00711,48,48,-0.01691,0.03113
2014,North Rhine-Westphalia,female,Eastern Europe,0.00823,72,72,-0.01278,0.02924
2014,Baden-Wuerttemberg,male,Eastern Europe,0.00814,42,42,-0.01936,0.03564
2014,Baden-Wuerttemberg,female,Eastern Europe,0.00864,40,40,-0.02041,0.03768
2014,Bavaria,male,Eastern Europe,0.00849,36,36,-0.02191,0.03890
2014,Bavaria,female,Eastern Europe,0.00762,52,52,-0.01625,0.03148
2015,Lower Saxony,female,Eastern Europe,0.01029,33,33,-0.02468,0.04526
2015,North Rhine-Westphalia,male,Eastern Europe,0.00532,41,41,-0.01722,0.02785
2015,North Rhine-Westphalia,female,Eastern Europe,0.00613,69,69,-0.01242,0.02469
2015,Baden-Wuerttemberg,male,Eastern Europe,0.00880,35,35,-0.02259,0.04018
2015,Baden-Wuerttemberg,female,Eastern Europe,0.00773,32,32,-0.02310,0.03856
2015,Bavaria,male,Eastern Europe,0.00724,35,35,-0.02125,0.03572
2015,Bavaria,female,Eastern Europe,0.00981,50,50,-0.01779,0.03742
2016,Lower Saxony,female,Eastern Europe,0.01089,32,32,-0.02564,0.04741
2016,North Rhine-Westphalia,male,Eastern Europe,0.00894,41,41,-0.02023,0.03810
2016,North Rhine-Westphalia,female,Eastern Europe,0.00748,59,59,-0.01469,0.02965
2016,Baden-Wuerttemberg,male,Eastern Europe,0.00770,34,34,-0.02212,0.03752
2016,Bavaria,female,Eastern Europe,0.01094,46,46,-0.01945,0.04133
2017,Lower Saxony,female,Eastern Europe,0.00951,35,35,-0.02311,0.04213
2017,North Rhine-Westphalia,male,Eastern Europe,0.00889,40,40,-0.02057,0.03836
2017,North Rhine-Westphalia,female,Eastern Europe,0.00840,58,58,-0.01529,0.03208
2017,Baden-Wuerttemberg,female,Eastern Europe,0.00961,32,32,-0.02473,0.04394
2017,Bavaria,male,Eastern Europe,0.01058,34,34,-0.02433,0.04548
2017,Bavaria,female,Eastern Europe,0.00796,42,42,-0.01924,0.03515
2018,Lower Saxony,female,Eastern Europe,0.00871,32,32,-0.02400,0.04142
2018,North Rhine-Westphalia,male,Eastern Europe,0.01134,49,49,-0.01861,0.04129
2018,North Rhine-Westphalia,female,Eastern Europe,0.00981,65,65,-0.01434,0.03396
2018,Bavaria,male,Eastern Europe,0.00818,32,32,-0.02353,0.03990
2018,Bavaria,female,Eastern Europe,0.00914,58,58,-0.01557,0.03385
2019,Lower Saxony,female,Eastern Europe,0.01072,33,33,-0.02496,0.04640
2019,North Rhine-Westphalia,male,Eastern Europe,0.01221,44,44,-0.02062,0.04504
2019,North Rhine-Westphalia,female,Eastern Europe,0.01087,65,65,-0.01453,0.03627
2019,Bavaria,female,Eastern Europe,0.01075,46,46,-0.01938,0.04087
2020,Lower Saxony,female,Eastern Europe,0.00398,37,37,-0.01659,0.02455
2020,North Rhine-Westphalia,male,Eastern Europe,0.00556,53,53,-0.01465,0.02578
2020,North Rhine-Westphalia,female,Eastern Europe,0.00478,68,68,-0.01173,0.02128
2020,Baden-Wuerttemberg,female,Eastern Europe,0.00502,37,37,-0.01806,0.02810
2020,Bavaria,male,Eastern Europe,0.00390,31,31,-0.01840,0.02619
2020,Bavaria,female,Eastern Europe,0.00327,49,49,-0.01288,0.01941
2021,North Rhine-Westphalia,male,Eastern Europe,0.00576,33,33,-0.02045,0.03197
2021,North Rhine-Westphalia,female,Eastern Europe,0.00723,49,49,-0.01674,0.03121
2021,Bavaria,female,Eastern Europe,0.00501,38,38,-0.01774,0.02775
2022,North Rhine-Westphalia,male,Western Asia,0.00302,40,77,-0.00932,0.01535
2022,North Rhine-Westphalia,male,Eastern Europe,0.00653,37,77,-0.01158,0.02463
2022,North Rhine-Westphalia,female,Southern Europe,0.00532,38,106,-0.00859,0.01924
2022,North Rhine-Westphalia,female,Eastern Europe,0.00951,68,106,-0.00905,0.02806
2022,Bavaria,female,Eastern Europe,0.00738,43,43,-0.01850,0.03326
