year,migback,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Direct migration background,male,Eastern Europe,0.03420,55,55,-0.01428,0.08267
2000,Direct migration background,female,Eastern Europe,0.04200,68,68,-0.00603,0.09003
2001,Direct migration background,male,Eastern Europe,0.02863,40,40,-0.02371,0.08097
2001,Direct migration background,female,Eastern Europe,0.03195,48,48,-0.01833,0.08222
2002,Direct migration background,male,Eastern Europe,0.03512,45,45,-0.01927,0.08951
2002,Direct migration background,female,Eastern Europe,0.04003,52,52,-0.01377,0.09383
2003,Direct migration background,male,Eastern Europe,0.03823,44,44,-0.01908,0.09555
2003,Direct migration background,female,Eastern Europe,0.04070,52,52,-0.01353,0.09494
2004,Direct migration background,male,Eastern Europe,0.03542,37,37,-0.02496,0.09580
2004,Direct migration background,female,Eastern Europe,0.04065,49,49,-0.01522,0.09652
2005,Direct migration background,male,Eastern Europe,0.03543,38,38,-0.02414,0.09499
2005,Direct migration background,female,Eastern Europe,0.05343,59,59,-0.00445,0.11130
2006,Direct migration background,male,Eastern Europe,0.03357,39,39,-0.02370,0.09084
2006,Direct migration background,female,Eastern Europe,0.04408,57,57,-0.00969,0.09784
2007,Direct migration background,male,Eastern Europe,0.03867,43,43,-0.01964,0.09698
2007,Direct migration background,female,Eastern Europe,0.05813,65,65,0.00080,0.11546
2008,Direct migration background,male,Eastern Europe,0.04654,43,43,-0.01717,0.11025
2008,Direct migration background,female,Eastern Europe,0.05369,62,62,-0.00288,0.11026
2009,Direct migration background,male,Eastern Europe,0.05141,42,42,-0.01619,0.11900
2009,Direct migration background,female,Eastern Europe,0.05321,56,56,-0.00611,0.11253
2010,Direct migration background,male,Eastern Europe,0.04911,77,77,0.00053,0.09770
2010,Direct migration background,female,Eastern Europe,0.05470,102,102,0.01035,0.09905
2010,Indirect migration background,female,Southern Europe,0.01573,31,31,-0.02879,0.06025
2011,Direct migration background,male,Eastern Europe,0.05195,56,56,-0.00670,0.11060
2011,Direct migration background,female,Eastern Europe,0.04578,79,79,-0.00060,0.09217
2012,Direct migration background,male,Eastern Europe,0.06970,92,92,0.01738,0.12202
2012,Direct migration background,female,Eastern Europe,0.06522,132,132,0.02294,0.10751
2013,Direct migration background,male,Eastern Europe,0.05538,241,241,0.02644,0.08432
2013,Direct migration background,female,Central Asia,0.00579,38,385,-0.00180,0.01337
2013,Direct migration background,female,Western Asia,0.00610,33,385,-0.00169,0.01389
2013,Direct migration background,female,Eastern Europe,0.05322,314,385,0.03077,0.07567
2013,Indirect migration background,male,Southern Europe,0.01551,56,56,-0.01715,0.04817
2013,Indirect migration background,female,Southern Europe,0.01341,57,57,-0.01672,0.04355
2014,Direct migration background,male,Eastern Europe,0.05074,222,222,0.02180,0.07967
2014,Direct migration background,female,Central Asia,0.00607,32,299,-0.00275,0.01490
2014,Direct migration background,female,Eastern Europe,0.04795,267,299,0.02369,0.07221
2014,Indirect migration background,male,Southern Europe,0.01784,59,59,-0.01623,0.05190
2014,Indirect migration background,female,Southern Europe,0.01230,50,50,-0.01856,0.04317
2015,Direct migration background,male,Western Asia,0.00789,31,226,-0.00367,0.01946
2015,Direct migration background,male,Eastern Europe,0.04362,195,226,0.01693,0.07030
2015,Direct migration background,female,Central Asia,0.00621,34,316,-0.00246,0.01489
2015,Direct migration background,female,Western Asia,0.00872,31,316,-0.00155,0.01898
2015,Direct migration background,female,Eastern Europe,0.04630,251,316,0.02310,0.06951
2015,Indirect migration background,male,Southern Europe,0.01542,47,47,-0.02019,0.05102
2015,Indirect migration background,female,Southern Europe,0.01629,49,49,-0.01952,0.05210
2016,Direct migration background,male,Eastern Europe,0.04185,168,168,0.01148,0.07222
2016,Direct migration background,female,Western Asia,0.00855,31,257,-0.00273,0.01983
2016,Direct migration background,female,Eastern Europe,0.04541,226,257,0.01991,0.07092
2016,Indirect migration background,male,Southern Europe,0.01904,45,45,-0.02134,0.05941
2016,Indirect migration background,female,Southern Europe,0.02002,44,44,-0.02185,0.06189
2017,Direct migration background,male,Eastern Europe,0.04885,179,179,0.01718,0.08051
2017,Direct migration background,female,Eastern Europe,0.04838,239,239,0.02112,0.07565
2017,Indirect migration background,male,Southern Europe,0.02168,48,48,-0.01996,0.06331
2017,Indirect migration background,female,Southern Europe,0.02695,55,55,-0.01624,0.07014
2018,Direct migration background,male,Eastern Europe,0.04540,171,171,0.01411,0.07670
2018,Direct migration background,female,Eastern Europe,0.05062,251,251,0.02344,0.07779
2018,Indirect migration background,male,Southern Europe,0.02056,44,80,-0.01073,0.05186
2018,Indirect migration background,male,Western Asia,0.01480,36,80,-0.01183,0.04142
2018,Indirect migration background,female,Southern Europe,0.02317,52,52,-0.01812,0.06447
2019,Direct migration background,male,Eastern Europe,0.04515,157,157,0.01257,0.07773
2019,Direct migration background,female,Eastern Europe,0.05871,235,235,0.02859,0.08883
2019,Indirect migration background,male,Southern Europe,0.02947,51,51,-0.01741,0.07634
2019,Indirect migration background,female,Southern Europe,0.02440,58,58,-0.01565,0.06445
2020,Direct migration background,male,Southern Europe,0.00940,50,252,-0.00254,0.02134
2020,Direct migration background,male,Western Asia,0.00410,35,252,-0.00381,0.01201
2020,Direct migration background,male,Eastern Europe,0.02191,167,252,0.00380,0.04002
2020,Direct migration background,female,Southern Europe,0.01024,36,330,-0.00064,0.02111
2020,Direct migration background,female,Western Asia,0.00359,37,330,-0.00287,0.01005
2020,Direct migration background,female,Eastern Europe,0.02401,257,330,0.00747,0.04055
2020,Indirect migration background,male,Southern Europe,0.00960,49,49,-0.01798,0.03718
2020,Indirect migration background,female,Southern Europe,0.01021,60,60,-0.01544,0.03585
2021,Direct migration background,male,Southern Europe,0.00591,32,139,-0.00688,0.01869
2021,Direct migration background,male,Eastern Europe,0.02392,107,139,-0.00157,0.04942
2021,Direct migration background,female,Southern Europe,0.01752,33,194,-0.00099,0.03603
2021,Direct migration background,female,Eastern Europe,0.03187,161,194,0.00709,0.05665
2021,Indirect migration background,male,Southern Europe,0.00904,31,31,-0.02483,0.04291
2022,Direct migration background,male,Southern Europe,0.00721,43,272,-0.00286,0.01729
2022,Direct migration background,male,Western Asia,0.00869,109,272,-0.00236,0.01973
2022,Direct migration background,male,Eastern Europe,0.02862,120,272,0.00877,0.04847
2022,Direct migration background,female,Southern Europe,0.01460,48,341,0.00185,0.02735
2022,Direct migration background,female,Western Asia,0.00500,58,341,-0.00250,0.01249
2022,Direct migration background,female,Eastern Europe,0.03539,197,341,0.01575,0.05503
2022,Direct migration background,female,Latin America and the Caribbean,0.00536,38,341,-0.00240,0.01312
2022,Indirect migration background,male,Southern Europe,0.02066,43,43,-0.02236,0.06368
2022,Indirect migration background,female,Southern Europe,0.01820,43,43,-0.02223,0.05863
