year,bula_h,migback,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.04298,37,37,-0.02327,0.10923
2005,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.04293,32,32,-0.02843,0.11428
2008,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.06860,37,37,-0.01397,0.15118
2010,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.07115,61,61,0.00610,0.13620
2011,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.05547,40,40,-0.01637,0.12732
2012,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.08312,72,72,0.01891,0.14734
2012,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.04437,31,31,-0.02932,0.11805
2012,Bavaria,Direct migration background,Eastern Europe,0.06129,34,34,-0.02055,0.14313
2013,Lower Saxony,Direct migration background,Eastern Europe,0.06429,56,56,-0.00053,0.12910
2013,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.05597,134,134,0.01691,0.09504
2013,North Rhine-Westphalia,Indirect migration background,Southern Europe,0.01257,33,33,-0.02603,0.05117
2013,Hesse,Direct migration background,Eastern Europe,0.03834,45,45,-0.01840,0.09508
2013,"Rhineland-Palatinate, Saarland",Direct migration background,Eastern Europe,0.04751,40,40,-0.01926,0.11427
2013,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.04444,82,82,-0.00044,0.08932
2013,Bavaria,Direct migration background,Eastern Europe,0.05464,99,99,0.00964,0.09964
2014,Lower Saxony,Direct migration background,Eastern Europe,0.06634,58,58,0.00173,0.13095
2014,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.04845,116,116,0.00921,0.08769
2014,Hesse,Direct migration background,Eastern Europe,0.02641,33,33,-0.02915,0.08197
2014,"Rhineland-Palatinate, Saarland",Direct migration background,Eastern Europe,0.04404,38,38,-0.02207,0.11016
2014,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.04566,80,80,-0.00037,0.09169
2014,Bavaria,Direct migration background,Eastern Europe,0.05459,86,86,0.00629,0.10288
2015,Lower Saxony,Direct migration background,Eastern Europe,0.07264,55,55,0.00341,0.14187
2015,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.03448,106,106,-0.00042,0.06938
2015,"Rhineland-Palatinate, Saarland",Direct migration background,Eastern Europe,0.04244,39,39,-0.02166,0.10654
2015,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.04535,64,64,-0.00603,0.09673
2015,Bavaria,Direct migration background,Eastern Europe,0.05470,83,83,0.00548,0.10391
2016,Lower Saxony,Direct migration background,Eastern Europe,0.06567,52,52,-0.00231,0.13366
2016,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.04813,94,94,0.00463,0.09163
2016,"Rhineland-Palatinate, Saarland",Direct migration background,Eastern Europe,0.02908,31,31,-0.03105,0.08921
2016,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.03460,58,58,-0.01285,0.08204
2016,Bavaria,Direct migration background,Eastern Europe,0.05129,70,70,-0.00076,0.10334
2017,Lower Saxony,Direct migration background,Eastern Europe,0.06528,56,56,-0.00000,0.13057
2017,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.05089,92,92,0.00574,0.09605
2017,Hesse,Direct migration background,Eastern Europe,0.04031,34,34,-0.02680,0.10742
2017,"Rhineland-Palatinate, Saarland",Direct migration background,Eastern Europe,0.04603,38,38,-0.02149,0.11356
2017,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.04697,55,55,-0.00946,0.10341
2017,Bavaria,Direct migration background,Eastern Europe,0.05726,74,74,0.00396,0.11056
2018,Lower Saxony,Direct migration background,Eastern Europe,0.06034,52,52,-0.00501,0.12569
2018,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.05820,107,107,0.01363,0.10277
2018,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.04693,50,50,-0.01229,0.10615
2018,Bavaria,Direct migration background,Eastern Europe,0.05413,88,88,0.00658,0.10167
2019,Lower Saxony,Direct migration background,Eastern Europe,0.07082,55,55,0.00240,0.13924
2019,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.05955,101,101,0.01317,0.10594
2019,North Rhine-Westphalia,Indirect migration background,Southern Europe,0.02334,36,36,-0.02668,0.07336
2019,"Rhineland-Palatinate, Saarland",Direct migration background,Eastern Europe,0.05149,32,32,-0.02631,0.12928
2019,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.05186,47,47,-0.01222,0.11594
2019,Bavaria,Direct migration background,Eastern Europe,0.05495,72,72,0.00194,0.10796
2020,Lower Saxony,Direct migration background,Eastern Europe,0.02639,57,57,-0.01559,0.06837
2020,North Rhine-Westphalia,Direct migration background,Eastern Europe,0.02804,109,109,-0.00310,0.05918
2020,North Rhine-Westphalia,Indirect migration background,Southern Europe,0.00690,34,34,-0.02134,0.03513
2020,Baden-Wuerttemberg,Direct migration background,Eastern Europe,0.02586,58,58,-0.01534,0.06707
