year,age_gr,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,female,Eastern Europe,0.00767,31,31,-0.02355,0.03889
2010,30-45 y.,male,Eastern Europe,0.01017,42,42,-0.02054,0.04089
2010,30-45 y.,female,Eastern Europe,0.01258,48,48,-0.01928,0.04444
2011,46-65 y.,female,Eastern Europe,0.01156,44,44,-0.02039,0.04352
2012,30-45 y.,male,Eastern Europe,0.01407,43,43,-0.02155,0.04969
2012,30-45 y.,female,Eastern Europe,0.01204,55,55,-0.01705,0.04113
2012,46-65 y.,female,Eastern Europe,0.01262,51,51,-0.01832,0.04357
2013,17-29 y.,male,Eastern Europe,0.00650,59,59,-0.01418,0.02719
2013,17-29 y.,female,Southern Europe,0.00412,32,101,-0.00843,0.01668
2013,17-29 y.,female,Eastern Europe,0.01206,69,101,-0.00933,0.03345
2013,30-45 y.,male,Southern Europe,0.00387,38,145,-0.00627,0.01402
2013,30-45 y.,male,Eastern Europe,0.01237,107,145,-0.00568,0.03042
2013,30-45 y.,female,Southern Europe,0.00298,38,174,-0.00514,0.01111
2013,30-45 y.,female,Eastern Europe,0.00957,136,174,-0.00494,0.02408
2013,46-65 y.,male,Eastern Europe,0.00927,74,74,-0.01271,0.03125
2013,46-65 y.,female,Eastern Europe,0.00948,104,104,-0.00923,0.02819
2014,17-29 y.,male,Eastern Europe,0.00621,50,50,-0.01579,0.02822
2014,17-29 y.,female,Eastern Europe,0.00717,43,43,-0.01835,0.03269
2014,30-45 y.,male,Southern Europe,0.00575,41,135,-0.00705,0.01856
2014,30-45 y.,male,Eastern Europe,0.01178,94,135,-0.00649,0.03006
2014,30-45 y.,female,Southern Europe,0.00327,36,151,-0.00586,0.01240
2014,30-45 y.,female,Eastern Europe,0.01034,115,151,-0.00585,0.02653
2014,46-65 y.,male,Eastern Europe,0.00836,69,69,-0.01328,0.03000
2014,46-65 y.,female,Eastern Europe,0.00941,101,101,-0.00951,0.02834
2015,17-29 y.,male,Eastern Europe,0.00825,48,48,-0.01761,0.03412
2015,17-29 y.,female,Eastern Europe,0.00769,44,44,-0.01842,0.03381
2015,30-45 y.,male,Southern Europe,0.00520,36,122,-0.00762,0.01802
2015,30-45 y.,male,Eastern Europe,0.01180,86,122,-0.00744,0.03104
2015,30-45 y.,female,Southern Europe,0.00402,35,145,-0.00632,0.01436
2015,30-45 y.,female,Eastern Europe,0.00825,110,145,-0.00652,0.02303
2015,46-65 y.,male,Eastern Europe,0.00676,61,61,-0.01397,0.02750
2015,46-65 y.,female,Eastern Europe,0.00984,87,87,-0.01102,0.03069
2016,17-29 y.,male,Eastern Europe,0.00951,38,38,-0.02176,0.04078
2016,17-29 y.,female,Eastern Europe,0.00696,39,39,-0.01948,0.03341
2016,30-45 y.,male,Eastern Europe,0.01159,68,68,-0.01404,0.03723
2016,30-45 y.,female,Eastern Europe,0.01009,99,99,-0.00970,0.02987
2016,46-65 y.,male,Eastern Europe,0.00776,65,65,-0.01374,0.02926
2016,46-65 y.,female,Eastern Europe,0.00911,83,83,-0.01145,0.02968
2017,17-29 y.,male,Eastern Europe,0.00585,36,36,-0.01942,0.03113
2017,17-29 y.,female,Eastern Europe,0.00442,31,31,-0.01931,0.02814
2017,30-45 y.,male,Southern Europe,0.00747,32,97,-0.00975,0.02469
