year,age_gr,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,Eastern Europe,0.51231,55,55,0.37899,0.64563
2001,30-45 y.,Eastern Europe,0.51292,44,44,0.36352,0.66232
2002,30-45 y.,Eastern Europe,0.43929,35,35,0.27246,0.60611
2003,30-45 y.,Eastern Europe,0.50806,41,41,0.35313,0.66300
2004,30-45 y.,Eastern Europe,0.46426,32,32,0.28870,0.63982
2005,30-45 y.,Eastern Europe,0.55861,41,41,0.40473,0.71249
2006,30-45 y.,Eastern Europe,0.40811,34,34,0.24042,0.57580
2006,46-65 y.,Eastern Europe,0.44731,31,31,0.26938,0.62523
2007,30-45 y.,Eastern Europe,0.46618,37,37,0.30322,0.62914
2007,46-65 y.,Eastern Europe,0.46922,34,34,0.29895,0.63950
2008,30-45 y.,Eastern Europe,0.48954,33,33,0.31633,0.66274
2008,46-65 y.,Eastern Europe,0.56212,42,42,0.41025,0.71398
2009,30-45 y.,Eastern Europe,0.50607,32,32,0.33007,0.68207
2009,46-65 y.,Eastern Europe,0.58926,41,41,0.43680,0.74173
2010,17-29 y.,Southern Europe,0.13095,32,77,0.05510,0.20679
2010,17-29 y.,Eastern Europe,0.23556,45,77,0.14016,0.33097
2010,30-45 y.,Southern Europe,0.20220,41,167,0.14110,0.26329
2010,30-45 y.,Western Asia,0.09273,36,167,0.04861,0.13686
2010,30-45 y.,Eastern Europe,0.46293,90,167,0.38708,0.53879
2010,46-65 y.,Eastern Europe,0.50161,45,45,0.35387,0.64935
2011,30-45 y.,Southern Europe,0.28109,35,70,0.17502,0.38716
2011,30-45 y.,Eastern Europe,0.42313,35,70,0.30656,0.53971
2011,46-65 y.,Eastern Europe,0.63443,69,69,0.51996,0.74889
2012,17-29 y.,Eastern Europe,0.39909,42,42,0.24919,0.54899
2012,30-45 y.,Southern Europe,0.17575,44,142,0.11293,0.23857
2012,30-45 y.,Eastern Europe,0.46012,98,142,0.37785,0.54239
2012,46-65 y.,Eastern Europe,0.66613,80,80,0.56213,0.77012
2013,17-29 y.,Southern Europe,0.13706,59,232,0.09271,0.18141
2013,17-29 y.,Western Asia,0.16202,45,232,0.11451,0.20954
2013,17-29 y.,Eastern Europe,0.33517,128,232,0.27429,0.39604
2013,30-45 y.,Southern Europe,0.13869,76,366,0.10323,0.17415
2013,30-45 y.,Western Asia,0.09829,47,366,0.06774,0.12883
2013,30-45 y.,Eastern Europe,0.44363,243,366,0.39266,0.49460
2013,46-65 y.,Eastern Europe,0.62588,178,178,0.55459,0.69717
2013,66 and older,Eastern Europe,0.53766,32,32,0.36215,0.71318
2014,17-29 y.,Southern Europe,0.13064,51,183,0.08168,0.17960
2014,17-29 y.,Western Asia,0.19587,39,183,0.13821,0.25352
2014,17-29 y.,Eastern Europe,0.25132,93,183,0.18830,0.31434
2014,30-45 y.,Southern Europe,0.17099,77,327,0.13012,0.21186
2014,30-45 y.,Western Asia,0.08513,41,327,0.05483,0.11542
2014,30-45 y.,Eastern Europe,0.41942,209,327,0.36586,0.47299
2014,46-65 y.,Southern Europe,0.09150,31,201,0.05154,0.13146
2014,46-65 y.,Eastern Europe,0.64868,170,201,0.58252,0.71484
2014,66 and older,Eastern Europe,0.43184,33,33,0.26022,0.60346
2015,17-29 y.,Southern Europe,0.15664,41,173,0.10232,0.21095
2015,17-29 y.,Western Asia,0.19015,40,173,0.13150,0.24879
2015,17-29 y.,Eastern Europe,0.24562,92,173,0.18129,0.30995
