year,pgisced97,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Upper Secondary Level,male,Eastern Europe,0.59986,31,31,0.42454,0.77517
2010,Upper Secondary Level,male,Eastern Europe,0.46448,43,43,0.31364,0.61531
2010,Upper Secondary Level,female,Eastern Europe,0.24682,37,37,0.10597,0.38766
2011,Upper Secondary Level,male,Eastern Europe,0.51816,31,31,0.33935,0.69696
2012,Upper Secondary Level,male,Eastern Europe,0.53406,42,42,0.38136,0.68675
2012,Upper Secondary Level,female,Eastern Europe,0.33816,46,46,0.19994,0.47639
2012,Post-secondary Non-tertiary Level,female,Eastern Europe,0.75635,31,31,0.60273,0.90997
2012,Second Stage of Tertiary Education,female,Eastern Europe,0.55440,33,33,0.38218,0.72661
2013,Lower Secondary Level,male,Eastern Europe,0.44084,42,42,0.28887,0.59282
2013,Lower Secondary Level,female,Eastern Europe,0.49341,45,45,0.34568,0.64113
2013,Upper Secondary Level,male,Eastern Europe,0.47527,101,101,0.37739,0.57315
2013,Upper Secondary Level,female,Southern Europe,0.14557,35,153,0.08950,0.20164
2013,Upper Secondary Level,female,Eastern Europe,0.45093,118,153,0.37182,0.53003
2013,Post-secondary Non-tertiary Level,male,Eastern Europe,0.66579,32,32,0.49974,0.83185
2013,Post-secondary Non-tertiary Level,female,Eastern Europe,0.70079,57,57,0.58086,0.82073
2013,Second Stage of Tertiary Education,male,Eastern Europe,0.44659,58,58,0.31752,0.57565
2013,Second Stage of Tertiary Education,female,Eastern Europe,0.39180,78,78,0.28277,0.50084
2014,Lower Secondary Level,male,Eastern Europe,0.41275,36,36,0.24964,0.57586
2014,Lower Secondary Level,female,Eastern Europe,0.42726,41,41,0.27396,0.58056
2014,Upper Secondary Level,male,Eastern Europe,0.46150,92,92,0.35908,0.56393
2014,Upper Secondary Level,female,Southern Europe,0.20595,33,125,0.13477,0.27713
2014,Upper Secondary Level,female,Eastern Europe,0.36617,92,125,0.28138,0.45097
2014,Post-secondary Non-tertiary Level,female,Eastern Europe,0.74632,54,54,0.62917,0.86346
2014,Second Stage of Tertiary Education,male,Eastern Europe,0.39779,48,48,0.25786,0.53772
2014,Second Stage of Tertiary Education,female,Eastern Europe,0.35050,72,72,0.23951,0.46148
2015,Lower Secondary Level,female,Eastern Europe,0.37755,32,32,0.20690,0.54820
2015,Upper Secondary Level,male,Eastern Europe,0.46294,79,79,0.35228,0.57360
2015,Upper Secondary Level,female,Eastern Europe,0.34714,87,87,0.24652,0.44776
2015,Post-secondary Non-tertiary Level,male,Eastern Europe,0.67021,33,33,0.50732,0.83311
2015,Post-secondary Non-tertiary Level,female,Eastern Europe,0.67430,56,56,0.55045,0.79816
2015,Second Stage of Tertiary Education,male,Eastern Europe,0.36376,53,53,0.23300,0.49452
2015,Second Stage of Tertiary Education,female,Eastern Europe,0.30942,65,65,0.19617,0.42268
2016,Upper Secondary Level,male,Eastern Europe,0.43805,69,69,0.32013,0.55598
2016,Upper Secondary Level,female,Eastern Europe,0.26627,71,71,0.16273,0.36982
2016,Post-secondary Non-tertiary Level,female,Eastern Europe,0.67140,55,55,0.54612,0.79668
2016,Second Stage of Tertiary Education,male,Eastern Europe,0.34811,53,53,0.21863,0.47759
2016,Second Stage of Tertiary Education,female,Eastern Europe,0.32222,70,70,0.21195,0.43249
2017,Upper Secondary Level,male,Eastern Europe,0.41693,70,70,0.30059,0.53326
2017,Upper Secondary Level,female,Southern Europe,0.29335,42,116,0.21013,0.37657
2017,Upper Secondary Level,female,Eastern Europe,0.28298,74,116,0.20065,0.36531
2017,Post-secondary Non-tertiary Level,female,Eastern Europe,0.59564,48,48,0.45534,0.73595
2017,Second Stage of Tertiary Education,male,Eastern Europe,0.31653,52,52,0.18888,0.44419
2017,Second Stage of Tertiary Education,female,Eastern Europe,0.31041,82,82,0.20965,0.41117
2018,Upper Secondary Level,male,Eastern Europe,0.35305,67,67,0.23775,0.46835
2018,Upper Secondary Level,female,Southern Europe,0.21455,32,106,0.13603,0.29307
2018,Upper Secondary Level,female,Eastern Europe,0.31449,74,106,0.22568,0.40330
2018,Post-secondary Non-tertiary Level,female,Eastern Europe,0.58502,50,50,0.44706,0.72298
2018,Second Stage of Tertiary Education,male,Eastern Europe,0.38144,57,57,0.25422,0.50866
2018,Second Stage of Tertiary Education,female,Eastern Europe,0.39808,90,90,0.29638,0.49978
2019,Upper Secondary Level,male,Eastern Europe,0.37917,61,61,0.25640,0.50194
2019,Upper Secondary Level,female,Southern Europe,0.21439,36,110,0.13734,0.29144
2019,Upper Secondary Level,female,Eastern Europe,0.28589,74,110,0.20107,0.37072
2019,Post-secondary Non-tertiary Level,female,Eastern Europe,0.62824,49,49,0.49152,0.76496
2019,Second Stage of Tertiary Education,male,Eastern Europe,0.29763,60,60,0.18096,0.41430
2019,Second Stage of Tertiary Education,female,Eastern Europe,0.43562,88,88,0.33142,0.53981
2020,Upper Secondary Level,male,Southern Europe,0.25981,34,98,0.17254,0.34708
2020,Upper Secondary Level,male,Eastern Europe,0.26932,64,98,0.18104,0.35760
2020,Upper Secondary Level,female,Southern Europe,0.31225,39,123,0.23002,0.39448
2020,Upper Secondary Level,female,Eastern Europe,0.24931,84,123,0.17254,0.32608
2020,Post-secondary Non-tertiary Level,female,Eastern Europe,0.58536,46,46,0.44142,0.72931
2020,Second Stage of Tertiary Education,male,Southern Europe,0.22798,37,111,0.14958,0.30638
2020,Second Stage of Tertiary Education,male,Eastern Europe,0.31211,74,111,0.22552,0.39870
2020,Second Stage of Tertiary Education,female,Eastern Europe,0.34168,101,101,0.24873,0.43464
2021,Upper Secondary Level,male,Eastern Europe,0.30149,45,45,0.16590,0.43709
2021,Upper Secondary Level,female,Eastern Europe,0.24646,50,50,0.12580,0.36713
