year,quintil_oecd,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,2nd Quintile,Urban regions,Eastern Europe,0.76172,31,31,0.60926,0.91417
2008,3rd Quintile,Urban regions,Eastern Europe,0.62103,32,32,0.45025,0.79181
2012,1st Quintile,Urban regions,Eastern Europe,0.47268,34,34,0.30234,0.64302
2012,2nd Quintile,Urban regions,Eastern Europe,0.42897,40,40,0.27363,0.58430
2013,1st Quintile,Urban regions,Eastern Europe,0.47158,44,44,0.32238,0.62079
2013,2nd Quintile,Urban regions,Eastern Europe,0.55283,41,41,0.39875,0.70692
2014,1st Quintile,Urban regions,Western Asia,0.17810,37,145,0.11561,0.24059
2014,1st Quintile,Urban regions,Eastern Europe,0.41601,108,145,0.33551,0.49652
2014,1st Quintile,Rural regions,Eastern Europe,0.71314,67,67,0.60402,0.82226
2014,2nd Quintile,Urban regions,Eastern Europe,0.47435,99,99,0.37549,0.57322
2014,2nd Quintile,Rural regions,Eastern Europe,0.56682,34,34,0.39775,0.73588
2014,3rd Quintile,Urban regions,Southern Europe,0.23962,41,106,0.15797,0.32126
2014,3rd Quintile,Urban regions,Eastern Europe,0.39454,65,106,0.30105,0.48803
2014,3rd Quintile,Rural regions,Eastern Europe,0.37973,33,33,0.21158,0.54789
2014,4th Quintile,Urban regions,Eastern Europe,0.50699,55,55,0.37364,0.64034
2015,1st Quintile,Urban regions,Western Asia,0.27449,42,128,0.19688,0.35211
2015,1st Quintile,Urban regions,Eastern Europe,0.35865,86,128,0.27523,0.44206
2015,1st Quintile,Rural regions,Eastern Europe,0.66491,54,54,0.53783,0.79199
2015,2nd Quintile,Urban regions,Eastern Europe,0.46864,77,77,0.35645,0.58083
2015,2nd Quintile,Rural regions,Eastern Europe,0.49521,34,34,0.32462,0.66580
2015,3rd Quintile,Urban regions,Eastern Europe,0.50874,67,67,0.38813,0.62936
2015,4th Quintile,Urban regions,Eastern Europe,0.32552,50,50,0.19432,0.45671
2015,5th Quintile,Urban regions,Eastern Europe,0.29443,32,32,0.13398,0.45488
2016,1st Quintile,Urban regions,Western Asia,0.23160,34,108,0.15166,0.31153
2016,1st Quintile,Urban regions,Eastern Europe,0.39035,74,108,0.29792,0.48279
2016,1st Quintile,Rural regions,Eastern Europe,0.66109,36,36,0.50428,0.81791
2016,2nd Quintile,Urban regions,Eastern Europe,0.39586,76,76,0.28518,0.50654
2016,2nd Quintile,Rural regions,Eastern Europe,0.45216,42,42,0.29981,0.60451
2016,3rd Quintile,Urban regions,Eastern Europe,0.44075,57,57,0.31072,0.57079
