year,migback,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Direct migration background,West,Eastern Europe,0.03942,121,121,0.00460,0.07423
2001,Direct migration background,West,Eastern Europe,0.03012,84,84,-0.00665,0.06689
2002,Direct migration background,West,Eastern Europe,0.03770,94,94,-0.00101,0.07641
2002,Indirect migration background,West,Southern Europe,0.01116,32,32,-0.02582,0.04813
2003,Direct migration background,West,Eastern Europe,0.04083,95,95,0.00082,0.08084
2003,Indirect migration background,West,Southern Europe,0.00940,32,32,-0.02457,0.04337
2004,Direct migration background,West,Eastern Europe,0.03912,85,85,-0.00234,0.08058
2004,Indirect migration background,West,Southern Europe,0.01072,38,38,-0.02246,0.04391
2005,Direct migration background,West,Eastern Europe,0.04432,94,94,0.00249,0.08615
2005,Indirect migration background,West,Southern Europe,0.01059,38,38,-0.02239,0.04356
2006,Direct migration background,West,Eastern Europe,0.03827,92,92,-0.00115,0.07768
2006,Indirect migration background,West,Southern Europe,0.01484,41,41,-0.02263,0.05232
2007,Direct migration background,West,Eastern Europe,0.04864,104,104,0.00710,0.09018
2007,Indirect migration background,West,Southern Europe,0.01066,34,34,-0.02438,0.04570
2008,Direct migration background,West,Eastern Europe,0.05073,102,102,0.00793,0.09353
2008,Indirect migration background,West,Southern Europe,0.01527,37,37,-0.02479,0.05534
2009,Direct migration background,West,Eastern Europe,0.05284,95,95,0.00761,0.09806
2009,Indirect migration background,West,Southern Europe,0.01703,33,33,-0.02780,0.06186
2010,Direct migration background,West,Western Asia,0.00831,36,210,-0.00400,0.02062
2010,Direct migration background,West,Eastern Europe,0.05282,174,210,0.02250,0.08315
2010,Indirect migration background,West,Southern Europe,0.01985,56,56,-0.01701,0.05670
2011,Direct migration background,West,Eastern Europe,0.04920,130,130,0.01188,0.08653
2011,Indirect migration background,West,Southern Europe,0.01624,38,38,-0.02449,0.05696
2012,Direct migration background,West,Eastern Europe,0.06912,219,219,0.03544,0.10279
2012,Indirect migration background,West,Southern Europe,0.01526,46,46,-0.02056,0.05108
2013,Direct migration background,West,Southern Europe,0.00335,39,668,-0.00103,0.00774
2013,Direct migration background,West,Central Asia,0.00684,57,668,0.00058,0.01309
2013,Direct migration background,West,Western Asia,0.00625,63,668,0.00027,0.01223
2013,Direct migration background,West,Eastern Europe,0.05299,509,668,0.03599,0.06999
2013,Direct migration background,East,Eastern Europe,0.07967,46,46,0.00055,0.15878
2013,Indirect migration background,West,Southern Europe,0.01484,111,195,-0.00217,0.03186
2013,Indirect migration background,West,Western Asia,0.00836,49,195,-0.00445,0.02117
2013,Indirect migration background,West,Western Europe,0.01131,35,195,-0.00357,0.02620
2014,Direct migration background,West,Southern Europe,0.00398,44,599,-0.00107,0.00903
2014,Direct migration background,West,Central Asia,0.00618,51,599,-0.00010,0.01247
2014,Direct migration background,West,Western Asia,0.00553,52,599,-0.00042,0.01147
2014,Direct migration background,West,Eastern Europe,0.04854,452,599,0.03132,0.06577
2014,Direct migration background,East,Eastern Europe,0.06407,37,37,-0.01592,0.14407
2014,Indirect migration background,West,Southern Europe,0.01583,108,150,-0.00421,0.03588
2014,Indirect migration background,West,Western Asia,0.00877,42,150,-0.00620,0.02374
2015,Direct migration background,West,Southern Europe,0.00557,50,563,-0.00059,0.01172
2015,Direct migration background,West,Central Asia,0.00419,43,563,-0.00115,0.00953
2015,Direct migration background,West,Western Asia,0.00879,62,563,0.00107,0.01651
2015,Direct migration background,West,Eastern Europe,0.04430,408,563,0.02729,0.06131
2015,Direct migration background,East,Eastern Europe,0.05707,38,38,-0.01768,0.13181
2015,Indirect migration background,West,Southern Europe,0.01641,94,135,-0.00510,0.03793
2015,Indirect migration background,West,Western Asia,0.01077,41,135,-0.00671,0.02825
2016,Direct migration background,West,Southern Europe,0.00479,42,500,-0.00127,0.01084
2016,Direct migration background,West,Central Asia,0.00639,39,500,-0.00060,0.01338
2016,Direct migration background,West,Western Asia,0.00788,57,500,0.00012,0.01564
2016,Direct migration background,West,Eastern Europe,0.04371,362,500,0.02577,0.06165
2016,Direct migration background,East,Eastern Europe,0.04293,32,32,-0.02843,0.11428
2016,Indirect migration background,West,Southern Europe,0.02039,87,123,-0.00469,0.04548
2016,Indirect migration background,West,Western Asia,0.00956,36,123,-0.00771,0.02683
2017,Direct migration background,West,Southern Europe,0.00645,44,513,-0.00048,0.01338
2017,Direct migration background,West,Central Asia,0.00449,33,513,-0.00130,0.01029
2017,Direct migration background,West,Western Asia,0.00671,57,513,-0.00036,0.01378
2017,Direct migration background,West,Eastern Europe,0.04957,379,513,0.03077,0.06837
2017,Direct migration background,East,Eastern Europe,0.03366,39,39,-0.02368,0.09101
2017,Indirect migration background,West,Southern Europe,0.02538,101,149,0.00004,0.05072
2017,Indirect migration background,West,Western Asia,0.01006,48,149,-0.00602,0.02613
2018,Direct migration background,West,Southern Europe,0.00323,42,507,-0.00171,0.00818
2018,Direct migration background,West,Central Asia,0.00321,31,507,-0.00172,0.00813
2018,Direct migration background,West,Western Asia,0.00453,49,507,-0.00132,0.01038
2018,Direct migration background,West,Eastern Europe,0.04896,385,507,0.03016,0.06777
2018,Direct migration background,East,Eastern Europe,0.03426,37,37,-0.02516,0.09368
