year,migback,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Direct migration background,Eastern Europe,0.03816,123,123,0.00416,0.07216
2001,Direct migration background,Eastern Europe,0.03032,88,88,-0.00571,0.06636
2002,Direct migration background,Eastern Europe,0.03764,97,97,-0.00043,0.07572
2002,Indirect migration background,Southern Europe,0.01093,32,32,-0.02567,0.04754
2003,Direct migration background,Eastern Europe,0.03950,96,96,0.00033,0.07868
2003,Indirect migration background,Southern Europe,0.00913,32,32,-0.02435,0.04261
2004,Direct migration background,Eastern Europe,0.03812,86,86,-0.00259,0.07883
2004,Indirect migration background,Southern Europe,0.01041,38,38,-0.02230,0.04312
2005,Direct migration background,Eastern Europe,0.04482,97,97,0.00343,0.08621
2005,Indirect migration background,Southern Europe,0.01029,38,38,-0.02223,0.04282
2006,Direct migration background,Eastern Europe,0.03912,96,96,0.00013,0.07810
2006,Indirect migration background,Southern Europe,0.01439,41,41,-0.02252,0.05129
2007,Direct migration background,Eastern Europe,0.04896,108,108,0.00807,0.08984
2007,Indirect migration background,Southern Europe,0.01032,34,34,-0.02416,0.04479
2008,Direct migration background,Eastern Europe,0.05027,105,105,0.00827,0.09226
2008,Indirect migration background,Southern Europe,0.01512,38,38,-0.02420,0.05444
2009,Direct migration background,Eastern Europe,0.05236,98,98,0.00803,0.09669
2009,Indirect migration background,Southern Europe,0.01747,35,35,-0.02657,0.06150
2010,Direct migration background,Western Asia,0.00806,36,215,-0.00392,0.02005
2010,Direct migration background,Eastern Europe,0.05212,179,215,0.02234,0.08190
2010,Indirect migration background,Southern Europe,0.01951,61,61,-0.01549,0.05450
2011,Direct migration background,Eastern Europe,0.04862,135,135,0.01220,0.08503
2011,Indirect migration background,Southern Europe,0.01588,41,41,-0.02286,0.05462
2012,Direct migration background,Eastern Europe,0.06732,224,224,0.03443,0.10021
2012,Indirect migration background,Southern Europe,0.01490,49,49,-0.01937,0.04917
2013,Direct migration background,Southern Europe,0.00319,39,722,-0.00093,0.00731
2013,Direct migration background,Central Asia,0.00671,65,722,0.00075,0.01267
2013,Direct migration background,Western Asia,0.00595,63,722,0.00034,0.01156
2013,Direct migration background,Eastern Europe,0.05426,555,722,0.03772,0.07079
2013,Indirect migration background,Southern Europe,0.01449,113,197,-0.00224,0.03123
2013,Indirect migration background,Western Asia,0.00806,49,197,-0.00446,0.02058
2013,Indirect migration background,Western Europe,0.01091,35,197,-0.00363,0.02545
2014,Direct migration background,Southern Europe,0.00379,44,639,-0.00098,0.00855
2014,Direct migration background,Central Asia,0.00595,54,639,-0.00002,0.01191
2014,Direct migration background,Western Asia,0.00526,52,639,-0.00035,0.01087
2014,Direct migration background,Eastern Europe,0.04930,489,639,0.03250,0.06610
2014,Indirect migration background,Southern Europe,0.01526,109,151,-0.00436,0.03487
2014,Indirect migration background,Western Asia,0.00845,42,151,-0.00620,0.02309
2015,Direct migration background,Southern Europe,0.00544,52,608,-0.00041,0.01129
2015,Direct migration background,Central Asia,0.00414,48,608,-0.00097,0.00925
2015,Direct migration background,Western Asia,0.00832,62,608,0.00109,0.01554
2015,Direct migration background,Eastern Europe,0.04499,446,608,0.02850,0.06148
2015,Indirect migration background,Southern Europe,0.01583,96,137,-0.00515,0.03681
2015,Indirect migration background,Western Asia,0.01035,41,137,-0.00666,0.02737
2016,Direct migration background,Southern Europe,0.00450,42,535,-0.00118,0.01017
2016,Direct migration background,Central Asia,0.00604,42,535,-0.00053,0.01261
2016,Direct migration background,Western Asia,0.00740,57,535,0.00013,0.01468
2016,Direct migration background,Eastern Europe,0.04366,394,535,0.02633,0.06099
2016,Indirect migration background,Southern Europe,0.01951,89,126,-0.00474,0.04375
2016,Indirect migration background,Western Asia,0.00914,37,126,-0.00754,0.02583
2017,Direct migration background,Southern Europe,0.00636,48,559,-0.00024,0.01296
2017,Direct migration background,Central Asia,0.00428,36,559,-0.00113,0.00970
2017,Direct migration background,Western Asia,0.00631,57,559,-0.00026,0.01287
2017,Direct migration background,Eastern Europe,0.04861,418,559,0.03076,0.06645
2017,Indirect migration background,Southern Europe,0.02415,103,153,-0.00025,0.04856
2017,Indirect migration background,Western Asia,0.00967,50,153,-0.00589,0.02523
2018,Direct migration background,Southern Europe,0.00310,44,581,-0.00142,0.00762
2018,Direct migration background,Central Asia,0.00307,34,581,-0.00143,0.00756
