year,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,West,Southern Europe,0.00109,37,191,-0.00360,0.00578
2000,West,Eastern Europe,0.00537,121,191,-0.00502,0.01576
2000,West,Western Europe,0.00224,33,191,-0.00448,0.00897
2001,West,Southern Europe,0.00118,35,152,-0.00430,0.00666
2001,West,Eastern Europe,0.00398,86,152,-0.00606,0.01402
2001,West,Western Europe,0.00211,31,152,-0.00521,0.00944
2002,West,Southern Europe,0.00124,46,146,-0.00448,0.00696
2002,West,Eastern Europe,0.00531,100,146,-0.00652,0.01713
2003,West,Southern Europe,0.00125,53,151,-0.00440,0.00690
2003,West,Eastern Europe,0.00559,98,151,-0.00634,0.01753
2004,West,Southern Europe,0.00122,55,141,-0.00456,0.00701
2004,West,Eastern Europe,0.00536,86,141,-0.00674,0.01746
2005,West,Southern Europe,0.00137,56,150,-0.00456,0.00730
2005,West,Eastern Europe,0.00593,94,150,-0.00640,0.01826
2006,West,Southern Europe,0.00267,65,158,-0.00540,0.01074
2006,West,Eastern Europe,0.00521,93,158,-0.00605,0.01648
2007,West,Southern Europe,0.00221,52,189,-0.00450,0.00892
2007,West,Eastern Europe,0.00646,106,189,-0.00499,0.01791
2007,West,Western Europe,0.00215,31,189,-0.00447,0.00876
2008,West,Southern Europe,0.00220,52,157,-0.00515,0.00954
2008,West,Eastern Europe,0.00671,105,157,-0.00610,0.01953
2009,West,Southern Europe,0.00241,50,147,-0.00554,0.01037
2009,West,Eastern Europe,0.00676,97,147,-0.00653,0.02005
2010,West,Southern Europe,0.00283,83,371,-0.00258,0.00825
2010,West,Western Asia,0.00149,59,371,-0.00244,0.00542
2010,West,Eastern Europe,0.00753,182,371,-0.00128,0.01634
2010,West,Western Europe,0.00275,47,371,-0.00259,0.00808
2011,West,Southern Europe,0.00221,62,226,-0.00392,0.00834
2011,West,Eastern Europe,0.00667,133,226,-0.00397,0.01731
2011,West,Western Europe,0.00188,31,226,-0.00378,0.00754
2012,West,Southern Europe,0.00257,80,405,-0.00237,0.00751
2012,West,Western Asia,0.00177,53,405,-0.00233,0.00587
2012,West,Eastern Europe,0.01021,228,405,0.00040,0.02001
2012,West,Western Europe,0.00179,44,405,-0.00233,0.00591
2013,West,Southern Europe,0.00211,162,950,-0.00081,0.00504
2013,West,Central Asia,0.00097,57,950,-0.00101,0.00296
2013,West,Western Asia,0.00169,112,950,-0.00092,0.00430
2013,West,Eastern Europe,0.00801,532,950,0.00234,0.01369
2013,West,Western Europe,0.00168,56,950,-0.00093,0.00429
2013,West,Latin America and the Caribbean,0.00055,31,950,-0.00094,0.00203
2013,East,Eastern Europe,0.00286,49,49,-0.01225,0.01796
2014,West,Southern Europe,0.00236,165,828,-0.00095,0.00567
2014,West,Central Asia,0.00090,52,828,-0.00114,0.00295
2014,West,Western Asia,0.00167,95,828,-0.00111,0.00445
2014,West,Eastern Europe,0.00730,466,828,0.00150,0.01311
2014,West,Western Europe,0.00160,50,828,-0.00112,0.00432
2014,East,Eastern Europe,0.00236,39,39,-0.01307,0.01780
2015,West,Southern Europe,0.00270,155,769,-0.00097,0.00637
2015,West,Central Asia,0.00063,43,769,-0.00114,0.00240
2015,West,Western Asia,0.00237,103,769,-0.00107,0.00581
2015,West,Eastern Europe,0.00720,427,769,0.00122,0.01318
2015,West,Western Europe,0.00127,41,769,-0.00125,0.00378
2015,East,Eastern Europe,0.00247,41,41,-0.01291,0.01785
2016,West,Southern Europe,0.00312,140,693,-0.00104,0.00727
2016,West,Central Asia,0.00101,40,693,-0.00136,0.00337
2016,West,Western Asia,0.00219,93,693,-0.00129,0.00567
2016,West,Eastern Europe,0.00760,384,693,0.00113,0.01407
2016,West,Western Europe,0.00143,36,693,-0.00139,0.00424
2016,East,Eastern Europe,0.00222,33,33,-0.01410,0.01854
2017,West,Southern Europe,0.00396,155,736,-0.00058,0.00850
2017,West,Central Asia,0.00070,33,736,-0.00121,0.00262
2017,West,Western Asia,0.00210,105,736,-0.00121,0.00541
2017,West,Eastern Europe,0.00800,397,736,0.00156,0.01444
2017,West,Western Europe,0.00170,46,736,-0.00128,0.00468
2017,East,Eastern Europe,0.00195,41,41,-0.01172,0.01562
