year,pgisced97,quintil_oecd,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Lower Secondary Level,1st Quintile,Eastern Europe,0.00996,39,39,-0.02161,0.04154
2014,Upper Secondary Level,1st Quintile,Eastern Europe,0.00878,65,65,-0.01408,0.03164
2014,Upper Secondary Level,2nd Quintile,Eastern Europe,0.00462,55,55,-0.01347,0.02272
2014,Upper Secondary Level,3rd Quintile,Eastern Europe,0.00520,41,41,-0.01709,0.02750
2015,Upper Secondary Level,1st Quintile,Eastern Europe,0.00891,59,59,-0.01527,0.03308
2015,Upper Secondary Level,2nd Quintile,Eastern Europe,0.00646,46,46,-0.01695,0.02988
2015,Upper Secondary Level,3rd Quintile,Eastern Europe,0.00467,31,31,-0.01973,0.02907
2016,Upper Secondary Level,1st Quintile,Eastern Europe,0.00855,35,35,-0.02240,0.03949
2016,Upper Secondary Level,2nd Quintile,Eastern Europe,0.00549,47,47,-0.01587,0.02685
2016,Upper Secondary Level,3rd Quintile,Eastern Europe,0.00531,36,36,-0.01877,0.02939
2016,Second Stage of Tertiary Education,2nd Quintile,Eastern Europe,0.01969,31,31,-0.03003,0.06940
2017,Upper Secondary Level,1st Quintile,Eastern Europe,0.00874,41,41,-0.02010,0.03758
2017,Upper Secondary Level,2nd Quintile,Eastern Europe,0.00628,41,41,-0.01820,0.03076
2017,Upper Secondary Level,3rd Quintile,Eastern Europe,0.00582,31,31,-0.02140,0.03304
2017,Second Stage of Tertiary Education,5th Quintile,Eastern Europe,0.00676,34,34,-0.02120,0.03472
2018,Upper Secondary Level,1st Quintile,Eastern Europe,0.00797,39,39,-0.02030,0.03624
2018,Upper Secondary Level,2nd Quintile,Eastern Europe,0.00483,42,42,-0.01639,0.02606
2018,Upper Secondary Level,3rd Quintile,Eastern Europe,0.00573,34,34,-0.02002,0.03148
2018,Second Stage of Tertiary Education,4th Quintile,Eastern Europe,0.01236,37,37,-0.02373,0.04846
2018,Second Stage of Tertiary Education,5th Quintile,Eastern Europe,0.00831,35,35,-0.02221,0.03883
2019,Upper Secondary Level,1st Quintile,Eastern Europe,0.00511,33,33,-0.01959,0.02980
2019,Upper Secondary Level,2nd Quintile,Eastern Europe,0.00743,53,53,-0.01591,0.03077
2019,Second Stage of Tertiary Education,5th Quintile,Eastern Europe,0.01022,50,50,-0.01794,0.03839
2020,Upper Secondary Level,1st Quintile,Eastern Europe,0.00300,47,47,-0.01280,0.01879
2020,Upper Secondary Level,2nd Quintile,Eastern Europe,0.00297,41,41,-0.01389,0.01982
2020,Second Stage of Tertiary Education,2nd Quintile,Eastern Europe,0.00592,32,32,-0.02108,0.03292
2020,Second Stage of Tertiary Education,4th Quintile,Eastern Europe,0.00512,37,37,-0.01819,0.02843
2020,Second Stage of Tertiary Education,5th Quintile,Eastern Europe,0.00317,45,45,-0.01343,0.01977
2021,Second Stage of Tertiary Education,5th Quintile,Eastern Europe,0.00615,34,34,-0.02052,0.03281
2022,Upper Secondary Level,1st Quintile,Western Asia,0.00407,32,66,-0.01140,0.01954
2022,Upper Secondary Level,1st Quintile,Eastern Europe,0.01031,34,66,-0.01425,0.03486
