year,pgisced97,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Upper Secondary Level,Urban regions,Eastern Europe,0.49853,39,39,0.33955,0.65751
2010,Upper Secondary Level,Urban regions,Southern Europe,0.27174,38,100,0.18411,0.35937
2010,Upper Secondary Level,Urban regions,Eastern Europe,0.33554,62,100,0.24252,0.42855
2010,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.69326,32,32,0.53093,0.85560
2011,Upper Secondary Level,Urban regions,Eastern Europe,0.37289,39,39,0.21914,0.52665
2011,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.46655,33,33,0.29370,0.63941
2012,Upper Secondary Level,Urban regions,Southern Europe,0.22508,32,96,0.14110,0.30906
2012,Upper Secondary Level,Urban regions,Eastern Europe,0.41092,64,96,0.31199,0.50986
2012,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.49953,46,46,0.35344,0.64562
2013,Lower Secondary Level,Urban regions,Eastern Europe,0.41449,53,53,0.28059,0.54839
2013,Lower Secondary Level,Rural regions,Eastern Europe,0.63355,34,34,0.46915,0.79795
2013,Upper Secondary Level,Urban regions,Southern Europe,0.13951,50,203,0.09173,0.18730
2013,Upper Secondary Level,Urban regions,Eastern Europe,0.43850,153,203,0.37007,0.50693
2013,Upper Secondary Level,Rural regions,Eastern Europe,0.58416,66,66,0.46435,0.70398
2013,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.66321,65,65,0.54742,0.77900
2013,Second Stage of Tertiary Education,Urban regions,Eastern Europe,0.37087,98,98,0.27474,0.46700
2013,Second Stage of Tertiary Education,Rural regions,Eastern Europe,0.68881,38,38,0.53963,0.83800
2014,Lower Secondary Level,Urban regions,Eastern Europe,0.35684,52,52,0.22536,0.48832
2014,Upper Secondary Level,Urban regions,Southern Europe,0.17942,46,167,0.12105,0.23779
2014,Upper Secondary Level,Urban regions,Eastern Europe,0.38315,121,167,0.30919,0.45710
2014,Upper Secondary Level,Rural regions,Eastern Europe,0.53968,63,63,0.41561,0.66375
2014,Post-secondary Non-tertiary Level,Urban regions,Eastern Europe,0.63245,60,60,0.50943,0.75548
