year,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Upper Secondary Level,Eastern Europe,0.50135,51,51,0.36276,0.63994
2002,Upper Secondary Level,Eastern Europe,0.41867,34,34,0.25035,0.58700
2003,Upper Secondary Level,Eastern Europe,0.41184,36,36,0.24879,0.57490
2006,Upper Secondary Level,Southern Europe,0.27625,32,32,0.11884,0.43365
2007,Upper Secondary Level,Eastern Europe,0.33571,32,32,0.16947,0.50195
2008,Upper Secondary Level,Eastern Europe,0.34099,33,33,0.17674,0.50524
2009,Upper Secondary Level,Eastern Europe,0.35565,32,32,0.18713,0.52417
2010,Upper Secondary Level,Southern Europe,0.23752,44,124,0.16231,0.31272
2010,Upper Secondary Level,Eastern Europe,0.35183,80,124,0.26743,0.43622
2010,Post-secondary Non-tertiary Level,Eastern Europe,0.73329,38,38,0.59080,0.87579
2010,Second Stage of Tertiary Education,Eastern Europe,0.38015,34,34,0.21453,0.54578
2011,Upper Secondary Level,Southern Europe,0.25357,32,87,0.16162,0.34552
2011,Upper Secondary Level,Eastern Europe,0.40571,55,87,0.30193,0.50949
2011,Second Stage of Tertiary Education,Eastern Europe,0.46405,35,35,0.29641,0.63168
2012,Upper Secondary Level,Southern Europe,0.19394,38,126,0.12463,0.26325
2012,Upper Secondary Level,Eastern Europe,0.43489,88,126,0.34798,0.52180
2012,Post-secondary Non-tertiary Level,Eastern Europe,0.68105,39,39,0.53286,0.82924
2012,Second Stage of Tertiary Education,Eastern Europe,0.52906,58,58,0.39947,0.65864
2013,Lower Secondary Level,Western Asia,0.19798,33,120,0.12638,0.26957
2013,Lower Secondary Level,Eastern Europe,0.46896,87,120,0.37930,0.55862
2013,Upper Secondary Level,Southern Europe,0.14066,61,280,0.09986,0.18146
2013,Upper Secondary Level,Eastern Europe,0.46443,219,280,0.40591,0.52296
2013,Post-secondary Non-tertiary Level,Eastern Europe,0.68885,89,89,0.59212,0.78558
2013,Second Stage of Tertiary Education,Southern Europe,0.12062,37,173,0.07195,0.16930
2013,Second Stage of Tertiary Education,Eastern Europe,0.41668,136,173,0.34300,0.49036
2014,Lower Secondary Level,Eastern Europe,0.42158,77,77,0.31056,0.53260
2014,Upper Secondary Level,Southern Europe,0.15802,57,241,0.11187,0.20417
2014,Upper Secondary Level,Eastern Europe,0.41869,184,241,0.35628,0.48111
2014,Post-secondary Non-tertiary Level,Eastern Europe,0.65113,83,83,0.54797,0.75429
2014,Second Stage of Tertiary Education,Southern Europe,0.15367,41,161,0.09779,0.20955
2014,Second Stage of Tertiary Education,Eastern Europe,0.37266,120,161,0.29774,0.44758
2015,Lower Secondary Level,Eastern Europe,0.33304,50,50,0.20108,0.46500
2015,Upper Secondary Level,Southern Europe,0.15707,50,250,0.11187,0.20226
2015,Upper Secondary Level,Western Asia,0.10468,34,250,0.06665,0.14270
2015,Upper Secondary Level,Eastern Europe,0.40382,166,250,0.34287,0.46476
2015,Post-secondary Non-tertiary Level,Eastern Europe,0.67293,89,89,0.57491,0.77095
2015,Second Stage of Tertiary Education,Southern Europe,0.17405,48,166,0.11619,0.23190
2015,Second Stage of Tertiary Education,Eastern Europe,0.33270,118,166,0.26080,0.40459
2016,Lower Secondary Level,Eastern Europe,0.33017,36,36,0.17437,0.48597
2016,Upper Secondary Level,Southern Europe,0.19567,48,221,0.14325,0.24810
2016,Upper Secondary Level,Western Asia,0.11671,33,221,0.07428,0.15913
2016,Upper Secondary Level,Eastern Europe,0.35309,140,221,0.28994,0.41625
