year,age_gr,migback,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,Direct migration background,Eastern Europe,0.61299,55,55,0.48308,0.74290
2001,30-45 y.,Direct migration background,Eastern Europe,0.63966,44,44,0.49617,0.78316
2002,30-45 y.,Direct migration background,Eastern Europe,0.51721,35,35,0.34924,0.68518
2003,30-45 y.,Direct migration background,Eastern Europe,0.61755,40,40,0.46502,0.77008
2004,30-45 y.,Direct migration background,Eastern Europe,0.56908,32,32,0.39475,0.74340
2005,30-45 y.,Direct migration background,Eastern Europe,0.67257,41,41,0.52714,0.81800
2006,30-45 y.,Direct migration background,Eastern Europe,0.55151,34,34,0.38182,0.72120
2006,46-65 y.,Direct migration background,Eastern Europe,0.52318,31,31,0.34445,0.70191
2007,30-45 y.,Direct migration background,Eastern Europe,0.61398,37,37,0.45495,0.77302
2007,46-65 y.,Direct migration background,Eastern Europe,0.51949,33,33,0.34638,0.69260
2008,30-45 y.,Direct migration background,Eastern Europe,0.67449,33,33,0.51214,0.83684
2008,46-65 y.,Direct migration background,Eastern Europe,0.59628,41,41,0.44423,0.74833
2009,30-45 y.,Direct migration background,Eastern Europe,0.67143,32,32,0.50608,0.83677
2009,46-65 y.,Direct migration background,Eastern Europe,0.63722,41,41,0.48822,0.78622
2010,17-29 y.,Direct migration background,Eastern Europe,0.45673,38,38,0.29623,0.61724
2010,30-45 y.,Direct migration background,Eastern Europe,0.65652,88,88,0.55673,0.75630
2010,46-65 y.,Direct migration background,Eastern Europe,0.56385,44,44,0.41562,0.71207
2011,30-45 y.,Direct migration background,Eastern Europe,0.68985,35,35,0.53436,0.84533
2011,46-65 y.,Direct migration background,Eastern Europe,0.67558,69,69,0.56430,0.78685
2012,17-29 y.,Direct migration background,Eastern Europe,0.62773,36,36,0.46758,0.78789
2012,30-45 y.,Direct migration background,Eastern Europe,0.66313,96,96,0.56808,0.75817
2012,46-65 y.,Direct migration background,Eastern Europe,0.69518,79,79,0.59302,0.79734
2013,17-29 y.,Direct migration background,Eastern Europe,0.61544,112,112,0.52493,0.70594
2013,17-29 y.,Indirect migration background,Southern Europe,0.21187,51,86,0.12500,0.29874
2013,17-29 y.,Indirect migration background,Western Asia,0.23714,35,86,0.14672,0.32756
2013,30-45 y.,Direct migration background,Western Asia,0.09288,33,272,0.05832,0.12743
2013,30-45 y.,Direct migration background,Eastern Europe,0.61112,239,272,0.55307,0.66916
2013,30-45 y.,Indirect migration background,Southern Europe,0.40295,55,55,0.27213,0.53378
2013,46-65 y.,Direct migration background,Eastern Europe,0.66613,175,175,0.59606,0.73620
2014,17-29 y.,Direct migration background,Eastern Europe,0.43435,82,82,0.32640,0.54230
2014,17-29 y.,Indirect migration background,Southern Europe,0.20056,44,44,0.08088,0.32025
2014,30-45 y.,Direct migration background,Eastern Europe,0.62892,207,207,0.56294,0.69489
2014,30-45 y.,Indirect migration background,Southern Europe,0.43730,57,57,0.30737,0.56722
2014,46-65 y.,Direct migration background,Eastern Europe,0.69963,168,168,0.63010,0.76916
2014,66 and older,Direct migration background,Eastern Europe,0.77485,32,32,0.62781,0.92188
2015,17-29 y.,Direct migration background,Eastern Europe,0.42286,77,77,0.31179,0.53393
2015,17-29 y.,Indirect migration background,Southern Europe,0.15495,34,34,0.03149,0.27842
2015,30-45 y.,Direct migration background,Eastern Europe,0.59817,192,192,0.52863,0.66770
2015,30-45 y.,Indirect migration background,Southern Europe,0.51127,48,48,0.36836,0.65418
2015,46-65 y.,Direct migration background,Eastern Europe,0.58396,146,146,0.50373,0.66419
2015,66 and older,Direct migration background,Eastern Europe,0.69802,31,31,0.53373,0.86232
2016,17-29 y.,Direct migration background,Eastern Europe,0.35191,65,65,0.23491,0.46892
2016,17-29 y.,Indirect migration background,Southern Europe,0.21570,31,31,0.06852,0.36288
2016,30-45 y.,Direct migration background,Eastern Europe,0.57037,161,161,0.49366,0.64707
2016,30-45 y.,Indirect migration background,Southern Europe,0.46837,40,40,0.31176,0.62498
2016,46-65 y.,Direct migration background,Eastern Europe,0.62772,146,146,0.54904,0.70641
2017,17-29 y.,Direct migration background,Eastern Europe,0.36168,54,54,0.23232,0.49104
2017,17-29 y.,Indirect migration background,Southern Europe,0.26679,35,71,0.16318,0.37040
2017,17-29 y.,Indirect migration background,Western Asia,0.27013,36,71,0.16611,0.37415
2017,30-45 y.,Direct migration background,Eastern Europe,0.57347,163,163,0.49731,0.64963
2017,30-45 y.,Indirect migration background,Southern Europe,0.49443,48,48,0.35150,0.63737
2017,46-65 y.,Direct migration background,Eastern Europe,0.58877,154,154,0.51080,0.66674
2017,66 and older,Direct migration background,Eastern Europe,0.71928,47,47,0.58942,0.84913
2018,17-29 y.,Direct migration background,Eastern Europe,0.37918,39,39,0.22492,0.53345
2018,17-29 y.,Indirect migration background,Western Asia,0.29966,43,43,0.16112,0.43821
2018,30-45 y.,Direct migration background,Eastern Europe,0.59705,168,168,0.52266,0.67144
2018,30-45 y.,Indirect migration background,Southern Europe,0.50463,45,45,0.35689,0.65236
2018,46-65 y.,Direct migration background,Eastern Europe,0.64788,166,166,0.57500,0.72076
2018,66 and older,Direct migration background,Eastern Europe,0.66729,49,49,0.53399,0.80058
2019,17-29 y.,Indirect migration background,Southern Europe,0.20872,37,37,0.07596,0.34148
2019,30-45 y.,Direct migration background,Eastern Europe,0.52709,148,148,0.44638,0.60780
2019,30-45 y.,Indirect migration background,Southern Europe,0.52730,45,45,0.37978,0.67482
2019,46-65 y.,Direct migration background,Eastern Europe,0.65379,174,174,0.58289,0.72468
2019,66 and older,Direct migration background,Eastern Europe,0.70786,44,44,0.57194,0.84379
2020,17-29 y.,Direct migration background,Eastern Europe,0.38747,39,39,0.23257,0.54237
2020,17-29 y.,Indirect migration background,Southern Europe,0.19219,42,42,0.07158,0.31280
2020,30-45 y.,Direct migration background,Western Asia,0.06943,32,207,0.03472,0.10414
2020,30-45 y.,Direct migration background,Eastern Europe,0.45714,175,207,0.38911,0.52517
2020,30-45 y.,Indirect migration background,Southern Europe,0.43431,45,45,0.28785,0.58077
2020,46-65 y.,Direct migration background,Southern Europe,0.30539,41,193,0.24024,0.37054
2020,46-65 y.,Direct migration background,Eastern Europe,0.35552,152,193,0.28781,0.42323
2020,66 and older,Direct migration background,Eastern Europe,0.52258,58,58,0.39291,0.65225
2021,30-45 y.,Direct migration background,Eastern Europe,0.39664,104,104,0.30216,0.49111
2021,46-65 y.,Direct migration background,Eastern Europe,0.42986,110,110,0.33692,0.52280
2021,66 and older,Direct migration background,Eastern Europe,0.57320,35,35,0.40694,0.73946
2022,17-29 y.,Direct migration background,Western Asia,0.17791,58,95,0.10059,0.25522
2022,17-29 y.,Direct migration background,Eastern Europe,0.34421,37,95,0.24817,0.44026
2022,30-45 y.,Direct migration background,Southern Europe,0.13946,42,245,0.09599,0.18293
2022,30-45 y.,Direct migration background,Western Asia,0.09625,77,245,0.05924,0.13325
