year,age_gr,quintil_oecd,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,1st Quintile,Eastern Europe,0.28925,40,40,0.14695,0.43156
2014,30-45 y.,1st Quintile,Eastern Europe,0.47398,58,58,0.34435,0.60361
2014,30-45 y.,2nd Quintile,Eastern Europe,0.50621,54,54,0.37161,0.64082
2014,30-45 y.,3rd Quintile,Eastern Europe,0.43263,48,48,0.29098,0.57427
2014,46-65 y.,1st Quintile,Eastern Europe,0.68210,57,57,0.56013,0.80406
2014,46-65 y.,2nd Quintile,Eastern Europe,0.67188,45,45,0.53314,0.81062
2014,46-65 y.,3rd Quintile,Eastern Europe,0.59582,32,32,0.42307,0.76857
2015,30-45 y.,1st Quintile,Eastern Europe,0.36786,42,42,0.22025,0.51546
2015,30-45 y.,2nd Quintile,Eastern Europe,0.50103,40,40,0.34411,0.65796
2015,30-45 y.,3rd Quintile,Eastern Europe,0.54330,53,53,0.40791,0.67869
2015,46-65 y.,1st Quintile,Eastern Europe,0.63324,55,55,0.50470,0.76178
2015,46-65 y.,2nd Quintile,Eastern Europe,0.54904,35,35,0.38179,0.71630
2016,30-45 y.,2nd Quintile,Eastern Europe,0.56875,50,50,0.43008,0.70742
2016,30-45 y.,3rd Quintile,Eastern Europe,0.47586,45,45,0.32829,0.62343
2016,46-65 y.,1st Quintile,Eastern Europe,0.59050,45,45,0.44520,0.73580
2016,46-65 y.,2nd Quintile,Eastern Europe,0.67546,39,39,0.52660,0.82433
2017,30-45 y.,2nd Quintile,Eastern Europe,0.50549,43,43,0.35428,0.65669
2017,30-45 y.,3rd Quintile,Eastern Europe,0.43440,32,32,0.25991,0.60889
2017,46-65 y.,1st Quintile,Eastern Europe,0.49208,40,40,0.33518,0.64899
2017,46-65 y.,2nd Quintile,Eastern Europe,0.70623,43,43,0.56847,0.84398
2018,30-45 y.,1st Quintile,Eastern Europe,0.26671,31,31,0.10846,0.42496
2018,30-45 y.,2nd Quintile,Eastern Europe,0.52272,40,40,0.36596,0.67948
2018,30-45 y.,3rd Quintile,Eastern Europe,0.47731,44,44,0.32801,0.62660
2018,46-65 y.,1st Quintile,Eastern Europe,0.51767,40,40,0.36084,0.67450
2018,46-65 y.,2nd Quintile,Eastern Europe,0.60678,44,44,0.46078,0.75278
2019,30-45 y.,2nd Quintile,Eastern Europe,0.50236,48,48,0.35941,0.64530
2019,46-65 y.,1st Quintile,Eastern Europe,0.42559,40,40,0.27041,0.58077
2019,46-65 y.,2nd Quintile,Eastern Europe,0.71992,53,53,0.59787,0.84197
2020,30-45 y.,2nd Quintile,Eastern Europe,0.39047,46,46,0.24793,0.53302
2020,30-45 y.,4th Quintile,Eastern Europe,0.44574,31,31,0.26787,0.62360
2020,30-45 y.,5th Quintile,Eastern Europe,0.36934,31,31,0.19664,0.54205
2020,46-65 y.,1st Quintile,Eastern Europe,0.37425,41,41,0.22428,0.52423
2020,46-65 y.,2nd Quintile,Eastern Europe,0.28595,43,43,0.14929,0.42262
2020,66 and older,1st Quintile,Eastern Europe,0.55404,32,32,0.37906,0.72902
2021,46-65 y.,2nd Quintile,Eastern Europe,0.52881,36,36,0.36344,0.69419
2022,17-29 y.,1st Quintile,Western Asia,0.44660,38,38,0.28641,0.60679
2022,30-45 y.,1st Quintile,Western Asia,0.21826,41,41,0.09025,0.34627
