year,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Southern Europe,0.00089,37,193,-0.00332,0.00509
2000,Eastern Europe,0.00443,123,193,-0.00496,0.01382
2000,Western Europe,0.00183,33,193,-0.00421,0.00786
2001,Southern Europe,0.00096,35,157,-0.00391,0.00583
2001,Eastern Europe,0.00345,91,157,-0.00575,0.01265
2001,Western Europe,0.00173,31,157,-0.00479,0.00824
2002,Southern Europe,0.00101,46,149,-0.00411,0.00613
2002,Eastern Europe,0.00450,103,149,-0.00628,0.01529
2003,Southern Europe,0.00102,53,152,-0.00408,0.00612
2003,Eastern Europe,0.00459,99,152,-0.00619,0.01537
2004,Southern Europe,0.00100,55,142,-0.00422,0.00623
2004,Eastern Europe,0.00444,87,142,-0.00653,0.01541
2005,Southern Europe,0.00112,56,153,-0.00420,0.00644
2005,Eastern Europe,0.00511,97,153,-0.00623,0.01644
2006,Southern Europe,0.00219,65,162,-0.00503,0.00940
2006,Eastern Europe,0.00454,97,162,-0.00584,0.01493
2007,Southern Europe,0.00181,52,196,-0.00416,0.00777
2007,Eastern Europe,0.00555,111,196,-0.00488,0.01598
2007,Western Europe,0.00177,33,196,-0.00413,0.00767
2008,Southern Europe,0.00183,53,193,-0.00422,0.00788
2008,Eastern Europe,0.00566,109,193,-0.00495,0.01628
2008,Western Europe,0.00198,31,193,-0.00431,0.00826
2009,Southern Europe,0.00205,52,153,-0.00514,0.00923
2009,Eastern Europe,0.00568,101,153,-0.00627,0.01762
2010,Southern Europe,0.00237,89,385,-0.00249,0.00724
2010,Western Asia,0.00123,59,385,-0.00227,0.00473
2010,Eastern Europe,0.00638,189,385,-0.00158,0.01435
2010,Western Europe,0.00227,48,385,-0.00249,0.00703
2011,Southern Europe,0.00191,66,270,-0.00331,0.00713
2011,Western Asia,0.00078,31,270,-0.00256,0.00413
2011,Eastern Europe,0.00566,140,270,-0.00331,0.01463
2011,Western Europe,0.00158,33,270,-0.00317,0.00633
2012,Southern Europe,0.00214,83,418,-0.00230,0.00658
2012,Western Asia,0.00148,55,418,-0.00221,0.00517
2012,Eastern Europe,0.00855,235,418,-0.00029,0.01739
2012,Western Europe,0.00150,45,418,-0.00222,0.00522
2013,Southern Europe,0.00177,166,1013,-0.00082,0.00436
2013,Central Asia,0.00083,65,1013,-0.00094,0.00260
2013,Western Asia,0.00139,112,1013,-0.00090,0.00369
2013,Eastern Europe,0.00711,581,1013,0.00194,0.01229
2013,Western Europe,0.00140,57,1013,-0.00090,0.00370
2013,Latin America and the Caribbean,0.00046,32,1013,-0.00086,0.00178
2014,Southern Asia,0.00068,33,906,-0.00102,0.00238
2014,Southern Europe,0.00195,166,906,-0.00092,0.00482
2014,Central Asia,0.00075,55,906,-0.00103,0.00254
2014,Western Asia,0.00138,95,906,-0.00104,0.00379
2014,Eastern Europe,0.00644,505,906,0.00123,0.01165
2014,Western Europe,0.00134,52,906,-0.00104,0.00373
2015,Southern Europe,0.00226,159,820,-0.00099,0.00550
2015,Central Asia,0.00054,48,820,-0.00105,0.00213
2015,Western Asia,0.00196,103,820,-0.00107,0.00498
2015,Eastern Europe,0.00637,468,820,0.00092,0.01182
2015,Western Europe,0.00105,42,820,-0.00117,0.00327
2016,Southern Europe,0.00258,142,733,-0.00110,0.00625
2016,Central Asia,0.00084,43,733,-0.00126,0.00293
2016,Western Asia,0.00181,94,733,-0.00127,0.00489
2016,Eastern Europe,0.00666,417,733,0.00077,0.01256
2016,Western Europe,0.00119,37,733,-0.00131,0.00368
2017,Southern Europe,0.00333,161,788,-0.00070,0.00735
2017,Central Asia,0.00059,36,788,-0.00111,0.00229
2017,Western Asia,0.00175,107,788,-0.00117,0.00467
2017,Eastern Europe,0.00697,438,788,0.00115,0.01278
2017,Western Europe,0.00141,46,788,-0.00121,0.00403
2018,Northern Africa,0.00069,31,935,-0.00099,0.00238
2018,Southern Asia,0.00101,34,935,-0.00103,0.00304
2018,Southern Europe,0.00285,155,935,-0.00057,0.00626
2018,Central Asia,0.00044,35,935,-0.00090,0.00178
2018,Western Asia,0.00181,112,935,-0.00092,0.00453
2018,Eastern Europe,0.00708,449,935,0.00170,0.01245
2018,Northern Europe,0.00097,35,935,-0.00103,0.00298
2018,Western Europe,0.00153,47,935,-0.00098,0.00404
2018,Latin America and the Caribbean,0.00097,37,935,-0.00103,0.00297
2019,Northern Africa,0.00083,33,888,-0.00106,0.00271
2019,Southern Asia,0.00107,41,888,-0.00108,0.00322
2019,Southern Europe,0.00360,173,888,-0.00034,0.00754
2019,Western Asia,0.00174,90,888,-0.00100,0.00448
2019,Eastern Europe,0.00763,419,888,0.00190,0.01335
2019,Northern Europe,0.00075,31,888,-0.00105,0.00255
2019,Western Europe,0.00219,61,888,-0.00089,0.00526
2019,Latin America and the Caribbean,0.00102,40,888,-0.00108,0.00311
2020,Northern Africa,0.00041,33,1010,-0.00084,0.00165
2020,Southern Asia,0.00032,36,1010,-0.00078,0.00141
2020,Southern Europe,0.00229,208,1010,-0.00066,0.00525
2020,Western Asia,0.00100,116,1010,-0.00095,0.00294
2020,Eastern Europe,0.00323,456,1010,-0.00027,0.00672
2020,Northern Europe,0.00040,45,1010,-0.00083,0.00164
2020,Western Europe,0.00096,62,1010,-0.00095,0.00288
2020,Latin America and the Caribbean,0.00082,54,1010,-0.00095,0.00259
2021,Southern Europe,0.00312,136,590,-0.00139,0.00762
2021,Western Asia,0.00102,61,590,-0.00156,0.00360
2021,Eastern Europe,0.00407,299,590,-0.00107,0.00922
2021,Northern Europe,0.00050,37,590,-0.00131,0.00230
2021,Western Europe,0.00144,57,590,-0.00162,0.00451
2022,Northern Africa,0.00053,33,1063,-0.00085,0.00191
2022,Northern America,0.00041,33,1063,-0.00081,0.00164
2022,Southern Asia,0.00037,37,1063,-0.00078,0.00152
2022,Southern Europe,0.00394,190,1063,0.00017,0.00771
2022,Western Asia,0.00186,198,1063,-0.00073,0.00445
2022,Eastern Europe,0.00534,353,1063,0.00096,0.00972
2022,Northern Europe,0.00116,56,1063,-0.00089,0.00321
2022,Western Europe,0.00236,89,1063,-0.00056,0.00529
2022,Latin America and the Caribbean,0.00113,74,1063,-0.00089,0.00315
