year,migback,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Direct migration background,Upper Secondary Level,Eastern Europe,0.69907,51,51,0.57194,0.82621
2003,Direct migration background,Upper Secondary Level,Eastern Europe,0.59028,35,35,0.42498,0.75559
2007,Direct migration background,Upper Secondary Level,Eastern Europe,0.55565,31,31,0.37784,0.73346
2008,Direct migration background,Upper Secondary Level,Eastern Europe,0.63946,32,32,0.47044,0.80849
2010,Direct migration background,Upper Secondary Level,Eastern Europe,0.54779,72,72,0.43202,0.66356
2010,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.81320,38,38,0.68762,0.93879
2010,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.52415,34,34,0.35375,0.69454
2010,Indirect migration background,Upper Secondary Level,Southern Europe,0.34573,31,31,0.17553,0.51592
2011,Direct migration background,Upper Secondary Level,Eastern Europe,0.63712,51,51,0.50384,0.77040
2011,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.59164,35,35,0.42642,0.75686
2012,Direct migration background,Upper Secondary Level,Eastern Europe,0.62239,85,85,0.51871,0.72606
2012,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.77461,38,38,0.63997,0.90924
2012,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.67588,57,57,0.55329,0.79847
2013,Direct migration background,Lower Secondary Level,Eastern Europe,0.66802,83,83,0.56609,0.76995
2013,Direct migration background,Upper Secondary Level,Eastern Europe,0.64510,210,210,0.58023,0.70997
2013,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.72936,84,84,0.63377,0.82494
2013,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.59808,134,134,0.51475,0.68140
2013,Indirect migration background,Upper Secondary Level,Southern Europe,0.33450,40,40,0.18642,0.48259
2014,Direct migration background,Lower Secondary Level,Eastern Europe,0.62473,77,77,0.51587,0.73359
2014,Direct migration background,Upper Secondary Level,Eastern Europe,0.60361,176,176,0.53113,0.67608
2014,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.72456,79,79,0.62542,0.82371
2014,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.59667,119,119,0.50816,0.68518
2014,Indirect migration background,Upper Secondary Level,Southern Europe,0.32353,36,36,0.16854,0.47852
2015,Direct migration background,Lower Secondary Level,Eastern Europe,0.46131,48,48,0.31879,0.60383
2015,Direct migration background,Upper Secondary Level,Eastern Europe,0.58400,158,158,0.50690,0.66110
2015,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.72430,84,84,0.62816,0.82044
2015,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.48948,115,115,0.39772,0.58125
2015,Indirect migration background,Upper Secondary Level,Southern Europe,0.26196,31,31,0.10462,0.41931
2015,Indirect migration background,Second Stage of Tertiary Education,Southern Europe,0.39985,31,31,0.22455,0.57514
2016,Direct migration background,Lower Secondary Level,Eastern Europe,0.44485,33,33,0.27267,0.61704
2016,Direct migration background,Upper Secondary Level,Eastern Europe,0.54116,133,133,0.45615,0.62617
2016,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.71067,75,75,0.60736,0.81399
2016,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.48356,119,119,0.39339,0.57373
2016,Indirect migration background,Upper Secondary Level,Southern Europe,0.41551,32,32,0.24203,0.58900
2017,Direct migration background,Lower Secondary Level,Eastern Europe,0.68322,48,48,0.55022,0.81623
2017,Direct migration background,Upper Secondary Level,Eastern Europe,0.55904,138,138,0.47590,0.64218
2017,Direct migration background,Post-secondary Non-tertiary Level,Eastern Europe,0.70024,73,73,0.59441,0.80607
2017,Direct migration background,Second Stage of Tertiary Education,Eastern Europe,0.48358,129,129,0.39700,0.57015
2017,Indirect migration background,Upper Secondary Level,Southern Europe,0.57316,44,44,0.42532,0.72100
2018,Direct migration background,Lower Secondary Level,Eastern Europe,0.61899,44,44,0.47384,0.76415
2018,Direct migration background,Upper Secondary Level,Eastern Europe,0.58613,132,132,0.50179,0.67048
