year,age_gr,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,30-45 y.,Upper Secondary Level,Eastern Europe,0.00764,37,37,-0.02081,0.03610
2012,30-45 y.,Upper Secondary Level,Eastern Europe,0.00867,37,37,-0.02161,0.03894
2013,17-29 y.,Lower Secondary Level,Eastern Europe,0.00793,35,35,-0.02189,0.03775
2013,17-29 y.,Upper Secondary Level,Eastern Europe,0.01082,55,55,-0.01678,0.03842
2013,30-45 y.,Upper Secondary Level,Southern Europe,0.00387,33,122,-0.00719,0.01493
2013,30-45 y.,Upper Secondary Level,Eastern Europe,0.00933,89,122,-0.00780,0.02646
2013,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.02021,48,48,-0.02002,0.06044
2013,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01116,76,76,-0.01262,0.03494
2013,46-65 y.,Upper Secondary Level,Eastern Europe,0.00661,66,66,-0.01309,0.02631
2013,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01176,48,48,-0.01906,0.04259
2014,17-29 y.,Upper Secondary Level,Eastern Europe,0.00732,37,37,-0.02052,0.03516
2014,30-45 y.,Upper Secondary Level,Eastern Europe,0.00815,77,77,-0.01206,0.02837
2014,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.01998,40,40,-0.02394,0.06390
2014,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01229,64,64,-0.01492,0.03951
2014,46-65 y.,Upper Secondary Level,Eastern Europe,0.00517,64,64,-0.01254,0.02287
2014,46-65 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.03370,33,33,-0.02882,0.09623
2014,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.00976,44,44,-0.01962,0.03913
2015,17-29 y.,Upper Secondary Level,Eastern Europe,0.01026,38,38,-0.02221,0.04272
2015,30-45 y.,Upper Secondary Level,Eastern Europe,0.00875,70,70,-0.01322,0.03072
2015,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.01979,45,45,-0.02136,0.06094
2015,30-45 y.,Second Stage of Tertiary Education,Southern Europe,0.00755,32,92,-0.01023,0.02533
2015,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01008,60,92,-0.01044,0.03061
2015,46-65 y.,Upper Secondary Level,Eastern Europe,0.00378,49,49,-0.01358,0.02115
2015,46-65 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.02603,31,31,-0.03095,0.08300
2015,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01075,41,41,-0.02121,0.04270
2016,30-45 y.,Upper Secondary Level,Eastern Europe,0.00824,61,61,-0.01464,0.03112
2016,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.03168,38,38,-0.02476,0.08812
2016,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.00832,53,53,-0.01637,0.03300
2016,46-65 y.,Upper Secondary Level,Eastern Europe,0.00370,42,42,-0.01488,0.02228
2016,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01359,53,53,-0.01788,0.04506
2017,17-29 y.,Upper Secondary Level,Eastern Europe,0.00633,32,32,-0.02159,0.03425
2017,30-45 y.,Upper Secondary Level,Eastern Europe,0.00751,51,51,-0.01642,0.03144
2017,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.03236,37,37,-0.02545,0.09016
2017,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01175,63,63,-0.01507,0.03858
2017,46-65 y.,Upper Secondary Level,Eastern Europe,0.00439,45,45,-0.01514,0.02391
2017,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01012,51,51,-0.01762,0.03786
2018,30-45 y.,Upper Secondary Level,Eastern Europe,0.00880,54,54,-0.01635,0.03395
2018,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.02486,33,33,-0.02909,0.07881
2018,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01228,61,61,-0.01559,0.04014
2018,46-65 y.,Upper Secondary Level,Eastern Europe,0.00511,46,46,-0.01573,0.02596
2018,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01670,68,68,-0.01399,0.04738
2019,30-45 y.,Upper Secondary Level,Eastern Europe,0.00984,43,43,-0.02002,0.03970
2019,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01400,63,63,-0.01525,0.04324
2019,46-65 y.,Upper Secondary Level,Eastern Europe,0.00597,57,57,-0.01420,0.02614
2019,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01592,69,69,-0.01383,0.04566
2020,30-45 y.,Upper Secondary Level,Eastern Europe,0.00487,53,53,-0.01405,0.02380
2020,30-45 y.,Second Stage of Tertiary Education,Southern Europe,0.00486,32,112,-0.00808,0.01781
2020,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.00616,80,112,-0.00840,0.02071
2020,46-65 y.,Upper Secondary Level,Eastern Europe,0.00194,48,48,-0.01064,0.01451
2020,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.00420,62,62,-0.01203,0.02043
2021,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.00905,45,45,-0.01893,0.03703
2021,46-65 y.,Upper Secondary Level,Eastern Europe,0.00318,37,37,-0.01522,0.02158
2021,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.00571,42,42,-0.01735,0.02876
2022,30-45 y.,Second Stage of Tertiary Education,Western Asia,0.00179,35,96,-0.00671,0.01029
2022,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01024,61,96,-0.01000,0.03049
2022,46-65 y.,Upper Secondary Level,Eastern Europe,0.00373,32,32,-0.01772,0.02518
2022,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.00946,46,46,-0.01883,0.03775
