year,pgisced97,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Upper Secondary Level,West,Eastern Europe,0.50116,50,50,0.36116,0.64116
2002,Upper Secondary Level,West,Eastern Europe,0.40043,32,32,0.22794,0.57292
2003,Upper Secondary Level,West,Eastern Europe,0.41215,35,35,0.24669,0.57760
2006,Upper Secondary Level,West,Southern Europe,0.30104,32,32,0.13956,0.46252
2008,Upper Secondary Level,West,Eastern Europe,0.33653,31,31,0.16744,0.50562
2010,Upper Secondary Level,West,Southern Europe,0.23951,41,118,0.16218,0.31685
2010,Upper Secondary Level,West,Eastern Europe,0.34224,77,118,0.25627,0.42821
2010,Post-secondary Non-tertiary Level,West,Eastern Europe,0.72845,36,36,0.58110,0.87580
2010,Second Stage of Tertiary Education,West,Eastern Europe,0.39470,34,34,0.22793,0.56147
2011,Upper Secondary Level,West,Eastern Europe,0.40612,52,52,0.27133,0.54090
2011,Second Stage of Tertiary Education,West,Eastern Europe,0.47034,33,33,0.29741,0.64328
2012,Upper Secondary Level,West,Southern Europe,0.19574,36,121,0.12475,0.26673
2012,Upper Secondary Level,West,Eastern Europe,0.43538,85,121,0.34667,0.52409
2012,Post-secondary Non-tertiary Level,West,Eastern Europe,0.68002,38,38,0.52972,0.83033
2012,Second Stage of Tertiary Education,West,Eastern Europe,0.53916,57,57,0.40861,0.66972
2013,Lower Secondary Level,West,Western Asia,0.20674,33,108,0.13000,0.28347
2013,Lower Secondary Level,West,Eastern Europe,0.44858,75,108,0.35435,0.54282
2013,Upper Secondary Level,West,Southern Europe,0.14164,58,267,0.09974,0.18355
2013,Upper Secondary Level,West,Eastern Europe,0.46348,209,267,0.40356,0.52341
2013,Post-secondary Non-tertiary Level,West,Eastern Europe,0.66634,80,80,0.56236,0.77032
2013,Second Stage of Tertiary Education,West,Southern Europe,0.13175,37,157,0.07868,0.18483
2013,Second Stage of Tertiary Education,West,Eastern Europe,0.38409,120,157,0.30776,0.46041
2014,Lower Secondary Level,West,Eastern Europe,0.40572,67,67,0.28726,0.52419
2014,Upper Secondary Level,West,Southern Europe,0.15978,56,231,0.11242,0.20713
2014,Upper Secondary Level,West,Eastern Europe,0.41669,175,231,0.35298,0.48041
2014,Post-secondary Non-tertiary Level,West,Eastern Europe,0.64943,75,75,0.54072,0.75815
2014,Second Stage of Tertiary Education,West,Southern Europe,0.16897,41,150,0.10880,0.22915
2014,Second Stage of Tertiary Education,West,Eastern Europe,0.33892,109,150,0.26291,0.41492
2015,Lower Secondary Level,West,Eastern Europe,0.31786,44,44,0.17868,0.45704
2015,Upper Secondary Level,West,Southern Europe,0.16055,49,235,0.11351,0.20759
2015,Upper Secondary Level,West,Western Asia,0.10708,34,235,0.06746,0.14670
2015,Upper Secondary Level,West,Eastern Europe,0.39528,152,235,0.33263,0.45792
2015,Post-secondary Non-tertiary Level,West,Eastern Europe,0.66157,81,81,0.55788,0.76526
