year,quintil_oecd,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,2nd Quintile,West,Eastern Europe,0.67154,37,37,0.51812,0.82496
2005,1st Quintile,West,Eastern Europe,0.53362,32,32,0.35801,0.70924
2008,3rd Quintile,West,Eastern Europe,0.57861,33,33,0.40753,0.74970
2012,1st Quintile,West,Eastern Europe,0.58818,54,54,0.45567,0.72068
2012,2nd Quintile,West,Eastern Europe,0.43551,53,53,0.30074,0.57027
2012,3rd Quintile,West,Eastern Europe,0.44993,41,41,0.29576,0.60410
2013,1st Quintile,West,Eastern Europe,0.54937,69,69,0.43111,0.66764
2013,2nd Quintile,West,Eastern Europe,0.55828,54,54,0.42459,0.69198
2013,3rd Quintile,West,Eastern Europe,0.55125,38,38,0.39099,0.71152
2014,1st Quintile,West,Western Asia,0.16003,42,194,0.10830,0.21176
2014,1st Quintile,West,Eastern Europe,0.47530,152,194,0.40484,0.54576
2014,2nd Quintile,West,Southern Europe,0.09644,34,163,0.05099,0.14190
2014,2nd Quintile,West,Eastern Europe,0.49843,129,163,0.42144,0.57543
2014,3rd Quintile,West,Southern Europe,0.21911,45,138,0.14984,0.28838
2014,3rd Quintile,West,Eastern Europe,0.38307,93,138,0.30167,0.46448
2014,4th Quintile,West,Eastern Europe,0.53927,60,60,0.41208,0.66646
2014,5th Quintile,West,Southern Europe,0.22182,36,68,0.12234,0.32131
2014,5th Quintile,West,Eastern Europe,0.23281,32,68,0.13161,0.33401
2015,1st Quintile,West,Western Asia,0.23249,44,160,0.16683,0.29815
2015,1st Quintile,West,Eastern Europe,0.41380,116,160,0.33725,0.49036
2015,2nd Quintile,West,Eastern Europe,0.46572,106,106,0.37030,0.56113
2015,3rd Quintile,West,Southern Europe,0.26448,34,123,0.18622,0.34275
2015,3rd Quintile,West,Eastern Europe,0.40689,89,123,0.31972,0.49407
2015,4th Quintile,West,Eastern Europe,0.33994,55,55,0.21359,0.46628
2015,5th Quintile,West,Southern Europe,0.16714,33,64,0.07501,0.25928
2015,5th Quintile,West,Eastern Europe,0.25372,31,64,0.14626,0.36117
2016,1st Quintile,West,Western Asia,0.20860,42,139,0.14081,0.27640
2016,1st Quintile,West,Eastern Europe,0.44988,97,139,0.36687,0.53288
2016,2nd Quintile,West,Eastern Europe,0.38637,111,111,0.29538,0.47737
2016,3rd Quintile,West,Eastern Europe,0.42629,80,80,0.31723,0.53534
2016,4th Quintile,West,Southern Europe,0.21325,36,91,0.12863,0.29788
2016,4th Quintile,West,Eastern Europe,0.29281,55,91,0.19880,0.38683
2016,5th Quintile,West,Eastern Europe,0.31289,41,41,0.16919,0.45658
