year,age_gr,sampreg,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,West,Eastern Europe,0.50843,54,54,0.37384,0.64302
2001,30-45 y.,West,Eastern Europe,0.52015,44,44,0.37082,0.66948
2002,30-45 y.,West,Eastern Europe,0.44151,35,35,0.27460,0.60843
2003,30-45 y.,West,Eastern Europe,0.50902,40,40,0.35212,0.66592
2004,30-45 y.,West,Eastern Europe,0.46650,32,32,0.29088,0.64212
2005,30-45 y.,West,Eastern Europe,0.55791,40,40,0.40204,0.71378
2006,30-45 y.,West,Eastern Europe,0.39736,33,33,0.22781,0.56691
2006,46-65 y.,West,Eastern Europe,0.44932,31,31,0.27132,0.62732
2007,30-45 y.,West,Eastern Europe,0.48725,36,36,0.32166,0.65285
2007,46-65 y.,West,Eastern Europe,0.46234,33,33,0.28960,0.63509
2008,30-45 y.,West,Eastern Europe,0.48873,32,32,0.31276,0.66470
2008,46-65 y.,West,Eastern Europe,0.55434,41,41,0.40031,0.70838
2009,30-45 y.,West,Eastern Europe,0.50555,31,31,0.32664,0.68447
2009,46-65 y.,West,Eastern Europe,0.57873,40,40,0.42376,0.73369
2010,17-29 y.,West,Eastern Europe,0.21568,40,40,0.08659,0.34476
2010,30-45 y.,West,Southern Europe,0.20518,39,163,0.14299,0.26736
2010,30-45 y.,West,Western Asia,0.09582,36,163,0.05049,0.14114
2010,30-45 y.,West,Eastern Europe,0.46876,88,163,0.39192,0.54561
2010,46-65 y.,West,Eastern Europe,0.50161,45,45,0.35387,0.64935
2011,30-45 y.,West,Southern Europe,0.26966,34,68,0.16339,0.37592
2011,30-45 y.,West,Eastern Europe,0.43547,34,68,0.31675,0.55420
2011,46-65 y.,West,Eastern Europe,0.63151,68,68,0.51599,0.74702
2012,17-29 y.,West,Eastern Europe,0.39520,38,38,0.23767,0.55273
2012,30-45 y.,West,Southern Europe,0.17927,44,140,0.11550,0.24304
2012,30-45 y.,West,Eastern Europe,0.46435,96,140,0.38144,0.54726
2012,46-65 y.,West,Eastern Europe,0.66582,79,79,0.56114,0.77050
2013,17-29 y.,West,Southern Europe,0.13717,57,217,0.09129,0.18304
2013,17-29 y.,West,Western Asia,0.16679,45,217,0.11708,0.21651
2013,17-29 y.,West,Eastern Europe,0.32859,115,217,0.26595,0.39123
2013,30-45 y.,West,Southern Europe,0.14510,74,346,0.10794,0.18227
2013,30-45 y.,West,Western Asia,0.10429,47,346,0.07204,0.13654
2013,30-45 y.,West,Eastern Europe,0.42592,225,346,0.37374,0.47810
2013,46-65 y.,West,Eastern Europe,0.61087,161,161,0.53532,0.68642
2013,66 and older,West,Eastern Europe,0.53510,31,31,0.35662,0.71358
2014,17-29 y.,West,Southern Europe,0.13536,50,174,0.08438,0.18634
2014,17-29 y.,West,Western Asia,0.20326,39,174,0.14329,0.26323
2014,17-29 y.,West,Eastern Europe,0.24710,85,174,0.18283,0.31137
2014,30-45 y.,West,Southern Europe,0.18313,77,311,0.14007,0.22618
2014,30-45 y.,West,Western Asia,0.09117,41,311,0.05913,0.12321
2014,30-45 y.,West,Eastern Europe,0.39461,193,311,0.34020,0.44902
2014,46-65 y.,West,Southern Europe,0.09361,31,188,0.05186,0.13536
