year,migback,sampreg,plh0037,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,West,Very concerned,0.29180,3257,11159,0.28336,0.30023
2009,No migration background,West,Somewhat concerned,0.55472,6241,11159,0.54550,0.56394
2009,No migration background,West,Not concerned at all,0.15348,1661,11159,0.14679,0.16017
2009,No migration background,East,Very concerned,0.25712,1081,4419,0.24423,0.27001
2009,No migration background,East,Somewhat concerned,0.53254,2449,4419,0.51782,0.54725
2009,No migration background,East,Not concerned at all,0.21034,889,4419,0.19833,0.22236
2009,Direct migration background,West,Very concerned,0.29126,453,1572,0.26880,0.31373
2009,Direct migration background,West,Somewhat concerned,0.54675,851,1572,0.52214,0.57137
2009,Direct migration background,West,Not concerned at all,0.16199,268,1572,0.14377,0.18020
2009,Direct migration background,East,Somewhat concerned,0.56095,39,39,0.40316,0.71874
2009,Indirect migration background,West,Very concerned,0.25975,192,665,0.22640,0.29310
2009,Indirect migration background,West,Somewhat concerned,0.58916,369,665,0.55174,0.62658
2009,Indirect migration background,West,Not concerned at all,0.15109,104,665,0.12385,0.17833
2010,No migration background,West,Very concerned,0.30531,4441,14569,0.29783,0.31279
2010,No migration background,West,Somewhat concerned,0.53034,7824,14569,0.52224,0.53845
2010,No migration background,West,Not concerned at all,0.16434,2304,14569,0.15833,0.17036
2010,No migration background,East,Very concerned,0.23715,1178,5247,0.22564,0.24866
2010,No migration background,East,Somewhat concerned,0.51534,2835,5247,0.50181,0.52886
2010,No migration background,East,Not concerned at all,0.24751,1234,5247,0.23584,0.25919
2010,Direct migration background,West,Very concerned,0.31096,819,2824,0.29388,0.32803
2010,Direct migration background,West,Somewhat concerned,0.51664,1447,2824,0.49820,0.53507
2010,Direct migration background,West,Not concerned at all,0.17241,558,2824,0.15847,0.18634
2010,Direct migration background,East,Very concerned,0.27417,37,110,0.19042,0.35792
2010,Direct migration background,East,Somewhat concerned,0.56291,73,110,0.46979,0.65603
2010,Indirect migration background,West,Very concerned,0.32825,346,1015,0.29935,0.35715
2010,Indirect migration background,West,Somewhat concerned,0.51266,511,1015,0.48189,0.54342
2010,Indirect migration background,West,Not concerned at all,0.15909,158,1015,0.13658,0.18161
2010,Indirect migration background,East,Somewhat concerned,0.47121,33,33,0.29826,0.64416
2011,No migration background,West,Very concerned,0.31190,4137,13006,0.30394,0.31986
2011,No migration background,West,Somewhat concerned,0.53804,6988,13006,0.52947,0.54661
2011,No migration background,West,Not concerned at all,0.15006,1881,13006,0.14392,0.15620
2011,No migration background,East,Very concerned,0.24697,1150,4707,0.23464,0.25929
2011,No migration background,East,Somewhat concerned,0.53650,2546,4707,0.52225,0.55074
2011,No migration background,East,Not concerned at all,0.21654,1011,4707,0.20477,0.22831
2011,Direct migration background,West,Very concerned,0.26643,538,1880,0.24644,0.28642
2011,Direct migration background,West,Somewhat concerned,0.56624,1019,1880,0.54383,0.58864
2011,Direct migration background,West,Not concerned at all,0.16733,323,1880,0.15045,0.18421
2011,Direct migration background,East,Somewhat concerned,0.56233,49,49,0.42199,0.70268
2011,Indirect migration background,West,Very concerned,0.30324,232,746,0.27024,0.33625
2011,Indirect migration background,West,Somewhat concerned,0.54643,397,746,0.51068,0.58218
2011,Indirect migration background,West,Not concerned at all,0.15033,117,746,0.12466,0.17599
2012,No migration background,West,Very concerned,0.28712,3767,12945,0.27933,0.29491
2012,No migration background,West,Somewhat concerned,0.54253,7063,12945,0.53395,0.55112
2012,No migration background,West,Not concerned at all,0.17034,2115,12945,0.16387,0.17682
2012,No migration background,East,Very concerned,0.24781,1090,4672,0.23543,0.26020
2012,No migration background,East,Somewhat concerned,0.51855,2534,4672,0.50422,0.53288
2012,No migration background,East,Not concerned at all,0.23364,1048,4672,0.22150,0.24577
2012,Direct migration background,West,Very concerned,0.28199,515,1874,0.26161,0.30237
2012,Direct migration background,West,Somewhat concerned,0.52992,992,1874,0.50731,0.55252
2012,Direct migration background,West,Not concerned at all,0.18810,367,1874,0.17040,0.20579
2012,Direct migration background,East,Somewhat concerned,0.48058,54,54,0.34607,0.61509
2012,Indirect migration background,West,Very concerned,0.24523,187,732,0.21404,0.27642
2012,Indirect migration background,West,Somewhat concerned,0.52785,388,732,0.49166,0.56404
2012,Indirect migration background,West,Not concerned at all,0.22693,157,732,0.19656,0.25729
2013,No migration background,West,Very concerned,0.26426,3246,12029,0.25638,0.27214
2013,No migration background,West,Somewhat concerned,0.54282,6568,12029,0.53392,0.55173
2013,No migration background,West,Not concerned at all,0.19292,2215,12029,0.18587,0.19997
2013,No migration background,East,Very concerned,0.23252,955,4316,0.21991,0.24512
2013,No migration background,East,Somewhat concerned,0.51951,2329,4316,0.50460,0.53442
2013,No migration background,East,Not concerned at all,0.24797,1032,4316,0.23509,0.26086
2013,Direct migration background,West,Very concerned,0.25936,406,1632,0.23809,0.28064
2013,Direct migration background,West,Somewhat concerned,0.53593,874,1632,0.51173,0.56014
2013,Direct migration background,West,Not concerned at all,0.20470,352,1632,0.18512,0.22429
2013,Direct migration background,East,Somewhat concerned,0.53380,44,44,0.38469,0.68290
2013,Indirect migration background,West,Very concerned,0.26839,184,656,0.23445,0.30232
2013,Indirect migration background,West,Somewhat concerned,0.49272,323,656,0.45444,0.53101
2013,Indirect migration background,West,Not concerned at all,0.23889,149,656,0.20623,0.27154
2014,No migration background,West,Very concerned,0.28365,4401,14913,0.27641,0.29088
2014,No migration background,West,Somewhat concerned,0.54188,8005,14913,0.53388,0.54988
2014,No migration background,West,Not concerned at all,0.17447,2507,14913,0.16838,0.18056
2014,No migration background,East,Very concerned,0.23913,1202,5103,0.22742,0.25083
2014,No migration background,East,Somewhat concerned,0.51715,2695,5103,0.50344,0.53086
2014,No migration background,East,Not concerned at all,0.24372,1206,5103,0.23194,0.25550
2014,Direct migration background,West,Very concerned,0.27082,1252,4858,0.25832,0.28332
2014,Direct migration background,West,Somewhat concerned,0.51282,2559,4858,0.49876,0.52688
2014,Direct migration background,West,Not concerned at all,0.21636,1047,4858,0.20478,0.22794
2014,Direct migration background,East,Very concerned,0.25944,78,366,0.21447,0.30441
2014,Direct migration background,East,Somewhat concerned,0.48486,190,366,0.43359,0.53613
2014,Direct migration background,East,Not concerned at all,0.25570,98,366,0.21094,0.30045
2014,Indirect migration background,West,Very concerned,0.27584,483,1600,0.25394,0.29775
2014,Indirect migration background,West,Somewhat concerned,0.50604,782,1600,0.48153,0.53055
2014,Indirect migration background,West,Not concerned at all,0.21812,335,1600,0.19788,0.23836
2014,Indirect migration background,East,Somewhat concerned,0.55151,47,47,0.40779,0.69524
2015,No migration background,West,Very concerned,0.27733,4017,14076,0.26993,0.28472
