syear,sampreg,sex,plh0037,proportion,n,lower_confidence,upper_confidence
2009,West,female,2.0,0.22232137877182218,18254,0.21628928975471584,0.2283534677889285
2009,West,male,2.0,0.19382006804618215,18254,0.18808560959139922,0.19955452650096508
2009,West,female,1.0,0.12164649450610743,18254,0.11690449486374839,0.12638849414846645
2009,West,male,1.0,0.0959897372971164,18254,0.09171631186555027,0.10026316272868255
2009,East,female,2.0,0.07535278041162363,18254,0.07152352157529727,0.07918203924794999
2009,West,male,3.0,0.06609403759272686,18254,0.06248983027678372,0.06969824490867
2009,East,male,2.0,0.06442077081822745,18254,0.060859292600634676,0.06798224903582022
2009,West,female,3.0,0.04729767415918345,18254,0.04421820716613229,0.05037714115223461
2009,East,female,1.0,0.033465335489988285,18254,0.03085627975237538,0.036074391227601185
2009,East,male,3.0,0.028724412962239945,18254,0.026301298857375834,0.031147527067104056
2009,East,male,1.0,0.028668637403089964,18254,0.026247807474151726,0.031089467332028203
2009,East,female,3.0,0.022198672541692232,18254,0.02006137069034026,0.024335974393044205
2010,West,female,2.0,0.2261525565800503,24328,0.22089563746691834,0.23140947569318224
2010,West,male,2.0,0.18382229673093042,24328,0.17895492713492073,0.18868966632694012
2010,West,female,1.0,0.13847443419949707,24328,0.13413411417711202,0.1428147542218821
2010,West,male,1.0,0.09647946353730093,24328,0.09276933187416411,0.10018959520043774
2010,West,male,3.0,0.07066219614417435,24328,0.06744199325593574,0.07388239903241296
2010,East,female,2.0,0.06923721709974853,24328,0.06604720614593634,0.07242722805356072
2010,West,female,3.0,0.05590947191953059,24328,0.05302243469790736,0.05879650914115383
2010,East,male,2.0,0.05402347024308466,24328,0.05118271192176706,0.056864228564402264
2010,East,female,1.0,0.029547359597652974,24328,0.027419468588301722,0.03167525060700423
2010,East,male,3.0,0.028667225481978205,24328,0.026570315821916435,0.030764135142039975
2010,East,female,3.0,0.025062866722548198,24328,0.02309857246898007,0.027027160976116325
2010,East,male,1.0,0.02196144174350377,24328,0.020119774006657834,0.023803109480349707
2011,West,female,2.0,0.21822799648334473,28898,0.21346568861741994,0.22299030434926953
2011,West,male,2.0,0.19224382143206017,28898,0.18770034250911727,0.19678730035500308
2011,West,female,1.0,0.1380775617856794,28898,0.13409999183393848,0.14205513173742032
2011,West,male,1.0,0.10159226335840578,28898,0.09810897652968516,0.1050755501871264
2011,East,female,2.0,0.07033310540197324,28898,0.06738484555603624,0.07328136524791024
2011,West,male,3.0,0.06637686822311224,28898,0.06350664047573809,0.0692470959704864
2011,East,male,2.0,0.05773175735078636,28898,0.05504259610474909,0.06042091859682363
2011,West,female,3.0,0.04698642180326267,28898,0.04454660111973073,0.049426242486794614
2011,East,female,1.0,0.03189410960242259,28898,0.029868112357519787,0.03392010684732539
2011,East,male,3.0,0.028719351372472404,28898,0.026793681394510504,0.030645021350434305
2011,East,male,1.0,0.02583764774836378,28898,0.024008434511739566,0.027666860984987992
2011,East,female,3.0,0.021979095438116637,28898,0.02028865001377677,0.023669540862456505
2012,West,female,2.0,0.22288210464317268,28166,0.21802167636556063,0.22774253292078472
2012,West,male,2.0,0.19151860213998234,28166,0.18692308932621754,0.19611411495374714
2012,West,female,1.0,0.12771178953568274,28166,0.1238138151545241,0.1316097639168414
2012,West,male,1.0,0.09163639933248258,28166,0.08826696223203284,0.09500583643293231
2012,West,male,3.0,0.07642092863453422,28166,0.0733182508165131,0.07952360645255534
