year,age_gr,sex,plh0037,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,male,Very concerned,0.24252,315,17929,0.24217,0.24286
2009,17-29 y.,male,Somewhat concerned,0.47350,671,17929,0.47309,0.47390
2009,17-29 y.,male,Not concerned at all,0.28399,405,17929,0.28362,0.28435
2009,17-29 y.,female,Very concerned,0.28925,400,17929,0.28888,0.28962
2009,17-29 y.,female,Somewhat concerned,0.53078,801,17929,0.53037,0.53119
2009,17-29 y.,female,Not concerned at all,0.17997,247,17929,0.17965,0.18028
2009,30-45 y.,male,Very concerned,0.26744,589,17929,0.26716,0.26772
2009,30-45 y.,male,Somewhat concerned,0.55528,1195,17929,0.55496,0.55560
2009,30-45 y.,male,Not concerned at all,0.17728,413,17929,0.17704,0.17753
2009,30-45 y.,female,Very concerned,0.30152,729,17929,0.30122,0.30182
2009,30-45 y.,female,Somewhat concerned,0.58293,1430,17929,0.58261,0.58326
2009,30-45 y.,female,Not concerned at all,0.11555,300,17929,0.11534,0.11576
2009,46-65 y.,male,Very concerned,0.25834,772,17929,0.25808,0.25860
2009,46-65 y.,male,Somewhat concerned,0.55916,1694,17929,0.55887,0.55945
2009,46-65 y.,male,Not concerned at all,0.18250,540,17929,0.18227,0.18272
2009,46-65 y.,female,Very concerned,0.30144,977,17929,0.30117,0.30171
2009,46-65 y.,female,Somewhat concerned,0.58438,1937,17929,0.58409,0.58467
2009,46-65 y.,female,Not concerned at all,0.11418,384,17929,0.11399,0.11437
2009,66 and older,male,Very concerned,0.28577,559,17929,0.28543,0.28610
2009,66 and older,male,Somewhat concerned,0.53840,1070,17929,0.53803,0.53877
2009,66 and older,male,Not concerned at all,0.17584,342,17929,0.17555,0.17612
2009,66 and older,female,Very concerned,0.31543,675,17929,0.31513,0.31573
2009,66 and older,female,Somewhat concerned,0.53657,1169,17929,0.53625,0.53690
2009,66 and older,female,Not concerned at all,0.14800,315,17929,0.14777,0.14823
2010,17-29 y.,male,Very concerned,0.25537,396,23860,0.25501,0.25572
2010,17-29 y.,male,Somewhat concerned,0.47126,803,23860,0.47086,0.47167
2010,17-29 y.,male,Not concerned at all,0.27337,502,23860,0.27301,0.27373
2010,17-29 y.,female,Very concerned,0.29114,631,23860,0.29076,0.29152
2010,17-29 y.,female,Somewhat concerned,0.52718,1167,23860,0.52676,0.52760
2010,17-29 y.,female,Not concerned at all,0.18168,407,23860,0.18136,0.18200
2010,30-45 y.,male,Very concerned,0.27256,1002,23860,0.27227,0.27285
2010,30-45 y.,male,Somewhat concerned,0.51229,2107,23860,0.51197,0.51262
2010,30-45 y.,male,Not concerned at all,0.21514,817,23860,0.21488,0.21541
2010,30-45 y.,female,Very concerned,0.30331,1608,23860,0.30301,0.30362
2010,30-45 y.,female,Somewhat concerned,0.55438,2805,23860,0.55406,0.55471
2010,30-45 y.,female,Not concerned at all,0.14230,696,23860,0.14207,0.14253
2010,46-65 y.,male,Very concerned,0.26598,891,23860,0.26572,0.26623
2010,46-65 y.,male,Somewhat concerned,0.54540,1780,23860,0.54511,0.54569
2010,46-65 y.,male,Not concerned at all,0.18863,661,23860,0.18840,0.18885
2010,46-65 y.,female,Very concerned,0.32749,1116,23860,0.32722,0.32777
2010,46-65 y.,female,Somewhat concerned,0.53947,1982,23860,0.53918,0.53976
2010,46-65 y.,female,Not concerned at all,0.13304,501,23860,0.13284,0.13324
2010,66 and older,male,Very concerned,0.29500,537,23860,0.29466,0.29534
2010,66 and older,male,Somewhat concerned,0.49729,985,23860,0.49692,0.49766
2010,66 and older,male,Not concerned at all,0.20771,390,23860,0.20741,0.20801
2010,66 and older,female,Very concerned,0.32728,654,23860,0.32697,0.32758
2010,66 and older,female,Somewhat concerned,0.51982,1094,23860,0.51950,0.52015
2010,66 and older,female,Not concerned at all,0.15290,328,23860,0.15266,0.15313
2011,17-29 y.,male,Very concerned,0.20778,304,20474,0.20742,0.20813
2011,17-29 y.,male,Somewhat concerned,0.51264,716,20474,0.51220,0.51308
2011,17-29 y.,male,Not concerned at all,0.27958,424,20474,0.27919,0.27997
2011,17-29 y.,female,Very concerned,0.29855,442,20474,0.29813,0.29897
2011,17-29 y.,female,Somewhat concerned,0.54252,830,20474,0.54206,0.54298
2011,17-29 y.,female,Not concerned at all,0.15893,244,20474,0.15860,0.15926
2011,30-45 y.,male,Very concerned,0.27629,592,20474,0.27596,0.27663
2011,30-45 y.,male,Somewhat concerned,0.53115,1155,20474,0.53077,0.53152
2011,30-45 y.,male,Not concerned at all,0.19256,427,20474,0.19227,0.19286
2011,30-45 y.,female,Very concerned,0.31760,853,20474,0.31724,0.31796
2011,30-45 y.,female,Somewhat concerned,0.56010,1467,20474,0.55972,0.56049
2011,30-45 y.,female,Not concerned at all,0.12230,311,20474,0.12205,0.12256
2011,46-65 y.,male,Very concerned,0.27491,1047,20474,0.27464,0.27518
2011,46-65 y.,male,Somewhat concerned,0.55598,1981,20474,0.55568,0.55628
2011,46-65 y.,male,Not concerned at all,0.16911,615,20474,0.16889,0.16934
2011,46-65 y.,female,Very concerned,0.35126,1394,20474,0.35097,0.35154
2011,46-65 y.,female,Somewhat concerned,0.53280,2203,20474,0.53250,0.53310
2011,46-65 y.,female,Not concerned at all,0.11594,468,20474,0.11575,0.11614
2011,66 and older,male,Very concerned,0.26370,666,20474,0.26337,0.26403
2011,66 and older,male,Somewhat concerned,0.54444,1266,20474,0.54407,0.54481
2011,66 and older,male,Not concerned at all,0.19186,481,20474,0.19156,0.19216
2011,66 and older,female,Very concerned,0.31451,791,20474,0.31420,0.31482
2011,66 and older,female,Somewhat concerned,0.54300,1408,20474,0.54267,0.54333
2011,66 and older,female,Not concerned at all,0.14249,389,20474,0.14226,0.14272
2012,17-29 y.,male,Very concerned,0.20864,276,20374,0.20829,0.20900
2012,17-29 y.,male,Somewhat concerned,0.47813,677,20374,0.47769,0.47856
2012,17-29 y.,male,Not concerned at all,0.31323,461,20374,0.31282,0.31364
2012,17-29 y.,female,Very concerned,0.27680,405,20374,0.27639,0.27721
2012,17-29 y.,female,Somewhat concerned,0.52114,759,20374,0.52069,0.52160
2012,17-29 y.,female,Not concerned at all,0.20206,287,20374,0.20169,0.20243
2012,30-45 y.,male,Very concerned,0.26412,510,20374,0.26380,0.26445
2012,30-45 y.,male,Somewhat concerned,0.51604,1113,20374,0.51567,0.51641
2012,30-45 y.,male,Not concerned at all,0.21984,447,20374,0.21953,0.22014
2012,30-45 y.,female,Very concerned,0.30316,759,20374,0.30280,0.30352
2012,30-45 y.,female,Somewhat concerned,0.55014,1398,20374,0.54975,0.55053
2012,30-45 y.,female,Not concerned at all,0.14670,340,20374,0.14642,0.14698
2012,46-65 y.,male,Very concerned,0.24927,904,20374,0.24902,0.24953
2012,46-65 y.,male,Somewhat concerned,0.54544,2000,20374,0.54515,0.54574
2012,46-65 y.,male,Not concerned at all,0.20528,723,20374,0.20504,0.20552
2012,46-65 y.,female,Very concerned,0.31414,1301,20374,0.31387,0.31442
2012,46-65 y.,female,Somewhat concerned,0.56449,2336,20374,0.56420,0.56478
2012,46-65 y.,female,Not concerned at all,0.12137,538,20374,0.12117,0.12156
2012,66 and older,male,Very concerned,0.26946,663,20374,0.26913,0.26978
2012,66 and older,male,Somewhat concerned,0.51883,1315,20374,0.51846,0.51920
