,Unnamed: 0,year,migback,regtyp,plh0037,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,No migration background,Urban regions,Very concerned,0.29886,2833,17907,0.28798,0.30888
1,1,2009,No migration background,Urban regions,Somewhat concerned,0.54495,5378,17907,0.53248,0.55855
2,2,2009,No migration background,Urban regions,Not concerned at all,0.15619,1496,17907,0.14866,0.16352
3,3,2009,No migration background,Rural regions,Very concerned,0.25761,1506,17907,0.24339,0.26958
4,4,2009,No migration background,Rural regions,Somewhat concerned,0.55881,3315,17907,0.53885,0.57704
5,5,2009,No migration background,Rural regions,Not concerned at all,0.18358,1053,17907,0.17396,0.19568
6,6,2009,Direct migration background,Urban regions,Very concerned,0.30083,390,17907,0.26783,0.32466
7,7,2009,Direct migration background,Urban regions,Somewhat concerned,0.54174,718,17907,0.50716,0.57904
8,8,2009,Direct migration background,Urban regions,Not concerned at all,0.15743,224,17907,0.14094,0.17388
9,9,2009,Direct migration background,Rural regions,Very concerned,0.25796,86,17907,0.21245,0.29914
10,10,2009,Direct migration background,Rural regions,Somewhat concerned,0.56885,172,17907,0.49953,0.6415
11,11,2009,Direct migration background,Rural regions,Not concerned at all,0.17319,56,17907,0.13443,0.20848
12,12,2009,Indirect migration background,Urban regions,Very concerned,0.2735,179,17907,0.22947,0.31873
13,13,2009,Indirect migration background,Urban regions,Somewhat concerned,0.58834,326,17907,0.51481,0.65047
14,14,2009,Indirect migration background,Urban regions,Not concerned at all,0.13816,82,17907,0.10806,0.16576
15,15,2009,Indirect migration background,Rural regions,Somewhat concerned,0.66776,58,17907,0.49882,0.84007
16,16,2009,Indirect migration background,Rural regions,Not concerned at all,0.33224,35,17907,0.2123,0.45767
17,17,2010,No migration background,Urban regions,Very concerned,0.30418,3734,23860,0.29286,0.31481
18,18,2010,No migration background,Urban regions,Somewhat concerned,0.52495,6561,23860,0.51115,0.5388
19,19,2010,No migration background,Urban regions,Not concerned at all,0.17087,2052,23860,0.16275,0.18203
20,20,2010,No migration background,Rural regions,Very concerned,0.26422,1890,23860,0.25091,0.27893
21,21,2010,No migration background,Rural regions,Somewhat concerned,0.53118,4111,23860,0.50879,0.55159
22,22,2010,No migration background,Rural regions,Not concerned at all,0.20459,1489,23860,0.19247,0.21673
23,23,2010,Direct migration background,Urban regions,Very concerned,0.31322,671,23860,0.28865,0.34613
24,24,2010,Direct migration background,Urban regions,Somewhat concerned,0.51215,1170,23860,0.48008,0.55052
25,25,2010,Direct migration background,Urban regions,Not concerned at all,0.17463,453,23860,0.15463,0.19676
26,26,2010,Direct migration background,Rural regions,Very concerned,0.29578,171,23860,0.24843,0.35896
27,27,2010,Direct migration background,Rural regions,Somewhat concerned,0.53776,333,23860,0.44649,0.61771
28,28,2010,Direct migration background,Rural regions,Not concerned at all,0.16646,124,23860,0.13383,0.20076
29,29,2010,Indirect migration background,Urban regions,Very concerned,0.34301,319,23860,0.28161,0.40162
