"plh0037","year","regtyp","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","2009","Laendlicher Raum","maennlich","1661","0.546728065315054","0.529110077635961","0.564346052994146"
"Einige Sorgen","2009","Laendlicher Raum","weiblich","1897","0.571109020497433","0.554130260009808","0.588087780985057"
"Einige Sorgen","2009","Staedtischer Raum","maennlich","2969","0.534828092748883","0.521643717103714","0.548012468394052"
"Einige Sorgen","2009","Staedtischer Raum","weiblich","3440","0.558798755091518","0.546338433448847","0.57125907673419"
"Grosse Sorgen","2009","Laendlicher Raum","maennlich","739","0.235782954084822","0.220759985276227","0.250805922893417"
"Grosse Sorgen","2009","Laendlicher Raum","weiblich","888","0.2749618903163","0.259644326945313","0.290279453687288"
"Grosse Sorgen","2009","Staedtischer Raum","maennlich","1496","0.277494767818526","0.265659076746454","0.289330458890598"
"Grosse Sorgen","2009","Staedtischer Raum","weiblich","1893","0.316621557502146","0.30494851541706","0.328294599587231"
"Keine Sorgen","2009","Laendlicher Raum","maennlich","667","0.217488980600125","0.202888906402092","0.232089054798157"
"Keine Sorgen","2009","Laendlicher Raum","weiblich","479","0.153929089186267","0.141548630148134","0.1663095482244"
"Keine Sorgen","2009","Staedtischer Raum","maennlich","1033","0.187677139432591","0.177356282720526","0.197997996144655"
"Keine Sorgen","2009","Staedtischer Raum","weiblich","767","0.124579687406336","0.116292348458211","0.132867026354461"
"Einige Sorgen","2010","Laendlicher Raum","maennlich","2032","0.516164616830566","0.50035437424337","0.531974859417762"
"Einige Sorgen","2010","Laendlicher Raum","weiblich","2527","0.546237911913542","0.531698262874171","0.560777560952912"
"Einige Sorgen","2010","Staedtischer Raum","maennlich","3643","0.511629167552448","0.49994681551907","0.523311519585826"
"Einige Sorgen","2010","Staedtischer Raum","weiblich","4521","0.531675017814281","0.521057598789275","0.542292436839286"
"Grosse Sorgen","2010","Laendlicher Raum","maennlich","889","0.245291056824892","0.231678922967133","0.25890319068265"
"Grosse Sorgen","2010","Laendlicher Raum","weiblich","1233","0.286428659601336","0.273225561965804","0.299631757236869"
"Grosse Sorgen","2010","Staedtischer Raum","maennlich","1937","0.284472230477178","0.273928095227983","0.295016365726373"
"Grosse Sorgen","2010","Staedtischer Raum","weiblich","2776","0.328815567845136","0.318819727967669","0.338811407722604"
"Keine Sorgen","2010","Laendlicher Raum","maennlich","917","0.238544326344542","0.225060831759143","0.252027820929942"
"Keine Sorgen","2010","Laendlicher Raum","weiblich","744","0.167333428485122","0.156432190530213","0.17823466644003"
"Keine Sorgen","2010","Staedtischer Raum","maennlich","1453","0.203898601970374","0.194482544519631","0.213314659421117"
"Keine Sorgen","2010","Staedtischer Raum","weiblich","1188","0.139509414340583","0.132137216404385","0.146881612276781"
