"plh0037","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","2009","(noch) kein Abschluss","kein Migrationshintergrund","83","0.263100723478788","0.214085348399289","0.312116098558288"
"Grosse Sorgen","2009","(noch) kein Abschluss","direkter Migrationshintergrund","33","0.271432137515828","0.188329006439668","0.354535268591988"
"Grosse Sorgen","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","12","","",""
"Grosse Sorgen","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2009","Hauptschule","kein Migrationshintergrund","1437","","",""
"Grosse Sorgen","2009","Hauptschule","direkter Migrationshintergrund","206","","",""
"Grosse Sorgen","2009","Hauptschule","indirekter Migrationshintergrund","54","0.219694220400626","0.163828089948124","0.275560350853128"
"Grosse Sorgen","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2009","Realschule","kein Migrationshintergrund","1176","","",""
"Grosse Sorgen","2009","Realschule","direkter Migrationshintergrund","41","0.238916816076837","0.168780436936181","0.309053195217492"
"Grosse Sorgen","2009","Realschule","indirekter Migrationshintergrund","51","0.283564654637304","0.215408041644297","0.351721267630311"
"Grosse Sorgen","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2009","(Fach-)Abitur","kein Migrationshintergrund","497","0.348726553231503","0.325389767984623","0.372063338478383"
"Grosse Sorgen","2009","(Fach-)Abitur","direkter Migrationshintergrund","88","0.334565047392644","0.280721933148226","0.388408161637061"
"Grosse Sorgen","2009","(Fach-)Abitur","indirekter Migrationshintergrund","39","0.333966784281652","0.243757129031867","0.424176439531438"
"Grosse Sorgen","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2009","AkademikerIn","kein Migrationshintergrund","1064","","",""
"Grosse Sorgen","2009","AkademikerIn","direkter Migrationshintergrund","95","0.340623382525168","0.28607861540024","0.395168149650097"
"Grosse Sorgen","2009","AkademikerIn","indirekter Migrationshintergrund","25","","",""
"Grosse Sorgen","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2009","(noch) kein Abschluss","kein Migrationshintergrund","153","","",""
