"plh0037","year","migback","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","2009","kein Migrationshintergrund","4361","0.285122219537231","0.278052979303766","0.292191459770695"
"Grosse Sorgen","2009","direkter Migrationshintergrund","479","0.292228189820435","0.270317463388315","0.314138916252554"
"Grosse Sorgen","2009","indirekter Migrationshintergrund","204","0.256974382835589","0.224855524486982","0.289093241184196"
"Einige Sorgen","2009","kein Migrationshintergrund","8740","0.548188649153018","0.540396004051855","0.55598129425418"
"Einige Sorgen","2009","direkter Migrationshintergrund","894","0.550424820336707","0.526458615885277","0.574391024788138"
"Einige Sorgen","2009","indirekter Migrationshintergrund","386","0.578948457873486","0.542657295996767","0.615239619750205"
"Keine Sorgen","2009","kein Migrationshintergrund","2567","0.166689131309752","0.160853357180892","0.172524905438611"
"Keine Sorgen","2009","direkter Migrationshintergrund","282","0.157346989842858","0.139804036848051","0.174889942837666"
"Keine Sorgen","2009","indirekter Migrationshintergrund","121","0.164077159290925","0.136855132889107","0.191299185692743"
"Grosse Sorgen","2010","kein Migrationshintergrund","5660","0.29238112410037","0.286066190156585","0.298696058044154"
"Grosse Sorgen","2010","direkter Migrationshintergrund","826","0.306076039667644","0.289250395072346","0.322901684262941"
"Grosse Sorgen","2010","indirekter Migrationshintergrund","386","0.31541199072065","0.288531890057392","0.342292091383908"
"Einige Sorgen","2010","kein Migrationshintergrund","10713","0.524853500854983","0.51792040415301","0.531786597556957"
"Einige Sorgen","2010","direkter Migrationshintergrund","1488","0.522952257111118","0.504716951492745","0.541187562729491"
"Einige Sorgen","2010","indirekter Migrationshintergrund","566","0.509331996210135","0.480413780291178","0.538250212129093"
"Keine Sorgen","2010","kein Migrationshintergrund","3557","0.182765375044647","0.177399818425867","0.188130931663428"
"Keine Sorgen","2010","direkter Migrationshintergrund","568","0.170971703221238","0.157226603372815","0.184716803069661"
"Keine Sorgen","2010","indirekter Migrationshintergrund","196","0.175256013069214","0.153263584517031","0.197248441621397"
"Grosse Sorgen","2011","kein Migrationshintergrund","5324","0.29762887804234","0.290915713619452","0.304342042465227"
"Grosse Sorgen","2011","direkter Migrationshintergrund","563","0.262189047928074","0.242801424377692","0.281576671478456"
"Grosse Sorgen","2011","indirekter Migrationshintergrund","237","0.29773400440604","0.265827837797767","0.329640171014313"
"Einige Sorgen","2011","kein Migrationshintergrund","9583","0.537952532550759","0.530632353526938","0.545272711574581"
"Einige Sorgen","2011","direkter Migrationshintergrund","1072","0.568517303030054","0.546685063261979","0.59034954279813"
"Einige Sorgen","2011","indirekter Migrationshintergrund","424","0.544792490578398","0.510044487231968","0.579540493924828"
"Keine Sorgen","2011","kein Migrationshintergrund","2912","0.164418589406901","0.1589763671909","0.169860811622902"
"Keine Sorgen","2011","direkter Migrationshintergrund","342","0.169293649041872","0.152763039996366","0.185824258087378"
"Keine Sorgen","2011","indirekter Migrationshintergrund","128","0.157473505015562","0.132057626851012","0.182889383180111"
"Grosse Sorgen","2012","kein Migrationshintergrund","4894","0.278443172180486","0.271848189704259","0.285038154656713"
"Grosse Sorgen","2012","direkter Migrationshintergrund","521","0.274369097375749","0.254483193383904","0.294255001367594"
