year,pgisced97,regtyp,plh0037,proportion,n,lower_confidence,upper_confidence
2009,middle vocational,Staedtischer Raum,Einige Sorgen,0.1734619889564393,21983,0.16845650391658804,0.17846747399629057
2009,middle vocational,Laendlicher Raum,Einige Sorgen,0.11233197612806069,21983,0.10815761921788984,0.11650633303823153
2009,middle vocational,Staedtischer Raum,Grosse Sorgen,0.08996597690891851,21983,0.08618346280376046,0.09374849101407656
2009,higher education,Staedtischer Raum,Einige Sorgen,0.08539238105862011,21983,0.08169801810499872,0.08908674401224151
2009,middle vocational,Laendlicher Raum,Grosse Sorgen,0.0468514696859836,21983,0.0440579322730185,0.04964500709894871
2009,higher education,Staedtischer Raum,Grosse Sorgen,0.0465725918902337,21983,0.043786973558959594,0.04935821022150781
2009,middle vocational,Staedtischer Raum,Keine Sorgen,0.04651681633108372,21983,0.04373278510502735,0.049300847557140086
2009,higher education,Laendlicher Raum,Einige Sorgen,0.03748117574878688,21983,0.03497030816248121,0.03999204333509255
2009,general elemantary,Staedtischer Raum,Einige Sorgen,0.03675609347983713,21983,0.034268694795588826,0.03924349216408544
2009,middle vocational,Laendlicher Raum,Keine Sorgen,0.034134642199788054,21983,0.031734325405696075,0.03653495899388003
2009,higher vocational,Staedtischer Raum,Einige Sorgen,0.024820123821741313,21983,0.022763490213104177,0.02687675743037845
2009,higher education,Staedtischer Raum,Keine Sorgen,0.024764348262591333,21983,0.0227099680301376,0.026818728495045064
2009,vocational + Abi,Staedtischer Raum,Einige Sorgen,0.02236599921914217,21983,0.020411232696122755,0.024320765742161587
2009,higher education,Laendlicher Raum,Grosse Sorgen,0.019465670143343185,21983,0.01763934258252591,0.021291997704160463
2009,general elemantary,Staedtischer Raum,Grosse Sorgen,0.017848178927993754,21983,0.016097933869903096,0.019598423986084412
2009,general elemantary,Laendlicher Raum,Einige Sorgen,0.016955769981594065,21983,0.015249067268707183,0.018662472694480948
2009,higher vocational,Laendlicher Raum,Einige Sorgen,0.016453789949244242,21983,0.014772111532218597,0.018135468366269888
2009,higher vocational,Staedtischer Raum,Grosse Sorgen,0.01394388978749512,21983,0.012393805277328156,0.015493974297662085
2009,vocational + Abi,Staedtischer Raum,Grosse Sorgen,0.012995705281945451,21983,0.011498532099035414,0.014492878464855488
2009,general elemantary,Staedtischer Raum,Keine Sorgen,0.011099336270846116,21983,0.009714375633778725,0.012484296907913507
2009,higher education,Laendlicher Raum,Keine Sorgen,0.01054158067934631,21983,0.009191485974253127,0.011891675384439493
2009,general elemantary,Laendlicher Raum,Keine Sorgen,0.00819900719504713,21983,0.007006926940306855,0.009391087449787406
2009,higher vocational,Laendlicher Raum,Grosse Sorgen,0.00814323163589715,21983,0.00695517959057442,0.00933128368121988
2009,vocational + Abi,Laendlicher Raum,Einige Sorgen,0.007920129399297229,21983,0.006748333297507381,0.009091925501087075
2009,general elemantary,Laendlicher Raum,Grosse Sorgen,0.007920129399297229,21983,0.006748333297507381,0.009091925501087075
2009,-1,Staedtischer Raum,Einige Sorgen,0.0060795359473478725,21983,0.005051937065558507,0.007107134829137238
2009,in school,Staedtischer Raum,Einige Sorgen,0.00585643371074795,21983,0.004847752896228432,0.006865114525267469
2009,higher vocational,Staedtischer Raum,Keine Sorgen,0.005744882592447989,21983,0.004745798399930883,0.006743966784965094
2009,vocational + Abi,Staedtischer Raum,Keine Sorgen,0.005744882592447989,21983,0.004745798399930883,0.006743966784965094
