year,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.04376,926,18018,0.04078,0.04675
2009,No,0.79985,17092,18018,0.79401,0.80569
2011,Yes,0.04177,1156,20745,0.03905,0.04449
2011,No,0.72515,19589,20745,0.71907,0.73122
2013,Yes,0.04517,1215,18866,0.04220,0.04813
2013,No,0.66622,17651,18866,0.65949,0.67295
2015,Yes,0.05399,1713,25040,0.05119,0.05679
2015,No,0.77122,23327,25040,0.76602,0.77642
2017,Yes,0.05852,1905,26549,0.05570,0.06135
2017,No,0.77548,24644,26549,0.77046,0.78050
2019,Yes,0.05992,1914,25725,0.05702,0.06282
2019,No,0.77135,23811,25725,0.76622,0.77648
2021,Yes,0.06978,1584,19164,0.06618,0.07339
2021,No,0.75326,17580,19164,0.74715,0.75936
