year,sampreg,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.04410,708,13477,0.04064,0.04757
2009,West,No,0.79376,12769,13477,0.78693,0.80059
2009,East,Yes,0.04224,218,4541,0.03639,0.04809
2009,East,No,0.82719,4323,4541,0.81619,0.83819
2011,West,Yes,0.04266,910,15840,0.03951,0.04581
2011,West,No,0.71767,14930,15840,0.71066,0.72468
2011,East,Yes,0.03763,246,4905,0.03230,0.04296
2011,East,No,0.75998,4659,4905,0.74803,0.77194
2013,West,Yes,0.04588,970,14414,0.04246,0.04929
2013,West,No,0.65080,13444,14414,0.64301,0.65858
2013,East,Yes,0.04183,245,4452,0.03595,0.04771
2013,East,No,0.73895,4207,4452,0.72605,0.75186
2015,West,Yes,0.05658,1415,19787,0.05336,0.05980
2015,West,No,0.76440,18372,19787,0.75849,0.77031
2015,East,Yes,0.04175,298,5253,0.03635,0.04716
2015,East,No,0.80345,4955,5253,0.79270,0.81420
2017,West,Yes,0.06038,1569,20959,0.05716,0.06361
2017,West,No,0.77188,19390,20959,0.76620,0.77756
2017,East,Yes,0.04954,336,5590,0.04385,0.05523
2017,East,No,0.79291,5254,5590,0.78229,0.80354
2019,West,Yes,0.06083,1546,20103,0.05753,0.06414
2019,West,No,0.76833,18557,20103,0.76250,0.77417
2019,East,Yes,0.05536,359,5546,0.04934,0.06138
2019,East,No,0.78599,5187,5546,0.77520,0.79679
2021,West,Yes,0.07021,1305,15317,0.06616,0.07425
2021,West,No,0.75215,14012,15317,0.74531,0.75899
2021,East,Yes,0.06771,279,3847,0.05977,0.07565
2021,East,No,0.75870,3568,3847,0.74518,0.77222
