year,regtyp,ple0017,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.04545,626,11682,0.04167,0.04922
2009,Urban regions,No,0.79574,11056,11682,0.78843,0.80305
2009,Rural regions,Yes,0.04024,300,6336,0.03540,0.04508
2009,Rural regions,No,0.80846,6036,6336,0.79877,0.81815
2011,Urban regions,Yes,0.04363,772,13360,0.04016,0.04709
2011,Urban regions,No,0.72246,12588,13360,0.71487,0.73006
2011,Rural regions,Yes,0.03792,384,7385,0.03356,0.04228
2011,Rural regions,No,0.73070,7001,7385,0.72058,0.74082
2013,Urban regions,Yes,0.04524,815,12047,0.04153,0.04895
2013,Urban regions,No,0.65177,11232,12047,0.64326,0.66028
2013,Rural regions,Yes,0.04501,400,6819,0.04009,0.04994
2013,Rural regions,No,0.69610,6419,6819,0.68518,0.70701
2015,Urban regions,Yes,0.05630,1162,16171,0.05275,0.05986
2015,Urban regions,No,0.76361,15009,16171,0.75706,0.77016
2015,Rural regions,Yes,0.04909,551,8869,0.04459,0.05358
2015,Rural regions,No,0.78734,8318,8869,0.77883,0.79586
2017,Urban regions,Yes,0.06126,1285,17147,0.05767,0.06485
2017,Urban regions,No,0.77057,15862,17147,0.76427,0.77686
2017,Rural regions,Yes,0.05253,620,9402,0.04802,0.05704
2017,Rural regions,No,0.78625,8782,9402,0.77796,0.79453
2019,Urban regions,Yes,0.06227,1248,16365,0.05856,0.06597
2019,Urban regions,No,0.76734,15117,16365,0.76086,0.77381
2019,Rural regions,Yes,0.05224,597,8806,0.04759,0.05689
2019,Rural regions,No,0.78172,8209,8806,0.77309,0.79035
2021,Urban regions,Yes,0.07606,1096,12996,0.07150,0.08062
2021,Urban regions,No,0.74587,11900,12996,0.73839,0.75336
2021,Rural regions,Yes,0.05641,488,6167,0.05065,0.06217
2021,Rural regions,No,0.76888,5679,6167,0.75836,0.77940
