"pgisced97","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"in school","1984","(noch) kein Abschluss","maennlich","100","0.423964998088509","0.384290229750336","0.463639766426682"
"in school","1984","(noch) kein Abschluss","weiblich","95","0.380017669132249","0.344464106050808","0.41557123221369"
"in school","1984","Hauptschulabschluss","maennlich","","","",""
"in school","1984","Hauptschulabschluss","weiblich","","","",""
"in school","1984","Realschulabschluss","maennlich","","","",""
"in school","1984","Realschulabschluss","weiblich","","","",""
"in school","1984","(Fach-)Abitur","maennlich","","","",""
"in school","1984","(Fach-)Abitur","weiblich","","","",""
"in school","1984","AkademikerInnen","maennlich","","","",""
"in school","1984","AkademikerInnen","weiblich","","","",""
"inadequately","1984","(noch) kein Abschluss","maennlich","413","0.475766558448347","0.435672106806645","0.51586101009005"
"inadequately","1984","(noch) kein Abschluss","weiblich","583","0.577974793215745","0.541799236387436","0.614150350044053"
"inadequately","1984","Hauptschulabschluss","maennlich","","","",""
"inadequately","1984","Hauptschulabschluss","weiblich","","","",""
"inadequately","1984","Realschulabschluss","maennlich","","","",""
"inadequately","1984","Realschulabschluss","weiblich","","","",""
"inadequately","1984","(Fach-)Abitur","maennlich","","","",""
"inadequately","1984","(Fach-)Abitur","weiblich","","","",""
"inadequately","1984","AkademikerInnen","maennlich","","","",""
"inadequately","1984","AkademikerInnen","weiblich","","","",""
"general elemantary","1984","(noch) kein Abschluss","maennlich","","","",""
"general elemantary","1984","(noch) kein Abschluss","weiblich","","","",""
"general elemantary","1984","Hauptschulabschluss","maennlich","976","0.205280850136211","0.191943399432073","0.218618300840349"
"general elemantary","1984","Hauptschulabschluss","weiblich","2020","0.523075880010178","0.507123887984031","0.539027872036325"
"general elemantary","1984","Realschulabschluss","maennlich","180","0.205138855847","0.17694499314415","0.23333271854985"
"general elemantary","1984","Realschulabschluss","weiblich","297","0.267894990092317","0.241723965001843","0.294066015182792"
"general elemantary","1984","(Fach-)Abitur","maennlich","","","",""
"general elemantary","1984","(Fach-)Abitur","weiblich","","","",""
"general elemantary","1984","AkademikerInnen","maennlich","","","",""
"general elemantary","1984","AkademikerInnen","weiblich","","","",""
"middle vocational","1984","(noch) kein Abschluss","maennlich","82","0.100030582425034","0.0759423332091511","0.124118831640916"
"middle vocational","1984","(noch) kein Abschluss","weiblich","36","0.0315746722535626","0.0187662960481439","0.0443830484589813"
"middle vocational","1984","Hauptschulabschluss","maennlich","2322","0.71637142376078","0.701486867616013","0.731255979905547"
"middle vocational","1984","Hauptschulabschluss","weiblich","1647","0.447383477758891","0.431503136296513","0.463263819221268"
"middle vocational","1984","Realschulabschluss","maennlich","523","0.683443956314426","0.650968015540272","0.715919897088579"
"middle vocational","1984","Realschulabschluss","weiblich","677","0.618545249495405","0.589840153719126","0.647250345271683"
"middle vocational","1984","(Fach-)Abitur","maennlich","238","0.444806367428008","0.402052820735386","0.487559914120629"
"middle vocational","1984","(Fach-)Abitur","weiblich","177","0.474646350800698","0.422480330138565","0.52681237146283"
"middle vocational","1984","AkademikerInnen","maennlich","","","",""
"middle vocational","1984","AkademikerInnen","weiblich","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","maennlich","","","",""
"vocational + Abi","1984","(noch) kein Abschluss","weiblich","","","",""
"vocational + Abi","1984","Hauptschulabschluss","maennlich","","","",""
"vocational + Abi","1984","Hauptschulabschluss","weiblich","","","",""
"vocational + Abi","1984","Realschulabschluss","maennlich","","","",""
"vocational + Abi","1984","Realschulabschluss","weiblich","","","",""
"vocational + Abi","1984","(Fach-)Abitur","maennlich","195","0.33500156118856","0.294394819722086","0.375608302655034"
"vocational + Abi","1984","(Fach-)Abitur","weiblich","117","0.317247732663901","0.268628556200346","0.365866909127455"
"vocational + Abi","1984","AkademikerInnen","maennlich","","","",""
"vocational + Abi","1984","AkademikerInnen","weiblich","","","",""
"higher vocational","1984","(noch) kein Abschluss","maennlich","","","",""
"higher vocational","1984","(noch) kein Abschluss","weiblich","","","",""
"higher vocational","1984","Hauptschulabschluss","maennlich","211","0.073927763980455","0.0652876795413663","0.0825678484195437"
"higher vocational","1984","Hauptschulabschluss","weiblich","89","0.0264315724621026","0.0213082384026303","0.0315549065215749"
"higher vocational","1984","Realschulabschluss","maennlich","85","0.111417187838574","0.0894482007890494","0.133386174888099"
"higher vocational","1984","Realschulabschluss","weiblich","126","0.113559760412278","0.0948103026030562","0.1323092182215"
"higher vocational","1984","(Fach-)Abitur","maennlich","86","0.220192071383433","0.184542109172493","0.255842033594372"
"higher vocational","1984","(Fach-)Abitur","weiblich","58","0.208105916535402","0.165697454565807","0.250514378504996"
"higher vocational","1984","AkademikerInnen","maennlich","","","",""
"higher vocational","1984","AkademikerInnen","weiblich","","","",""
"higher education","1984","(noch) kein Abschluss","maennlich","","","",""
"higher education","1984","(noch) kein Abschluss","weiblich","","","",""
"higher education","1984","Hauptschulabschluss","maennlich","","","",""
"higher education","1984","Hauptschulabschluss","weiblich","","","",""
"higher education","1984","Realschulabschluss","maennlich","","","",""
"higher education","1984","Realschulabschluss","weiblich","","","",""
"higher education","1984","(Fach-)Abitur","maennlich","","","",""
"higher education","1984","(Fach-)Abitur","weiblich","","","",""
"higher education","1984","AkademikerInnen","maennlich","537","1","1","1"
"higher education","1984","AkademikerInnen","weiblich","256","1","1","1"
"in school","1985","(noch) kein Abschluss","maennlich","113","0.487466068062582","0.444296472188015","0.530635663937149"
"in school","1985","(noch) kein Abschluss","weiblich","75","0.354546443869031","0.315946102006099","0.393146785731963"
"in school","1985","Hauptschulabschluss","maennlich","","","",""
"in school","1985","Hauptschulabschluss","weiblich","","","",""
"in school","1985","Realschulabschluss","maennlich","","","",""
"in school","1985","Realschulabschluss","weiblich","","","",""
"in school","1985","(Fach-)Abitur","maennlich","","","",""
"in school","1985","(Fach-)Abitur","weiblich","","","",""
"in school","1985","AkademikerInnen","maennlich","","","",""
"in school","1985","AkademikerInnen","weiblich","","","",""
"inadequately","1985","(noch) kein Abschluss","maennlich","339","0.426019528281208","0.383311670434947","0.46872738612747"
"inadequately","1985","(noch) kein Abschluss","weiblich","481","0.595530121804072","0.555928128703448","0.635132114904696"
"inadequately","1985","Hauptschulabschluss","maennlich","","","",""
"inadequately","1985","Hauptschulabschluss","weiblich","","","",""
"inadequately","1985","Realschulabschluss","maennlich","","","",""
"inadequately","1985","Realschulabschluss","weiblich","","","",""
"inadequately","1985","(Fach-)Abitur","maennlich","","","",""
"inadequately","1985","(Fach-)Abitur","weiblich","","","",""
"inadequately","1985","AkademikerInnen","maennlich","","","",""
"inadequately","1985","AkademikerInnen","weiblich","","","",""
"general elemantary","1985","(noch) kein Abschluss","maennlich","","","",""
"general elemantary","1985","(noch) kein Abschluss","weiblich","","","",""
"general elemantary","1985","Hauptschulabschluss","maennlich","858","0.20040213407042","0.186418575257106","0.214385692883735"
"general elemantary","1985","Hauptschulabschluss","weiblich","1747","0.515352220298016","0.498362635207212","0.53234180538882"
"general elemantary","1985","Realschulabschluss","maennlich","179","0.213314581127126","0.184113561585151","0.242515600669102"
"general elemantary","1985","Realschulabschluss","weiblich","296","0.277940385245757","0.25100992262185","0.304870847869665"
"general elemantary","1985","(Fach-)Abitur","maennlich","","","",""
"general elemantary","1985","(Fach-)Abitur","weiblich","","","",""
"general elemantary","1985","AkademikerInnen","maennlich","","","",""
"general elemantary","1985","AkademikerInnen","weiblich","","","",""
"middle vocational","1985","(noch) kein Abschluss","maennlich","62","0.0862189891978924","0.061977069716547","0.110460908679238"
"middle vocational","1985","(noch) kein Abschluss","weiblich","32","0.0343477801378339","0.0196523672073014","0.0490431930683665"
"middle vocational","1985","Hauptschulabschluss","maennlich","2076","0.716444617252272","0.700699678005945","0.732189556498599"
