year,age_gr,sampreg,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,30-45 J.,Westdeutschland,middle vocational,0.16489001692047378,16099,0.15915776009452312,0.17062227374642444
1984,18-29 J.,Westdeutschland,middle vocational,0.13426395939086294,16099,0.12899737442491438,0.1395305443568115
1984,46-65 J.,Westdeutschland,middle vocational,0.13392554991539762,16099,0.12866457835999548,0.13918652147079977
1984,46-65 J.,Westdeutschland,general elemantary,0.09170896785109983,16099,0.08725060884154949,0.09616732686065017
1984,18-29 J.,Westdeutschland,general elemantary,0.07673434856175973,16099,0.07262271061315792,0.08084598651036154
1984,30-45 J.,Westdeutschland,general elemantary,0.06802030456852792,16099,0.06413093570947395,0.0719096734275819
1984,66 und älter,Westdeutschland,middle vocational,0.048223350253807105,16099,0.04491392304116653,0.05153277746644768
1984,66 und älter,Westdeutschland,general elemantary,0.043485617597292726,16099,0.040335148712773335,0.04663608648181212
1984,30-45 J.,Westdeutschland,inadequately,0.03375634517766497,16099,0.03096651570344646,0.036546174651883485
1984,46-65 J.,Westdeutschland,inadequately,0.03206429780033841,16099,0.029342908064731228,0.034785687535945596
1984,30-45 J.,Westdeutschland,higher education,0.03197969543147208,16099,0.029261779519279142,0.03469761134366502
1984,30-45 J.,Westdeutschland,higher vocational,0.021065989847715735,16099,0.01884766948907691,0.02328431020635456
1984,46-65 J.,Westdeutschland,higher education,0.018697123519458545,16099,0.016604719451559443,0.020789527587357647
1984,46-65 J.,Westdeutschland,higher vocational,0.017174280879864636,16099,0.01516734194571035,0.019181219814018925
1984,18-29 J.,Westdeutschland,inadequately,0.0155668358714044,16099,0.013654562786515122,0.017479108956293676
1984,18-29 J.,Westdeutschland,higher education,0.010829103214890017,16099,0.009230323855482742,0.012427882574297291
1984,18-29 J.,Westdeutschland,vocational + Abi,0.010575296108291032,16099,0.008995160848553452,0.012155431368028612
1984,18-29 J.,Westdeutschland,higher vocational,0.010575296108291032,16099,0.008995160848553452,0.012155431368028612
1984,30-45 J.,Westdeutschland,vocational + Abi,0.008375634517766498,16099,0.0069678406312932125,0.009783428404239783
1984,18-29 J.,Westdeutschland,in school,0.00727580372250423,16099,0.005962964896238678,0.008588642548769782
1984,66 und älter,Westdeutschland,higher vocational,0.007021996615905245,16099,0.005732094535807301,0.008311898696003189
1984,46-65 J.,Westdeutschland,vocational + Abi,0.005499153976311337,16099,0.004356783055190547,0.006641524897432127
1984,66 und älter,Westdeutschland,higher education,0.00532994923857868,16099,0.004205194896434885,0.0064547035807224745
