year,age_gr,migback,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,30-45 J.,kein Migrationshintergrund,middle vocational,0.12834179357021996,16099,0.12317508715089635,0.1335084999895436
1984,46-65 J.,kein Migrationshintergrund,middle vocational,0.11209813874788493,16099,0.10722466865555752,0.11697160884021235
1984,18-29 J.,kein Migrationshintergrund,middle vocational,0.10397631133671743,16099,0.09926129100199718,0.10869133167143769
1984,46-65 J.,kein Migrationshintergrund,general elemantary,0.07115059221658207,16099,0.06717942170374844,0.0751217627294157
1984,66 und älter,kein Migrationshintergrund,middle vocational,0.04712351945854484,16099,0.043850159359276185,0.05039687955781349
1984,18-29 J.,kein Migrationshintergrund,general elemantary,0.043570219966159056,16099,0.040416827378185555,0.04672361255413256
1984,66 und älter,kein Migrationshintergrund,general elemantary,0.04230118443316413,16099,0.03919199373165096,0.04541037513467729
1984,30-45 J.,direkter Migrationshintergrund,middle vocational,0.03561759729272419,16099,0.03275464857149539,0.038480546013952996
1984,30-45 J.,direkter Migrationshintergrund,general elemantary,0.03460236886632826,16099,0.03177903231047934,0.03742570542217718
1984,30-45 J.,kein Migrationshintergrund,general elemantary,0.03282571912013536,16099,0.030073290181487366,0.03557814805878336
1984,30-45 J.,direkter Migrationshintergrund,inadequately,0.032656514382402704,16099,0.029910948364548967,0.03540208040025644
1984,46-65 J.,direkter Migrationshintergrund,inadequately,0.031387478849407784,16099,0.02869402290051147,0.0340809347983041
1984,18-29 J.,direkter Migrationshintergrund,general elemantary,0.030456852791878174,16099,0.027802352949923965,0.03311135263383238
1984,18-29 J.,direkter Migrationshintergrund,middle vocational,0.02774957698815567,16099,0.025212264978179633,0.030286888998131707
1984,30-45 J.,kein Migrationshintergrund,higher education,0.02707275803722504,16099,0.024565707699820596,0.029579808374629486
1984,46-65 J.,direkter Migrationshintergrund,middle vocational,0.02148900169204738,16099,0.01924900386564213,0.023728999518452625
1984,46-65 J.,direkter Migrationshintergrund,general elemantary,0.02030456852791878,16099,0.018125860442252065,0.022483276613585495
1984,30-45 J.,kein Migrationshintergrund,higher vocational,0.018781725888324875,16099,0.016684683621023003,0.020878768155626747
1984,46-65 J.,kein Migrationshintergrund,higher vocational,0.015736040609137057,16099,0.01381356806351445,0.01765851315475966
1984,46-65 J.,kein Migrationshintergrund,higher education,0.015736040609137057,16099,0.01381356806351445,0.01765851315475966
1984,18-29 J.,direkter Migrationshintergrund,inadequately,0.011759729272419629,16099,0.010094451992944332,0.013425006551894925
1984,18-29 J.,kein Migrationshintergrund,higher vocational,0.009560067681895093,16099,0.008056921647125875,0.01106321371666431
1984,18-29 J.,kein Migrationshintergrund,higher education,0.008375634517766498,16099,0.0069678406312932125,0.009783428404239783
1984,18-29 J.,kein Migrationshintergrund,vocational + Abi,0.0071912013536379014,16099,0.005885962015238536,0.008496440692037267
1984,66 und älter,kein Migrationshintergrund,higher vocational,0.007021996615905245,16099,0.005732094535807301,0.008311898696003189
1984,18-29 J.,kein Migrationshintergrund,in school,0.006429780033840948,16099,0.005195101316648036,0.00766445875103386
1984,30-45 J.,direkter Migrationshintergrund,vocational + Abi,0.005499153976311337,16099,0.004356783055190547,0.006641524897432127
1984,66 und älter,kein Migrationshintergrund,higher education,0.005160744500846024,16099,0.004053893257353208,0.00626759574433884
1984,30-45 J.,direkter Migrationshintergrund,higher education,0.004906937394247039,16099,0.0038275092709512014,0.005986365517542876
1984,46-65 J.,kein Migrationshintergrund,vocational + Abi,0.003976311336717428,16099,0.0030041649963908385,0.004948457677044018
1984,18-29 J.,kein Migrationshintergrund,inadequately,0.003637901861252115,16099,0.0027078852408450845,0.0045679184816591455
1984,18-29 J.,direkter Migrationshintergrund,vocational + Abi,0.003299492385786802,16099,0.0024136376196645473,0.004185347151909057
1984,30-45 J.,kein Migrationshintergrund,vocational + Abi,0.002876480541455161,16099,0.002049182832712007,0.0037037782501983148
1984,46-65 J.,direkter Migrationshintergrund,higher education,0.0027918781725888324,16099,0.0019768028278729644,0.0036069535173047004
1984,18-29 J.,indirekter Migrationshintergrund,general elemantary,0.0027072758037225042,16099,0.001904611041626248,0.0035099405658187604
1984,18-29 J.,indirekter Migrationshintergrund,middle vocational,0.0025380710659898475,16099,0.0017608283252506856,0.0033153138067290094
1984,18-29 J.,direkter Migrationshintergrund,higher education,0.0023688663282571912,16099,0.0016179148171369825,0.0031198178393774
1984,30-45 J.,direkter Migrationshintergrund,higher vocational,0.0021996615905245345,16099,0.0014759652437208197,0.0029233579373282494
1984,66 und älter,kein Migrationshintergrund,vocational + Abi,0.001607445008460237,16099,0.0009886093219637938,0.00222628069495668
1984,46-65 J.,direkter Migrationshintergrund,vocational + Abi,0.0015228426395939086,16099,0.0009204866927622357,0.0021251985864255817
1984,46-65 J.,direkter Migrationshintergrund,higher vocational,0.0012690355329949238,16099,0.0007190924172626442,0.0018189786487272032
1984,66 und älter,direkter Migrationshintergrund,general elemantary,0.0011844331641285956,16099,0.0006531151363480569,0.0017157511919091344
1984,30-45 J.,kein Migrationshintergrund,inadequately,0.0010998307952622673,16099,0.0005878182496901844,0.0016118433408343503
1984,18-29 J.,direkter Migrationshintergrund,higher vocational,0.0009306260575296108,16099,0.00045960312878155307,0.0014016489862776686
1984,30-45 J.,indirekter Migrationshintergrund,middle vocational,0.0009306260575296108,16099,0.00045960312878155307,0.0014016489862776686
1984,66 und älter,direkter Migrationshintergrund,middle vocational,0.0008460236886632825,16099,0.00039690193255366316,0.0012951454447729018
1984,66 und älter,direkter Migrationshintergrund,inadequately,0.0006768189509306261,16099,0.0002750782275204182,0.0010785596743408338
1984,66 und älter,kein Migrationshintergrund,inadequately,0.0005922165820642978,16099,0.00021640663877283122,0.0009680265253557644
1984,46-65 J.,kein Migrationshintergrund,inadequately,0.0005922165820642978,16099,0.00021640663877283122,0.0009680265253557644
1984,30-45 J.,indirekter Migrationshintergrund,general elemantary,0.0005922165820642978,16099,0.00021640663877283122,0.0009680265253557644
1984,18-29 J.,indirekter Migrationshintergrund,in school,0.00042301184433164127,16099,0.00010536758582241015,0.0007406561028408724
1984,18-29 J.,direkter Migrationshintergrund,in school,0.00042301184433164127,16099,0.00010536758582241015,0.0007406561028408724
