"pgisced97","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"in school","1984","16-34 Jahre alt","kein Migrationshintergrund","163","0.0533897782080239","0.0454951129757664","0.0612844434402815"
"in school","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"in school","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"in school","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"in school","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"in school","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"in school","1984","66 und älter","kein Migrationshintergrund","","","",""
"in school","1984","66 und älter","direkter Migrationshintergrund","","","",""
"in school","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"inadequately","1984","16-34 Jahre alt","kein Migrationshintergrund","56","0.0182555968290431","0.0135543148510304","0.0229568788070558"
"inadequately","1984","16-34 Jahre alt","direkter Migrationshintergrund","251","0.134682397975892","0.116709849442789","0.152654946508995"
"inadequately","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"inadequately","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"inadequately","1984","35-65 Jahre alt","direkter Migrationshintergrund","680","0.197270158087236","0.179598837114291","0.21494147906018"
"inadequately","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"inadequately","1984","66 und älter","kein Migrationshintergrund","","","",""
"inadequately","1984","66 und älter","direkter Migrationshintergrund","","","",""
"inadequately","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"general elemantary","1984","16-34 Jahre alt","kein Migrationshintergrund","723","0.235339707787988","0.220442635002773","0.250236780573203"
"general elemantary","1984","16-34 Jahre alt","direkter Migrationshintergrund","522","0.297104807533041","0.273046415249201","0.321163199816881"
"general elemantary","1984","16-34 Jahre alt","indirekter Migrationshintergrund","46","0.393100339524035","0.297843194536358","0.488357484511713"
"general elemantary","1984","35-65 Jahre alt","kein Migrationshintergrund","1119","0.265697328518036","0.252539462915111","0.278855194120961"
"general elemantary","1984","35-65 Jahre alt","direkter Migrationshintergrund","537","0.282913228059211","0.262911565445326","0.302914890673095"
"general elemantary","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"general elemantary","1984","66 und älter","kein Migrationshintergrund","505","0.415540428209574","0.388088576266071","0.442992280153078"
"general elemantary","1984","66 und älter","direkter Migrationshintergrund","","","",""
"general elemantary","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"middle vocational","1984","16-34 Jahre alt","kein Migrationshintergrund","1680","0.538876595935055","0.521371185041824","0.556382006828287"
"middle vocational","1984","16-34 Jahre alt","direkter Migrationshintergrund","463","0.39721764801465","0.371456749422114","0.422978546607187"
"middle vocational","1984","16-34 Jahre alt","indirekter Migrationshintergrund","40","0.427433424977775","0.330954014710066","0.523912835245483"
"middle vocational","1984","35-65 Jahre alt","kein Migrationshintergrund","2395","0.549978383684464","0.535158534096106","0.564798233272821"
"middle vocational","1984","35-65 Jahre alt","direkter Migrationshintergrund","560","0.369742723615196","0.348305804616569","0.391179642613824"
"middle vocational","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"middle vocational","1984","66 und älter","kein Migrationshintergrund","563","0.455618063461294","0.427875915181257","0.483360211741331"
