,Unnamed: 0,year,sampreg,sex,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,West,male,"No, never",0.58243,2653,10898,0.56429,0.60234
1,1,2005,West,male,"Yes, every week",0.06513,308,10898,0.05877,0.07221
2,2,2005,West,male,"Yes, every 2 weeks",0.07017,300,10898,0.06386,0.07767
3,3,2005,West,male,"Yes, every 3-4 weeks",0.0623,269,10898,0.0555,0.06968
4,4,2005,West,male,"Yes, less frequently",0.21997,1008,10898,0.20753,0.23161
5,5,2005,West,female,"No, never",0.68793,2745,10898,0.66702,0.71714
6,6,2005,West,female,"Yes, every week",0.05159,199,10898,0.04586,0.05788
7,7,2005,West,female,"Yes, every 2 weeks",0.1007,351,10898,0.09203,0.10905
8,8,2005,West,female,"Yes, every 3-4 weeks",0.04424,168,10898,0.03756,0.05022
9,9,2005,West,female,"Yes, less frequently",0.11555,498,10898,0.1077,0.12368
10,10,2005,East,male,"No, never",0.49058,625,10898,0.45505,0.52459
11,11,2005,East,male,"Yes, every week",0.05688,80,10898,0.04853,0.06458
12,12,2005,East,male,"Yes, every 2 weeks",0.10901,127,10898,0.09203,0.12595
13,13,2005,East,male,"Yes, every 3-4 weeks",0.07232,81,10898,0.06133,0.08393
14,14,2005,East,male,"Yes, less frequently",0.27121,335,10898,0.24181,0.30196
15,15,2005,East,female,"No, never",0.66269,779,10898,0.62787,0.70454
16,16,2005,East,female,"Yes, every week",0.05322,54,10898,0.04204,0.06803
17,17,2005,East,female,"Yes, every 2 weeks",0.15372,136,10898,0.13314,0.18
18,18,2005,East,female,"Yes, every 3-4 weeks",0.04734,52,10898,0.03411,0.06727
19,19,2005,East,female,"Yes, less frequently",0.08304,130,10898,0.07357,0.09449
20,20,2007,West,male,"No, never",0.58338,2633,11076,0.56492,0.59928
21,21,2007,West,male,"Yes, every week",0.06599,338,11076,0.05983,0.0721
22,22,2007,West,male,"Yes, every 2 weeks",0.0741,321,11076,0.0667,0.08191
23,23,2007,West,male,"Yes, every 3-4 weeks",0.06085,269,11076,0.05448,0.06751
24,24,2007,West,male,"Yes, less frequently",0.21568,995,11076,0.20352,0.22684
25,25,2007,West,female,"No, never",0.6677,2691,11076,0.64613,0.68896
26,26,2007,West,female,"Yes, every week",0.05796,232,11076,0.05226,0.06389
27,27,2007,West,female,"Yes, every 2 weeks",0.09291,337,11076,0.08489,0.10137
28,28,2007,West,female,"Yes, every 3-4 weeks",0.04279,185,11076,0.0368,0.04994
29,29,2007,West,female,"Yes, less frequently",0.13865,568,11076,0.12936,0.14845
30,30,2007,East,male,"No, never",0.49871,654,11076,0.46613,0.52892
