year,regtyp,sampreg,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,West,"No, never",0.63574,4207,6558,0.62409,0.64739
2005,Urban regions,West,"Yes, every week",0.05444,374,6558,0.04895,0.05993
2005,Urban regions,West,"Yes, every 2 weeks",0.08539,510,6558,0.07862,0.09215
2005,Urban regions,West,"Yes, every 3-4 weeks",0.05299,324,6558,0.04757,0.05841
2005,Urban regions,West,"Yes, less frequently",0.17144,1143,6558,0.16232,0.18057
2005,Urban regions,East,"No, never",0.55529,493,853,0.52192,0.58866
2005,Urban regions,East,"Yes, every week",0.03972,42,853,0.02661,0.05284
2005,Urban regions,East,"Yes, every 2 weeks",0.13512,90,853,0.11216,0.15807
2005,Urban regions,East,"Yes, every 3-4 weeks",0.05863,46,853,0.04286,0.07441
2005,Urban regions,East,"Yes, less frequently",0.21123,182,853,0.18382,0.23864
2005,Rural regions,West,"No, never",0.60965,1191,1941,0.58794,0.63136
2005,Rural regions,West,"Yes, every week",0.07409,133,1941,0.06244,0.08575
2005,Rural regions,West,"Yes, every 2 weeks",0.07881,141,1941,0.06682,0.09080
2005,Rural regions,West,"Yes, every 3-4 weeks",0.05827,113,1941,0.04784,0.06869
2005,Rural regions,West,"Yes, less frequently",0.17918,363,1941,0.16212,0.19625
2005,Rural regions,East,"No, never",0.57324,911,1546,0.54857,0.59790
2005,Rural regions,East,"Yes, every week",0.06421,92,1546,0.05199,0.07643
2005,Rural regions,East,"Yes, every 2 weeks",0.12509,173,1546,0.10859,0.14159
2005,Rural regions,East,"Yes, every 3-4 weeks",0.06282,87,1546,0.05072,0.07492
2005,Rural regions,East,"Yes, less frequently",0.17464,283,1546,0.15571,0.19358
2007,Urban regions,West,"No, never",0.62685,4095,6526,0.61511,0.63858
2007,Urban regions,West,"Yes, every week",0.06058,419,6526,0.05479,0.06637
2007,Urban regions,West,"Yes, every 2 weeks",0.08197,489,6526,0.07531,0.08862
2007,Urban regions,West,"Yes, every 3-4 weeks",0.05129,338,6526,0.04594,0.05664
2007,Urban regions,West,"Yes, less frequently",0.17932,1185,6526,0.17001,0.18863
2007,Urban regions,East,"No, never",0.56104,488,852,0.52770,0.59439
2007,Urban regions,East,"Yes, every week",0.05599,49,852,0.04055,0.07144
2007,Urban regions,East,"Yes, every 2 weeks",0.10875,92,852,0.08784,0.12967
2007,Urban regions,East,"Yes, every 3-4 weeks",0.05959,45,852,0.04368,0.07549
2007,Urban regions,East,"Yes, less frequently",0.21462,178,852,0.18704,0.24221
2007,Rural regions,West,"No, never",0.60333,1229,2043,0.58211,0.62455
2007,Rural regions,West,"Yes, every week",0.06807,151,2043,0.05715,0.07900
2007,Rural regions,West,"Yes, every 2 weeks",0.08421,169,2043,0.07217,0.09626
2007,Rural regions,West,"Yes, every 3-4 weeks",0.05735,116,2043,0.04726,0.06743
2007,Rural regions,West,"Yes, less frequently",0.18704,378,2043,0.17013,0.20395
2007,Rural regions,East,"No, never",0.55531,956,1655,0.53136,0.57926
2007,Rural regions,East,"Yes, every week",0.06732,106,1655,0.05524,0.07940
2007,Rural regions,East,"Yes, every 2 weeks",0.13325,190,1655,0.11687,0.14963
2007,Rural regions,East,"Yes, every 3-4 weeks",0.06183,94,1655,0.05022,0.07344
2007,Rural regions,East,"Yes, less frequently",0.18228,309,1655,0.16368,0.20089
2009,Urban regions,West,"No, never",0.60373,3474,5694,0.59103,0.61644
2009,Urban regions,West,"Yes, every week",0.07093,391,5694,0.06427,0.07760
2009,Urban regions,West,"Yes, every 2 weeks",0.07839,456,5694,0.07141,0.08537
2009,Urban regions,West,"Yes, every 3-4 weeks",0.05819,306,5694,0.05211,0.06427
2009,Urban regions,West,"Yes, less frequently",0.18875,1067,5694,0.17859,0.19892
2009,Urban regions,East,"No, never",0.52813,425,766,0.49276,0.56351
2009,Urban regions,East,"Yes, every week",0.07500,57,766,0.05633,0.09366
2009,Urban regions,East,"Yes, every 2 weeks",0.10497,71,766,0.08325,0.12669
2009,Urban regions,East,"Yes, every 3-4 weeks",0.06094,42,766,0.04399,0.07789
2009,Urban regions,East,"Yes, less frequently",0.23096,171,766,0.20109,0.26082
2009,Rural regions,West,"No, never",0.59663,1101,1830,0.57414,0.61911
2009,Rural regions,West,"Yes, every week",0.06714,124,1830,0.05567,0.07861
2009,Rural regions,West,"Yes, every 2 weeks",0.09047,164,1830,0.07733,0.10362
2009,Rural regions,West,"Yes, every 3-4 weeks",0.04836,96,1830,0.03853,0.05819
2009,Rural regions,West,"Yes, less frequently",0.19740,345,1830,0.17916,0.21564
2009,Rural regions,East,"No, never",0.55626,868,1521,0.53129,0.58124
2009,Rural regions,East,"Yes, every week",0.07150,115,1521,0.05854,0.08445
2009,Rural regions,East,"Yes, every 2 weeks",0.10737,154,1521,0.09181,0.12294
2009,Rural regions,East,"Yes, every 3-4 weeks",0.08793,105,1521,0.07369,0.10216
2009,Rural regions,East,"Yes, less frequently",0.17694,279,1521,0.15776,0.19613
2011,Urban regions,West,"No, never",0.61733,5723,9345,0.60747,0.62718
2011,Urban regions,West,"Yes, every week",0.07551,706,9345,0.07015,0.08086
2011,Urban regions,West,"Yes, every 2 weeks",0.09046,849,9345,0.08465,0.09628
2011,Urban regions,West,"Yes, every 3-4 weeks",0.05139,503,9345,0.04692,0.05587
2011,Urban regions,West,"Yes, less frequently",0.16531,1564,9345,0.15778,0.17284
2011,Urban regions,East,"No, never",0.55691,674,1196,0.52874,0.58507
2011,Urban regions,East,"Yes, every week",0.08035,84,1196,0.06494,0.09577
2011,Urban regions,East,"Yes, every 2 weeks",0.10440,122,1196,0.08707,0.12174
2011,Urban regions,East,"Yes, every 3-4 weeks",0.05661,85,1196,0.04350,0.06971
2011,Urban regions,East,"Yes, less frequently",0.20173,231,1196,0.17898,0.22448
2011,Rural regions,West,"No, never",0.60578,2216,3629,0.58988,0.62169
2011,Rural regions,West,"Yes, every week",0.06060,235,3629,0.05284,0.06836
2011,Rural regions,West,"Yes, every 2 weeks",0.09340,360,3629,0.08393,0.10286
2011,Rural regions,West,"Yes, every 3-4 weeks",0.05296,208,3629,0.04567,0.06024
2011,Rural regions,West,"Yes, less frequently",0.18726,610,3629,0.17457,0.19996
2011,Rural regions,East,"No, never",0.56899,1296,2273,0.54863,0.58936
2011,Rural regions,East,"Yes, every week",0.06334,160,2273,0.05333,0.07336
2011,Rural regions,East,"Yes, every 2 weeks",0.12125,275,2273,0.10783,0.13467
2011,Rural regions,East,"Yes, every 3-4 weeks",0.06374,164,2273,0.05370,0.07379
2011,Rural regions,East,"Yes, less frequently",0.18267,378,2273,0.16678,0.19856
2013,Urban regions,West,"No, never",0.60550,5385,8656,0.59520,0.61580
2013,Urban regions,West,"Yes, every week",0.06527,585,8656,0.06006,0.07047
2013,Urban regions,West,"Yes, every 2 weeks",0.08676,767,8656,0.08083,0.09269
2013,Urban regions,West,"Yes, every 3-4 weeks",0.05275,416,8656,0.04805,0.05746
2013,Urban regions,West,"Yes, less frequently",0.18972,1503,8656,0.18146,0.19798
2013,Urban regions,East,"No, never",0.54294,646,1132,0.51391,0.57197
2013,Urban regions,East,"Yes, every week",0.05856,76,1132,0.04487,0.07224
2013,Urban regions,East,"Yes, every 2 weeks",0.09405,115,1132,0.07704,0.11107
2013,Urban regions,East,"Yes, every 3-4 weeks",0.06887,67,1132,0.05411,0.08363
2013,Urban regions,East,"Yes, less frequently",0.23558,228,1132,0.21084,0.26031
2013,Rural regions,West,"No, never",0.61073,2049,3383,0.59430,0.62716
2013,Rural regions,West,"Yes, every week",0.05149,207,3383,0.04404,0.05894
2013,Rural regions,West,"Yes, every 2 weeks",0.10494,357,3383,0.09461,0.11527
2013,Rural regions,West,"Yes, every 3-4 weeks",0.05312,191,3383,0.04556,0.06068
2013,Rural regions,West,"Yes, less frequently",0.17972,579,3383,0.16678,0.19266
2013,Rural regions,East,"No, never",0.55819,1221,2111,0.53700,0.57938
2013,Rural regions,East,"Yes, every week",0.05978,134,2111,0.04967,0.06990
2013,Rural regions,East,"Yes, every 2 weeks",0.13207,256,2111,0.11762,0.14651
2013,Rural regions,East,"Yes, every 3-4 weeks",0.05812,126,2111,0.04814,0.06811
2013,Rural regions,East,"Yes, less frequently",0.19184,374,2111,0.17503,0.20864
2015,Urban regions,West,"No, never",0.59248,5413,8786,0.58221,0.60276
2015,Urban regions,West,"Yes, every week",0.06698,608,8786,0.06175,0.07221
2015,Urban regions,West,"Yes, every 2 weeks",0.09686,827,8786,0.09067,0.10304
2015,Urban regions,West,"Yes, every 3-4 weeks",0.05530,423,8786,0.05052,0.06008
2015,Urban regions,West,"Yes, less frequently",0.18838,1515,8786,0.18020,0.19655
2015,Urban regions,East,"No, never",0.55062,592,1032,0.52026,0.58099
2015,Urban regions,East,"Yes, every week",0.06015,70,1032,0.04563,0.07466
2015,Urban regions,East,"Yes, every 2 weeks",0.11457,108,1032,0.09512,0.13401
2015,Urban regions,East,"Yes, every 3-4 weeks",0.06832,72,1032,0.05292,0.08372
2015,Urban regions,East,"Yes, less frequently",0.20634,190,1032,0.18164,0.23104
2015,Rural regions,West,"No, never",0.61618,2069,3385,0.59979,0.63256
2015,Rural regions,West,"Yes, every week",0.06144,219,3385,0.05335,0.06953
2015,Rural regions,West,"Yes, every 2 weeks",0.09673,347,3385,0.08677,0.10669
2015,Rural regions,West,"Yes, every 3-4 weeks",0.05552,196,3385,0.04781,0.06324
2015,Rural regions,West,"Yes, less frequently",0.17013,554,3385,0.15747,0.18279
2015,Rural regions,East,"No, never",0.59664,1112,1866,0.57438,0.61891
2015,Rural regions,East,"Yes, every week",0.05694,119,1866,0.04642,0.06746
