year,pgisced97,sex,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Primary Level,male,"No, never",0.33586,31,31,0.16686,0.50487
2005,Lower Secondary Level,male,"No, never",0.34359,280,322,0.29163,0.39554
2005,Lower Secondary Level,male,"Yes, less frequently",0.05018,42,322,0.02630,0.07406
2005,Lower Secondary Level,female,"No, never",0.19257,352,436,0.15551,0.22963
2005,Lower Secondary Level,female,"Yes, every 2 weeks",0.02917,49,436,0.01335,0.04498
2005,Lower Secondary Level,female,"Yes, less frequently",0.01935,35,436,0.00640,0.03229
2005,Upper Secondary Level,male,"No, never",0.32297,1627,2748,0.30549,0.34046
2005,Upper Secondary Level,male,"Yes, every week",0.03221,162,2748,0.02560,0.03881
2005,Upper Secondary Level,male,"Yes, every 2 weeks",0.04079,210,2748,0.03340,0.04819
2005,Upper Secondary Level,male,"Yes, every 3-4 weeks",0.03206,152,2748,0.02547,0.03864
2005,Upper Secondary Level,male,"Yes, less frequently",0.11667,597,2748,0.10467,0.12868
2005,Upper Secondary Level,female,"No, never",0.30360,1802,2488,0.28553,0.32167
2005,Upper Secondary Level,female,"Yes, every week",0.01897,95,2488,0.01361,0.02434
2005,Upper Secondary Level,female,"Yes, every 2 weeks",0.04760,250,2488,0.03924,0.05597
2005,Upper Secondary Level,female,"Yes, every 3-4 weeks",0.01933,93,2488,0.01392,0.02474
2005,Upper Secondary Level,female,"Yes, less frequently",0.04047,248,2488,0.03273,0.04822
2005,Post-secondary Non-tertiary Level,male,"No, never",0.38671,192,272,0.32872,0.44469
2005,Post-secondary Non-tertiary Level,male,"Yes, less frequently",0.15682,80,272,0.11352,0.20011
2005,Post-secondary Non-tertiary Level,female,"No, never",0.44626,309,359,0.39477,0.49776
2005,Post-secondary Non-tertiary Level,female,"Yes, less frequently",0.05895,50,359,0.03455,0.08334
2005,First Stage of Tertiary Education,male,"No, never",0.32202,300,546,0.28280,0.36125
2005,First Stage of Tertiary Education,male,"Yes, every 2 weeks",0.06012,49,546,0.04016,0.08008
2005,First Stage of Tertiary Education,male,"Yes, every 3-4 weeks",0.04109,37,546,0.02443,0.05776
2005,First Stage of Tertiary Education,male,"Yes, less frequently",0.16127,160,546,0.13039,0.19215
2005,First Stage of Tertiary Education,female,"No, never",0.28746,225,373,0.24147,0.33345
2005,First Stage of Tertiary Education,female,"Yes, every 2 weeks",0.10076,61,373,0.07017,0.13135
2005,First Stage of Tertiary Education,female,"Yes, every 3-4 weeks",0.04195,32,373,0.02157,0.06232
2005,First Stage of Tertiary Education,female,"Yes, less frequently",0.06827,55,373,0.04264,0.09390
2005,Second Stage of Tertiary Education,male,"No, never",0.29716,777,1605,0.27480,0.31953
2005,Second Stage of Tertiary Education,male,"Yes, every week",0.05904,150,1605,0.04750,0.07057
2005,Second Stage of Tertiary Education,male,"Yes, every 2 weeks",0.04861,111,1605,0.03808,0.05913
