year,bula_h,sex,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,male,"No, never",0.22212,80,136,0.15200,0.29224
2005,Schleswig-Holstein,male,"Yes, less frequently",0.15497,56,136,0.09392,0.21601
2005,Schleswig-Holstein,female,"No, never",0.25368,113,145,0.18261,0.32474
2005,Schleswig-Holstein,female,"Yes, less frequently",0.06645,32,145,0.02577,0.10713
2005,Hamburg,male,"No, never",0.33963,51,51,0.20836,0.47090
2005,Hamburg,female,"No, never",0.25621,53,53,0.13756,0.37487
2005,Lower Saxony,male,"No, never",0.23111,255,473,0.19308,0.26914
2005,Lower Saxony,male,"Yes, every week",0.04721,52,473,0.02807,0.06634
2005,Lower Saxony,male,"Yes, every 2 weeks",0.02053,32,473,0.00774,0.03333
2005,Lower Saxony,male,"Yes, less frequently",0.12599,134,473,0.09605,0.15593
2005,Lower Saxony,female,"No, never",0.23186,295,395,0.19019,0.27353
2005,Lower Saxony,female,"Yes, every 2 weeks",0.04300,48,395,0.02297,0.06303
2005,Lower Saxony,female,"Yes, less frequently",0.04225,52,395,0.02239,0.06212
2005,North Rhine-Westphalia,male,"No, never",0.28946,749,1266,0.26447,0.31445
2005,North Rhine-Westphalia,male,"Yes, every week",0.02683,73,1266,0.01793,0.03574
2005,North Rhine-Westphalia,male,"Yes, every 2 weeks",0.03855,100,1266,0.02794,0.04916
2005,North Rhine-Westphalia,male,"Yes, every 3-4 weeks",0.03455,81,1266,0.02448,0.04461
2005,North Rhine-Westphalia,male,"Yes, less frequently",0.09476,263,1266,0.07862,0.11090
2005,North Rhine-Westphalia,female,"No, never",0.25709,743,1062,0.23079,0.28338
2005,North Rhine-Westphalia,female,"Yes, every week",0.01335,42,1062,0.00644,0.02025
2005,North Rhine-Westphalia,female,"Yes, every 2 weeks",0.03564,101,1062,0.02448,0.04679
2005,North Rhine-Westphalia,female,"Yes, every 3-4 weeks",0.01887,47,1062,0.01068,0.02706
2005,North Rhine-Westphalia,female,"Yes, less frequently",0.03814,129,1062,0.02662,0.04967
2005,Hesse,male,"No, never",0.28046,229,375,0.23494,0.32599
2005,Hesse,male,"Yes, every week",0.05307,38,375,0.03035,0.07580
2005,Hesse,male,"Yes, less frequently",0.11974,108,375,0.08684,0.15265
2005,Hesse,female,"No, never",0.26164,249,330,0.21415,0.30914
2005,Hesse,female,"Yes, every 2 weeks",0.02877,32,330,0.01071,0.04684
2005,Hesse,female,"Yes, less frequently",0.04794,49,330,0.02485,0.07103
2005,"Rhineland-Palatinate, Saarland",male,"No, never",0.26259,201,273,0.21029,0.31488
2005,"Rhineland-Palatinate, Saarland",male,"Yes, less frequently",0.08902,72,273,0.05518,0.12287
2005,"Rhineland-Palatinate, Saarland",female,"No, never",0.24795,209,246,0.19388,0.30202
2005,"Rhineland-Palatinate, Saarland",female,"Yes, less frequently",0.03671,37,246,0.01316,0.06025
2005,Baden-Wuerttemberg,male,"No, never",0.32696,516,774,0.29389,0.36003
2005,Baden-Wuerttemberg,male,"Yes, every week",0.01935,42,774,0.00964,0.02906
2005,Baden-Wuerttemberg,male,"Yes, every 2 weeks",0.03471,41,774,0.02181,0.04761
2005,Baden-Wuerttemberg,male,"Yes, every 3-4 weeks",0.02419,42,774,0.01336,0.03502
2005,Baden-Wuerttemberg,male,"Yes, less frequently",0.07744,133,774,0.05860,0.09628
2005,Baden-Wuerttemberg,female,"No, never",0.24001,431,543,0.20406,0.27597
2005,Baden-Wuerttemberg,female,"Yes, every 2 weeks",0.04548,49,543,0.02794,0.06303
2005,Baden-Wuerttemberg,female,"Yes, less frequently",0.03821,63,543,0.02207,0.05436
2005,Bavaria,male,"No, never",0.27795,502,835,0.24755,0.30836
2005,Bavaria,male,"Yes, every week",0.02982,56,835,0.01827,0.04136
