,Unnamed: 0,year,quintil_oecd,regtyp,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,1st Quintile,Urban regions,"No, never",0.65858,433,10801,0.59963,0.70218
1,1,2005,1st Quintile,Urban regions,"Yes, every week",0.06994,46,10801,0.05525,0.08766
2,2,2005,1st Quintile,Urban regions,"Yes, every 2 weeks",0.09141,58,10801,0.07246,0.10928
3,3,2005,1st Quintile,Urban regions,"Yes, every 3-4 weeks",0.05584,31,10801,0.03861,0.08035
4,4,2005,1st Quintile,Urban regions,"Yes, less frequently",0.12423,90,10801,0.10349,0.15028
5,5,2005,1st Quintile,Rural regions,"No, never",0.71193,203,10801,0.64035,0.79551
6,6,2005,1st Quintile,Rural regions,"Yes, every 2 weeks",0.13664,39,10801,0.10831,0.17259
7,7,2005,1st Quintile,Rural regions,"Yes, less frequently",0.15144,44,10801,0.119,0.17994
8,8,2005,2nd Quintile,Urban regions,"No, never",0.67297,638,10801,0.62822,0.72163
9,9,2005,2nd Quintile,Urban regions,"Yes, every week",0.04506,48,10801,0.03548,0.05609
10,10,2005,2nd Quintile,Urban regions,"Yes, every 2 weeks",0.10432,94,10801,0.08337,0.12196
11,11,2005,2nd Quintile,Urban regions,"Yes, every 3-4 weeks",0.04648,38,10801,0.03349,0.06003
12,12,2005,2nd Quintile,Urban regions,"Yes, less frequently",0.13117,122,10801,0.11587,0.14741
13,13,2005,2nd Quintile,Rural regions,"No, never",0.64766,350,10801,0.58963,0.69692
14,14,2005,2nd Quintile,Rural regions,"Yes, every week",0.06841,35,10801,0.05271,0.08531
15,15,2005,2nd Quintile,Rural regions,"Yes, every 2 weeks",0.10329,60,10801,0.08504,0.12393
16,16,2005,2nd Quintile,Rural regions,"Yes, less frequently",0.18064,100,10801,0.14435,0.21851
17,17,2005,3rd Quintile,Urban regions,"No, never",0.66063,826,10801,0.62031,0.69193
18,18,2005,3rd Quintile,Urban regions,"Yes, every week",0.02755,47,10801,0.01996,0.03636
19,19,2005,3rd Quintile,Urban regions,"Yes, every 2 weeks",0.09485,106,10801,0.08076,0.11379
20,20,2005,3rd Quintile,Urban regions,"Yes, every 3-4 weeks",0.04414,51,10801,0.03518,0.05503
21,21,2005,3rd Quintile,Urban regions,"Yes, less frequently",0.17284,209,10801,0.15559,0.19279
22,22,2005,3rd Quintile,Rural regions,"No, never",0.66722,451,10801,0.6166,0.71895
23,23,2005,3rd Quintile,Rural regions,"Yes, every 2 weeks",0.10963,69,10801,0.08713,0.14358
24,24,2005,3rd Quintile,Rural regions,"Yes, every 3-4 weeks",0.03793,33,10801,0.02987,0.04784
25,25,2005,3rd Quintile,Rural regions,"Yes, less frequently",0.18521,124,10801,0.15441,0.21427
26,26,2005,4th Quintile,Urban regions,"No, never",0.64963,1088,10801,0.6153,0.68039
27,27,2005,4th Quintile,Urban regions,"Yes, every week",0.05013,72,10801,0.04124,0.05913
28,28,2005,4th Quintile,Urban regions,"Yes, every 2 weeks",0.09415,126,10801,0.08225,0.10608
29,29,2005,4th Quintile,Urban regions,"Yes, every 3-4 weeks",0.04853,84,10801,0.04088,0.05659
30,30,2005,4th Quintile,Urban regions,"Yes, less frequently",0.15755,267,10801,0.13932,0.17527
31,31,2005,4th Quintile,Rural regions,"No, never",0.54846,526,10801,0.51156,0.5917
32,32,2005,4th Quintile,Rural regions,"Yes, every week",0.07808,59,10801,0.06189,0.09584
33,33,2005,4th Quintile,Rural regions,"Yes, every 2 weeks",0.1098,87,10801,0.09441,0.12829
34,34,2005,4th Quintile,Rural regions,"Yes, every 3-4 weeks",0.06501,56,10801,0.05146,0.07928
35,35,2005,4th Quintile,Rural regions,"Yes, less frequently",0.19865,173,10801,0.17187,0.22939
36,36,2005,5th Quintile,Urban regions,"No, never",0.562,1706,10801,0.53525,0.59129
37,37,2005,5th Quintile,Urban regions,"Yes, every week",0.06757,201,10801,0.05897,0.07809
38,38,2005,5th Quintile,Urban regions,"Yes, every 2 weeks",0.07494,214,10801,0.06523,0.08762
39,39,2005,5th Quintile,Urban regions,"Yes, every 3-4 weeks",0.06511,165,10801,0.05538,0.07629
40,40,2005,5th Quintile,Urban regions,"Yes, less frequently",0.23037,635,10801,0.21204,0.25156
41,41,2005,5th Quintile,Rural regions,"No, never",0.5986,581,10801,0.5447,0.64991
42,42,2005,5th Quintile,Rural regions,"Yes, every week",0.09117,82,10801,0.0705,0.11128
43,43,2005,5th Quintile,Rural regions,"Yes, every 2 weeks",0.0543,61,10801,0.03906,0.07223
44,44,2005,5th Quintile,Rural regions,"Yes, every 3-4 weeks",0.07275,66,10801,0.05259,0.09532
45,45,2005,5th Quintile,Rural regions,"Yes, less frequently",0.18318,207,10801,0.15347,0.21281
46,46,2007,1st Quintile,Urban regions,"No, never",0.71126,487,10991,0.65632,0.76606
47,47,2007,1st Quintile,Urban regions,"Yes, every week",0.06181,40,10991,0.04916,0.07781
48,48,2007,1st Quintile,Urban regions,"Yes, every 2 weeks",0.10439,60,10991,0.08333,0.13055
49,49,2007,1st Quintile,Urban regions,"Yes, less frequently",0.12254,82,10991,0.10398,0.14458
50,50,2007,1st Quintile,Rural regions,"No, never",0.7574,264,10991,0.69054,0.85763
51,51,2007,1st Quintile,Rural regions,"Yes, every 2 weeks",0.10042,38,10991,0.07695,0.13072
52,52,2007,1st Quintile,Rural regions,"Yes, less frequently",0.14218,46,10991,0.10864,0.1793
53,53,2007,2nd Quintile,Urban regions,"No, never",0.68223,649,10991,0.64209,0.71828
54,54,2007,2nd Quintile,Urban regions,"Yes, every week",0.05532,53,10991,0.04442,0.06654
55,55,2007,2nd Quintile,Urban regions,"Yes, every 2 weeks",0.07085,68,10991,0.05815,0.08424
56,56,2007,2nd Quintile,Urban regions,"Yes, every 3-4 weeks",0.05633,52,10991,0.04544,0.07158
57,57,2007,2nd Quintile,Urban regions,"Yes, less frequently",0.13526,148,10991,0.11912,0.15323
58,58,2007,2nd Quintile,Rural regions,"No, never",0.64083,380,10991,0.58363,0.69872
59,59,2007,2nd Quintile,Rural regions,"Yes, every week",0.04829,35,10991,0.03224,0.06986
60,60,2007,2nd Quintile,Rural regions,"Yes, every 2 weeks",0.12113,74,10991,0.09901,0.1487
61,61,2007,2nd Quintile,Rural regions,"Yes, less frequently",0.18975,103,10991,0.16221,0.2178
62,62,2007,3rd Quintile,Urban regions,"No, never",0.66923,807,10991,0.63042,0.70084
63,63,2007,3rd Quintile,Urban regions,"Yes, every week",0.04142,55,10991,0.03398,0.05116
64,64,2007,3rd Quintile,Urban regions,"Yes, every 2 weeks",0.08776,113,10991,0.0741,0.10029
65,65,2007,3rd Quintile,Urban regions,"Yes, every 3-4 weeks",0.05577,65,10991,0.04539,0.06675
66,66,2007,3rd Quintile,Urban regions,"Yes, less frequently",0.14582,184,10991,0.12805,0.16369
67,67,2007,3rd Quintile,Rural regions,"No, never",0.58299,484,10991,0.54135,0.62087
68,68,2007,3rd Quintile,Rural regions,"Yes, every week",0.06173,48,10991,0.0462,0.07647
69,69,2007,3rd Quintile,Rural regions,"Yes, every 2 weeks",0.12629,90,10991,0.10504,0.15268
70,70,2007,3rd Quintile,Rural regions,"Yes, every 3-4 weeks",0.07384,51,10991,0.0567,0.09244
71,71,2007,3rd Quintile,Rural regions,"Yes, less frequently",0.15515,127,10991,0.13312,0.17975
72,72,2007,4th Quintile,Urban regions,"No, never",0.62226,1096,10991,0.5933,0.65894
73,73,2007,4th Quintile,Urban regions,"Yes, every week",0.04122,77,10991,0.03515,0.04809
74,74,2007,4th Quintile,Urban regions,"Yes, every 2 weeks",0.09577,150,10991,0.083,0.11092
75,75,2007,4th Quintile,Urban regions,"Yes, every 3-4 weeks",0.04603,78,10991,0.0381,0.05664
