year,age_gr,sampreg,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,West,"No, never",0.68186,1023,1465,0.65800,0.70572
2005,17-29 y.,West,"Yes, every week",0.05302,80,1465,0.04154,0.06450
2005,17-29 y.,West,"Yes, every 2 weeks",0.08404,120,1465,0.06983,0.09825
2005,17-29 y.,West,"Yes, every 3-4 weeks",0.06073,76,1465,0.04849,0.07296
2005,17-29 y.,West,"Yes, less frequently",0.12035,166,1465,0.10369,0.13702
2005,17-29 y.,East,"No, never",0.62306,302,425,0.57693,0.66919
2005,17-29 y.,East,"Yes, every 2 weeks",0.15915,59,425,0.12433,0.19397
2005,17-29 y.,East,"Yes, less frequently",0.13242,64,425,0.10015,0.16468
2005,30-45 y.,West,"No, never",0.59924,2273,3691,0.58343,0.61506
2005,30-45 y.,West,"Yes, every week",0.05512,184,3691,0.04775,0.06248
2005,30-45 y.,West,"Yes, every 2 weeks",0.09121,309,3691,0.08192,0.10050
2005,30-45 y.,West,"Yes, every 3-4 weeks",0.05775,212,3691,0.05022,0.06528
2005,30-45 y.,West,"Yes, less frequently",0.19668,713,3691,0.18385,0.20950
2005,30-45 y.,East,"No, never",0.54119,530,941,0.50933,0.57304
2005,30-45 y.,East,"Yes, every week",0.06220,55,941,0.04676,0.07764
2005,30-45 y.,East,"Yes, every 2 weeks",0.12722,103,941,0.10592,0.14852
2005,30-45 y.,East,"Yes, every 3-4 weeks",0.05849,50,941,0.04349,0.07349
2005,30-45 y.,East,"Yes, less frequently",0.21091,203,941,0.18483,0.23699
2005,46-65 y.,West,"No, never",0.63799,2025,3234,0.62142,0.65455
2005,46-65 y.,West,"Yes, every week",0.06242,232,3234,0.05408,0.07075
2005,46-65 y.,West,"Yes, every 2 weeks",0.07635,217,3234,0.06719,0.08550
2005,46-65 y.,West,"Yes, every 3-4 weeks",0.04843,149,3234,0.04103,0.05583
2005,46-65 y.,West,"Yes, less frequently",0.17482,611,3234,0.16172,0.18791
2005,46-65 y.,East,"No, never",0.55856,556,970,0.52730,0.58983
2005,46-65 y.,East,"Yes, every week",0.05850,61,970,0.04373,0.07328
2005,46-65 y.,East,"Yes, every 2 weeks",0.11740,101,970,0.09713,0.13766
2005,46-65 y.,East,"Yes, every 3-4 weeks",0.06963,55,970,0.05361,0.08566
2005,46-65 y.,East,"Yes, less frequently",0.19590,197,970,0.17091,0.22089
2005,66 and older,West,"No, never",0.67860,77,77,0.57361,0.78360
2007,17-29 y.,West,"No, never",0.67187,967,1405,0.64730,0.69643
2007,17-29 y.,West,"Yes, every week",0.04856,70,1405,0.03732,0.05981
2007,17-29 y.,West,"Yes, every 2 weeks",0.11146,128,1405,0.09500,0.12792
2007,17-29 y.,West,"Yes, every 3-4 weeks",0.03981,55,1405,0.02958,0.05003
2007,17-29 y.,West,"Yes, less frequently",0.12830,185,1405,0.11081,0.14580
2007,17-29 y.,East,"No, never",0.63007,312,421,0.58390,0.67624
2007,17-29 y.,East,"Yes, every 2 weeks",0.11866,51,421,0.08773,0.14959
2007,17-29 y.,East,"Yes, less frequently",0.14047,58,421,0.10724,0.17371
2007,30-45 y.,West,"No, never",0.59695,2180,3583,0.58089,0.61302
2007,30-45 y.,West,"Yes, every week",0.05876,218,3583,0.05106,0.06646
2007,30-45 y.,West,"Yes, every 2 weeks",0.08325,292,3583,0.07420,0.09230
2007,30-45 y.,West,"Yes, every 3-4 weeks",0.06005,209,3583,0.05227,0.06783
2007,30-45 y.,West,"Yes, less frequently",0.20099,684,3583,0.18787,0.21412
2007,30-45 y.,East,"No, never",0.54346,546,968,0.51206,0.57485
2007,30-45 y.,East,"Yes, every week",0.05601,50,968,0.04151,0.07050
2007,30-45 y.,East,"Yes, every 2 weeks",0.14308,120,968,0.12101,0.16515
2007,30-45 y.,East,"Yes, every 3-4 weeks",0.05421,48,968,0.03994,0.06848
2007,30-45 y.,East,"Yes, less frequently",0.20325,204,968,0.17789,0.22862
2007,46-65 y.,West,"No, never",0.62368,2091,3439,0.60749,0.63987
2007,46-65 y.,West,"Yes, every week",0.07060,268,3439,0.06204,0.07916
2007,46-65 y.,West,"Yes, every 2 weeks",0.06967,232,3439,0.06116,0.07818
2007,46-65 y.,West,"Yes, every 3-4 weeks",0.05151,182,3439,0.04412,0.05890
2007,46-65 y.,West,"Yes, less frequently",0.18454,666,3439,0.17157,0.19751
2007,46-65 y.,East,"No, never",0.52862,569,1038,0.49823,0.55900
2007,46-65 y.,East,"Yes, every week",0.06930,73,1038,0.05385,0.08476
2007,46-65 y.,East,"Yes, every 2 weeks",0.11280,111,1038,0.09355,0.13205
2007,46-65 y.,East,"Yes, every 3-4 weeks",0.07750,65,1038,0.06123,0.09378
2007,46-65 y.,East,"Yes, less frequently",0.21178,220,1038,0.18691,0.23664
2007,66 and older,West,"No, never",0.63318,86,86,0.53072,0.73563
2009,17-29 y.,West,"No, never",0.65127,823,1253,0.62488,0.67767
2009,17-29 y.,West,"Yes, every week",0.06054,69,1253,0.04733,0.07375
2009,17-29 y.,West,"Yes, every 2 weeks",0.08396,116,1253,0.06860,0.09933
2009,17-29 y.,West,"Yes, every 3-4 weeks",0.06168,65,1253,0.04835,0.07500
2009,17-29 y.,West,"Yes, less frequently",0.14255,180,1253,0.12318,0.16191
2009,17-29 y.,East,"No, never",0.64041,241,331,0.58863,0.69219
2009,17-29 y.,East,"Yes, every 2 weeks",0.09373,35,331,0.06229,0.12518
2009,17-29 y.,East,"Yes, less frequently",0.13608,55,331,0.09908,0.17307
2009,30-45 y.,West,"No, never",0.57354,1761,2907,0.55556,0.59153
2009,30-45 y.,West,"Yes, every week",0.06623,177,2907,0.05719,0.07527
2009,30-45 y.,West,"Yes, every 2 weeks",0.08369,237,2907,0.07362,0.09375
2009,30-45 y.,West,"Yes, every 3-4 weeks",0.06381,161,2907,0.05492,0.07270
2009,30-45 y.,West,"Yes, less frequently",0.21273,571,2907,0.19785,0.22761
2009,30-45 y.,East,"No, never",0.50723,469,850,0.47360,0.54086
2009,30-45 y.,East,"Yes, every week",0.07372,61,850,0.05614,0.09130
2009,30-45 y.,East,"Yes, every 2 weeks",0.11304,88,850,0.09174,0.13434
2009,30-45 y.,East,"Yes, every 3-4 weeks",0.07047,50,850,0.05326,0.08769
2009,30-45 y.,East,"Yes, less frequently",0.23553,182,850,0.20699,0.26408
2009,46-65 y.,West,"No, never",0.60743,1883,3183,0.59046,0.62440
2009,46-65 y.,West,"Yes, every week",0.07935,254,3183,0.06996,0.08874
2009,46-65 y.,West,"Yes, every 2 weeks",0.07811,256,3183,0.06879,0.08744
2009,46-65 y.,West,"Yes, every 3-4 weeks",0.04404,169,3183,0.03691,0.05117
2009,46-65 y.,West,"Yes, less frequently",0.19107,621,3183,0.17741,0.20473
2009,46-65 y.,East,"No, never",0.53761,571,1035,0.50722,0.56800
2009,46-65 y.,East,"Yes, every week",0.07024,82,1035,0.05466,0.08582
2009,46-65 y.,East,"Yes, every 2 weeks",0.10788,101,1035,0.08897,0.12678
2009,46-65 y.,East,"Yes, every 3-4 weeks",0.09805,75,1035,0.07992,0.11617
2009,46-65 y.,East,"Yes, less frequently",0.18623,206,1035,0.16250,0.20996
2009,66 and older,West,"No, never",0.59901,108,148,0.51979,0.67824
2009,66 and older,West,"Yes, less frequently",0.20899,40,148,0.14326,0.27472
2011,17-29 y.,West,"No, never",0.67367,1152,1722,0.65152,0.69583
2011,17-29 y.,West,"Yes, every week",0.05809,108,1722,0.04704,0.06914
2011,17-29 y.,West,"Yes, every 2 weeks",0.10381,183,1722,0.08940,0.11822
2011,17-29 y.,West,"Yes, every 3-4 weeks",0.04322,75,1722,0.03361,0.05283
2011,17-29 y.,West,"Yes, less frequently",0.12121,204,1722,0.10579,0.13663
2011,17-29 y.,East,"No, never",0.58266,302,505,0.53961,0.62572
2011,17-29 y.,East,"Yes, every week",0.07068,31,505,0.04830,0.09305
2011,17-29 y.,East,"Yes, every 2 weeks",0.15961,74,505,0.12763,0.19158
2011,17-29 y.,East,"Yes, every 3-4 weeks",0.06003,35,505,0.03929,0.08077
2011,17-29 y.,East,"Yes, less frequently",0.12703,63,505,0.09795,0.15610
2011,30-45 y.,West,"No, never",0.59407,3652,6061,0.58170,0.60643
2011,30-45 y.,West,"Yes, every week",0.07140,429,6061,0.06491,0.07788
2011,30-45 y.,West,"Yes, every 2 weeks",0.08883,554,6061,0.08166,0.09599
2011,30-45 y.,West,"Yes, every 3-4 weeks",0.05674,355,6061,0.05091,0.06256
2011,30-45 y.,West,"Yes, less frequently",0.18897,1071,6061,0.17911,0.19883
2011,30-45 y.,East,"No, never",0.54153,866,1543,0.51666,0.56640
2011,30-45 y.,East,"Yes, every week",0.05294,84,1543,0.04176,0.06411
2011,30-45 y.,East,"Yes, every 2 weeks",0.10199,173,1543,0.08689,0.11710
2011,30-45 y.,East,"Yes, every 3-4 weeks",0.05951,116,1543,0.04771,0.07132
2011,30-45 y.,East,"Yes, less frequently",0.24402,304,1543,0.22258,0.26546
2011,46-65 y.,West,"No, never",0.61040,3023,4995,0.59687,0.62392
2011,46-65 y.,West,"Yes, every week",0.07312,382,4995,0.06590,0.08034
2011,46-65 y.,West,"Yes, every 2 weeks",0.08955,455,4995,0.08164,0.09747
2011,46-65 y.,West,"Yes, every 3-4 weeks",0.05218,276,4995,0.04601,0.05834
2011,46-65 y.,West,"Yes, less frequently",0.17475,859,4995,0.16422,0.18528
2011,46-65 y.,East,"No, never",0.57624,791,1402,0.55036,0.60211
2011,46-65 y.,East,"Yes, every week",0.08316,129,1402,0.06870,0.09762
2011,46-65 y.,East,"Yes, every 2 weeks",0.10971,150,1402,0.09334,0.12607
2011,46-65 y.,East,"Yes, every 3-4 weeks",0.06239,96,1402,0.04972,0.07505
2011,46-65 y.,East,"Yes, less frequently",0.16851,236,1402,0.14891,0.18811
2011,66 and older,West,"No, never",0.56547,112,152,0.48641,0.64454
2011,66 and older,West,"Yes, less frequently",0.18397,40,152,0.12217,0.24577
2013,17-29 y.,West,"No, never",0.70444,1137,1634,0.68230,0.72657
2013,17-29 y.,West,"Yes, every week",0.04891,103,1634,0.03845,0.05938
2013,17-29 y.,West,"Yes, every 2 weeks",0.09274,166,1634,0.07867,0.10681
2013,17-29 y.,West,"Yes, every 3-4 weeks",0.03681,69,1634,0.02767,0.04594
2013,17-29 y.,West,"Yes, less frequently",0.11711,159,1634,0.10151,0.13270
2013,17-29 y.,East,"No, never",0.53181,250,410,0.48345,0.58017
2013,17-29 y.,East,"Yes, every week",0.07770,31,410,0.05176,0.10364
2013,17-29 y.,East,"Yes, every 2 weeks",0.15771,48,410,0.12239,0.19304
2013,17-29 y.,East,"Yes, every 3-4 weeks",0.07691,31,410,0.05109,0.10274
2013,17-29 y.,East,"Yes, less frequently",0.15586,50,410,0.12071,0.19102
2013,30-45 y.,West,"No, never",0.56859,3037,5041,0.55492,0.58227
2013,30-45 y.,West,"Yes, every week",0.05863,328,5041,0.05215,0.06512
2013,30-45 y.,West,"Yes, every 2 weeks",0.09664,490,5041,0.08849,0.10480
2013,30-45 y.,West,"Yes, every 3-4 weeks",0.06820,290,5041,0.06124,0.07516
2013,30-45 y.,West,"Yes, less frequently",0.20793,896,5041,0.19672,0.21913
2013,30-45 y.,East,"No, never",0.56181,796,1373,0.53556,0.58806
2013,30-45 y.,East,"Yes, every week",0.04540,71,1373,0.03438,0.05642
2013,30-45 y.,East,"Yes, every 2 weeks",0.13600,178,1373,0.11786,0.15414
2013,30-45 y.,East,"Yes, every 3-4 weeks",0.05555,74,1373,0.04343,0.06768
2013,30-45 y.,East,"Yes, less frequently",0.20124,254,1373,0.18002,0.22245
2013,46-65 y.,West,"No, never",0.59669,3106,5121,0.58326,0.61013
2013,46-65 y.,West,"Yes, every week",0.06699,344,5121,0.06015,0.07384
2013,46-65 y.,West,"Yes, every 2 weeks",0.08944,457,5121,0.08162,0.09726
2013,46-65 y.,West,"Yes, every 3-4 weeks",0.04976,242,5121,0.04381,0.05572
2013,46-65 y.,West,"Yes, less frequently",0.19711,972,5121,0.18621,0.20801
2013,46-65 y.,East,"No, never",0.55118,801,1429,0.52538,0.57698
2013,46-65 y.,East,"Yes, every week",0.06291,106,1429,0.05032,0.07551
2013,46-65 y.,East,"Yes, every 2 weeks",0.09694,144,1429,0.08159,0.11228
2013,46-65 y.,East,"Yes, every 3-4 weeks",0.06076,86,1429,0.04837,0.07315
2013,46-65 y.,East,"Yes, less frequently",0.22821,292,1429,0.20644,0.24998
2013,66 and older,West,"No, never",0.66434,154,209,0.60016,0.72852
2013,66 and older,West,"Yes, less frequently",0.18487,55,209,0.13211,0.23762
2015,17-29 y.,West,"No, never",0.63127,1283,1924,0.60971,0.65284
2015,17-29 y.,West,"Yes, every week",0.06542,130,1924,0.05437,0.07647
2015,17-29 y.,West,"Yes, every 2 weeks",0.11534,217,1924,0.10106,0.12961
2015,17-29 y.,West,"Yes, every 3-4 weeks",0.04557,79,1924,0.03625,0.05489
2015,17-29 y.,West,"Yes, less frequently",0.14240,215,1924,0.12678,0.15802
2015,17-29 y.,East,"No, never",0.63145,251,340,0.58010,0.68281
2015,17-29 y.,East,"Yes, every 2 weeks",0.17971,49,340,0.13884,0.22058
2015,17-29 y.,East,"Yes, less frequently",0.10298,40,340,0.07063,0.13534
2015,30-45 y.,West,"No, never",0.57433,2852,4684,0.56017,0.58850
2015,30-45 y.,West,"Yes, every week",0.06483,311,4684,0.05778,0.07189
2015,30-45 y.,West,"Yes, every 2 weeks",0.09376,434,4684,0.08541,0.10211
2015,30-45 y.,West,"Yes, every 3-4 weeks",0.06851,272,4684,0.06127,0.07574
2015,30-45 y.,West,"Yes, less frequently",0.19856,815,4684,0.18714,0.20999
2015,30-45 y.,East,"No, never",0.56005,659,1151,0.53136,0.58873
2015,30-45 y.,East,"Yes, every week",0.05513,70,1151,0.04194,0.06832
2015,30-45 y.,East,"Yes, every 2 weeks",0.13311,148,1151,0.11348,0.15274
2015,30-45 y.,East,"Yes, every 3-4 weeks",0.08733,81,1151,0.07101,0.10365
2015,30-45 y.,East,"Yes, less frequently",0.16438,193,1151,0.14296,0.18580
2015,46-65 y.,West,"No, never",0.59862,3177,5292,0.58541,0.61182
2015,46-65 y.,West,"Yes, every week",0.06391,361,5292,0.05731,0.07050
2015,46-65 y.,West,"Yes, every 2 weeks",0.09716,515,5292,0.08917,0.10514
2015,46-65 y.,West,"Yes, every 3-4 weeks",0.05187,258,5292,0.04589,0.05784
2015,46-65 y.,West,"Yes, less frequently",0.18846,981,5292,0.17792,0.19900
2015,46-65 y.,East,"No, never",0.57689,766,1320,0.55023,0.60356
2015,46-65 y.,East,"Yes, every week",0.06545,94,1320,0.05210,0.07879
2015,46-65 y.,East,"Yes, every 2 weeks",0.09897,134,1320,0.08286,0.11509
2015,46-65 y.,East,"Yes, every 3-4 weeks",0.06107,83,1320,0.04815,0.07399
2015,46-65 y.,East,"Yes, less frequently",0.19761,243,1320,0.17613,0.21910
2015,66 and older,West,"No, never",0.67774,170,228,0.61694,0.73853
2015,66 and older,West,"Yes, less frequently",0.18900,58,228,0.13807,0.23993
2017,17-29 y.,West,"No, never",0.67562,1483,2192,0.65601,0.69522
