,Unnamed: 0,year,migback,quintil_oecd,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,No migration background,1st Quintile,"No, never",0.61303,459,10481,0.57038,0.65747
1,1,2005,No migration background,1st Quintile,"Yes, every week",0.07791,51,10481,0.06365,0.09535
2,2,2005,No migration background,1st Quintile,"Yes, every 2 weeks",0.10799,75,10481,0.08938,0.12889
3,3,2005,No migration background,1st Quintile,"Yes, every 3-4 weeks",0.05233,33,10481,0.03807,0.0707
4,4,2005,No migration background,1st Quintile,"Yes, less frequently",0.14874,114,10481,0.12565,0.17192
5,5,2005,No migration background,2nd Quintile,"No, never",0.63272,734,10481,0.5958,0.66961
6,6,2005,No migration background,2nd Quintile,"Yes, every week",0.05691,70,10481,0.04568,0.06829
7,7,2005,No migration background,2nd Quintile,"Yes, every 2 weeks",0.09872,124,10481,0.08632,0.11221
8,8,2005,No migration background,2nd Quintile,"Yes, every 3-4 weeks",0.05142,49,10481,0.03858,0.06557
9,9,2005,No migration background,2nd Quintile,"Yes, less frequently",0.16023,192,10481,0.14029,0.18244
10,10,2005,No migration background,3rd Quintile,"No, never",0.63889,1019,10481,0.60491,0.66785
11,11,2005,No migration background,3rd Quintile,"Yes, every week",0.03173,60,10481,0.02405,0.03909
12,12,2005,No migration background,3rd Quintile,"Yes, every 2 weeks",0.10592,152,10481,0.09254,0.12219
13,13,2005,No migration background,3rd Quintile,"Yes, every 3-4 weeks",0.04267,71,10481,0.03436,0.05074
14,14,2005,No migration background,3rd Quintile,"Yes, less frequently",0.18078,287,10481,0.16189,0.19893
15,15,2005,No migration background,4th Quintile,"No, never",0.60619,1375,10481,0.57591,0.63275
16,16,2005,No migration background,4th Quintile,"Yes, every week",0.06051,118,10481,0.05269,0.06871
17,17,2005,No migration background,4th Quintile,"Yes, every 2 weeks",0.09834,185,10481,0.088,0.11022
18,18,2005,No migration background,4th Quintile,"Yes, every 3-4 weeks",0.0573,124,10481,0.05008,0.06538
19,19,2005,No migration background,4th Quintile,"Yes, less frequently",0.17766,397,10481,0.16387,0.19363
20,20,2005,No migration background,5th Quintile,"No, never",0.57267,2096,10481,0.55318,0.596
21,21,2005,No migration background,5th Quintile,"Yes, every week",0.07286,257,10481,0.06383,0.08114
22,22,2005,No migration background,5th Quintile,"Yes, every 2 weeks",0.06987,252,10481,0.05956,0.07961
23,23,2005,No migration background,5th Quintile,"Yes, every 3-4 weeks",0.06321,210,10481,0.05442,0.07141
24,24,2005,No migration background,5th Quintile,"Yes, less frequently",0.22139,792,10481,0.20604,0.23618
25,25,2005,Direct migration background,1st Quintile,"No, never",1.0,117,10481,0.8744,1.15121
26,26,2005,Direct migration background,2nd Quintile,"No, never",1.0,201,10481,0.89103,1.11266
27,27,2005,Direct migration background,3rd Quintile,"No, never",1.0,188,10481,0.90138,1.09994
28,28,2005,Direct migration background,4th Quintile,"No, never",0.85328,173,10481,0.73246,0.95722
29,29,2005,Direct migration background,4th Quintile,"Yes, less frequently",0.14672,32,10481,0.0946,0.19708
30,30,2005,Direct migration background,5th Quintile,"No, never",0.73176,133,10481,0.63756,0.85786
31,31,2005,Direct migration background,5th Quintile,"Yes, less frequently",0.26824,34,10481,0.19628,0.34302
32,32,2005,Indirect migration background,1st Quintile,"No, never",1.0,60,10481,0.75778,1.25805
33,33,2005,Indirect migration background,2nd Quintile,"No, never",1.0,53,10481,0.79867,1.23987
34,34,2005,Indirect migration background,3rd Quintile,"No, never",1.0,70,10481,0.78378,1.27983
35,35,2005,Indirect migration background,4th Quintile,"No, never",1.0,66,10481,0.79595,1.20765
36,36,2005,Indirect migration background,5th Quintile,"No, never",1.0,58,10481,0.80925,1.20484
37,37,2007,No migration background,1st Quintile,"No, never",0.68379,558,10657,0.63065,0.73206
38,38,2007,No migration background,1st Quintile,"Yes, every week",0.06358,52,10657,0.05186,0.07883
39,39,2007,No migration background,1st Quintile,"Yes, every 2 weeks",0.1145,82,10657,0.09145,0.13993
40,40,2007,No migration background,1st Quintile,"Yes, less frequently",0.13812,104,10657,0.11727,0.16062
41,41,2007,No migration background,2nd Quintile,"No, never",0.63315,789,10657,0.59994,0.6722
42,42,2007,No migration background,2nd Quintile,"Yes, every week",0.05604,72,10657,0.04448,0.06653
43,43,2007,No migration background,2nd Quintile,"Yes, every 2 weeks",0.09462,122,10657,0.07995,0.10759
44,44,2007,No migration background,2nd Quintile,"Yes, every 3-4 weeks",0.05498,60,10657,0.04408,0.06612
45,45,2007,No migration background,2nd Quintile,"Yes, less frequently",0.16122,213,10657,0.14464,0.17952
46,46,2007,No migration background,3rd Quintile,"No, never",0.61691,1056,10657,0.58968,0.64768
47,47,2007,No migration background,3rd Quintile,"Yes, every week",0.05275,89,10657,0.0435,0.06157
48,48,2007,No migration background,3rd Quintile,"Yes, every 2 weeks",0.10595,174,10657,0.09488,0.12018
49,49,2007,No migration background,3rd Quintile,"Yes, every 3-4 weeks",0.0594,84,10657,0.04925,0.07088
50,50,2007,No migration background,3rd Quintile,"Yes, less frequently",0.16499,284,10657,0.14812,0.1818
51,51,2007,No migration background,4th Quintile,"No, never",0.59408,1407,10657,0.56684,0.62356
52,52,2007,No migration background,4th Quintile,"Yes, every week",0.05021,121,10657,0.04286,0.05679
53,53,2007,No migration background,4th Quintile,"Yes, every 2 weeks",0.09949,207,10657,0.08975,0.11487
54,54,2007,No migration background,4th Quintile,"Yes, every 3-4 weeks",0.04767,123,10657,0.04164,0.05462
55,55,2007,No migration background,4th Quintile,"Yes, less frequently",0.20855,464,10657,0.19248,0.22546
56,56,2007,No migration background,5th Quintile,"No, never",0.53277,1902,10657,0.51141,0.55868
57,57,2007,No migration background,5th Quintile,"Yes, every week",0.09667,320,10657,0.08524,0.1076
58,58,2007,No migration background,5th Quintile,"Yes, every 2 weeks",0.07105,239,10657,0.06225,0.07957
59,59,2007,No migration background,5th Quintile,"Yes, every 3-4 weeks",0.06454,213,10657,0.05527,0.07274
