year,migback,sampreg,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,West,"No, never",0.26714,4302,6933,0.25672,0.27755
2005,No migration background,West,"Yes, every week",0.02632,424,6933,0.02255,0.03009
2005,No migration background,West,"Yes, every 2 weeks",0.03623,528,6933,0.03184,0.04063
2005,No migration background,West,"Yes, every 3-4 weeks",0.02303,354,6933,0.01950,0.02656
2005,No migration background,West,"Yes, less frequently",0.08081,1325,6933,0.07439,0.08722
2005,No migration background,East,"No, never",0.20970,1380,2362,0.19328,0.22612
2005,No migration background,East,"Yes, every week",0.02053,132,2362,0.01481,0.02625
2005,No migration background,East,"Yes, every 2 weeks",0.04784,260,2362,0.03923,0.05645
2005,No migration background,East,"Yes, every 3-4 weeks",0.02316,133,2362,0.01709,0.02922
2005,No migration background,East,"Yes, less frequently",0.06925,457,2362,0.05901,0.07949
2005,Direct migration background,West,"No, never",0.32142,799,1131,0.29419,0.34865
2005,Direct migration background,West,"Yes, every week",0.02270,56,1131,0.01402,0.03139
2005,Direct migration background,West,"Yes, every 2 weeks",0.03841,86,1131,0.02721,0.04962
2005,Direct migration background,West,"Yes, every 3-4 weeks",0.02427,60,1131,0.01530,0.03325
2005,Direct migration background,West,"Yes, less frequently",0.05547,130,1131,0.04213,0.06882
2005,Indirect migration background,West,"No, never",0.16367,297,385,0.12667,0.20068
2005,Indirect migration background,West,"Yes, every 2 weeks",0.02263,37,385,0.00775,0.03750
2005,Indirect migration background,West,"Yes, less frequently",0.02913,51,385,0.01231,0.04595
2007,No migration background,West,"No, never",0.26969,4303,7090,0.25936,0.28002
2007,No migration background,West,"Yes, every week",0.03025,502,7090,0.02626,0.03424
2007,No migration background,West,"Yes, every 2 weeks",0.03755,543,7090,0.03313,0.04198
2007,No migration background,West,"Yes, every 3-4 weeks",0.02311,365,7090,0.01962,0.02661
2007,No migration background,West,"Yes, less frequently",0.08653,1377,7090,0.07999,0.09308
2007,No migration background,East,"No, never",0.22808,1408,2461,0.21150,0.24466
2007,No migration background,East,"Yes, every week",0.02647,152,2461,0.02012,0.03281
2007,No migration background,East,"Yes, every 2 weeks",0.05245,281,2461,0.04364,0.06126
2007,No migration background,East,"Yes, every 3-4 weeks",0.02530,137,2461,0.01909,0.03150
2007,No migration background,East,"Yes, less frequently",0.08001,483,2461,0.06929,0.09073
2007,Direct migration background,West,"No, never",0.32016,704,1029,0.29164,0.34868
2007,Direct migration background,West,"Yes, every week",0.01869,46,1029,0.01041,0.02697
2007,Direct migration background,West,"Yes, every 2 weeks",0.04062,86,1029,0.02855,0.05268
2007,Direct migration background,West,"Yes, every 3-4 weeks",0.02535,66,1029,0.01574,0.03496
2007,Direct migration background,West,"Yes, less frequently",0.05994,127,1029,0.04542,0.07445
2007,Indirect migration background,West,"No, never",0.20109,317,376,0.16052,0.24166
2007,Indirect migration background,West,"Yes, less frequently",0.03900,59,376,0.01941,0.05860
2009,No migration background,West,"No, never",0.26678,3749,6273,0.25583,0.27773
2009,No migration background,West,"Yes, every week",0.03187,432,6273,0.02752,0.03622
2009,No migration background,West,"Yes, every 2 weeks",0.03718,518,6273,0.03250,0.04187
2009,No migration background,West,"Yes, every 3-4 weeks",0.02342,329,6273,0.01968,0.02716
2009,No migration background,West,"Yes, less frequently",0.09361,1245,6273,0.08640,0.10082
2009,No migration background,East,"No, never",0.22538,1263,2243,0.20808,0.24267
2009,No migration background,East,"Yes, every week",0.03018,168,2243,0.02310,0.03726
2009,No migration background,East,"Yes, every 2 weeks",0.04361,221,2243,0.03516,0.05206
2009,No migration background,East,"Yes, every 3-4 weeks",0.03324,146,2243,0.02582,0.04066
2009,No migration background,East,"Yes, less frequently",0.08179,445,2243,0.07044,0.09313
2009,Direct migration background,West,"No, never",0.32800,549,829,0.29603,0.35998
2009,Direct migration background,West,"Yes, every week",0.03707,54,829,0.02420,0.04994
2009,Direct migration background,West,"Yes, every 2 weeks",0.04155,66,829,0.02796,0.05514
2009,Direct migration background,West,"Yes, every 3-4 weeks",0.03181,48,829,0.01986,0.04377
2009,Direct migration background,West,"Yes, less frequently",0.06346,112,829,0.04686,0.08007
2009,Indirect migration background,West,"No, never",0.21849,277,368,0.17621,0.26077
2009,Indirect migration background,West,"Yes, every 2 weeks",0.02371,36,368,0.00815,0.03928
2009,Indirect migration background,West,"Yes, less frequently",0.04770,55,368,0.02589,0.06950
2011,No migration background,West,"No, never",0.28037,6352,10500,0.27178,0.28896
2011,No migration background,West,"Yes, every week",0.03369,757,10500,0.03023,0.03714
2011,No migration background,West,"Yes, every 2 weeks",0.04048,958,10500,0.03671,0.04425
2011,No migration background,West,"Yes, every 3-4 weeks",0.02341,574,10500,0.02052,0.02630
2011,No migration background,West,"Yes, less frequently",0.08673,1859,10500,0.08135,0.09211
2011,No migration background,East,"No, never",0.25655,1914,3364,0.24179,0.27131
2011,No migration background,East,"Yes, every week",0.03178,238,3364,0.02585,0.03770
2011,No migration background,East,"Yes, every 2 weeks",0.05319,388,3364,0.04561,0.06078
2011,No migration background,East,"Yes, every 3-4 weeks",0.02786,236,3364,0.02230,0.03342
2011,No migration background,East,"Yes, less frequently",0.08698,588,3364,0.07746,0.09651
2011,Direct migration background,West,"No, never",0.35059,1160,1760,0.32829,0.37289
2011,Direct migration background,West,"Yes, every week",0.03732,134,1760,0.02846,0.04617
2011,Direct migration background,West,"Yes, every 2 weeks",0.05044,172,1760,0.04021,0.06067
2011,Direct migration background,West,"Yes, every 3-4 weeks",0.02370,84,1760,0.01659,0.03081
2011,Direct migration background,West,"Yes, less frequently",0.05558,210,1760,0.04487,0.06629
2011,Indirect migration background,West,"No, never",0.17517,427,714,0.14727,0.20307
2011,Indirect migration background,West,"Yes, every week",0.01717,50,714,0.00764,0.02671
2011,Indirect migration background,West,"Yes, every 2 weeks",0.03854,79,714,0.02441,0.05267
2011,Indirect migration background,West,"Yes, every 3-4 weeks",0.02563,53,714,0.01403,0.03723
2011,Indirect migration background,West,"Yes, less frequently",0.03644,105,714,0.02268,0.05019
2013,No migration background,West,"No, never",0.27791,5977,9753,0.26902,0.28680
2013,No migration background,West,"Yes, every week",0.02758,622,9753,0.02433,0.03083
2013,No migration background,West,"Yes, every 2 weeks",0.04146,867,9753,0.03751,0.04542
2013,No migration background,West,"Yes, every 3-4 weeks",0.02477,496,9753,0.02168,0.02785
2013,No migration background,West,"Yes, less frequently",0.09162,1791,9753,0.08589,0.09734
2013,No migration background,East,"No, never",0.25683,1810,3130,0.24152,0.27214
2013,No migration background,East,"Yes, every week",0.02704,202,3130,0.02136,0.03273
2013,No migration background,East,"Yes, every 2 weeks",0.05514,354,3130,0.04714,0.06313
2013,No migration background,East,"Yes, every 3-4 weeks",0.02809,182,3130,0.02230,0.03388
2013,No migration background,East,"Yes, less frequently",0.09592,582,3130,0.08560,0.10624
2013,Direct migration background,West,"No, never",0.19577,1022,1604,0.17634,0.21519
2013,Direct migration background,West,"Yes, every week",0.02357,113,1604,0.01615,0.03100
2013,Direct migration background,West,"Yes, every 2 weeks",0.03188,182,1604,0.02328,0.04048
2013,Direct migration background,West,"Yes, every 3-4 weeks",0.01488,83,1604,0.00895,0.02080
2013,Direct migration background,West,"Yes, less frequently",0.03693,204,1604,0.02770,0.04616
2013,Direct migration background,East,"No, never",0.05296,32,32,-0.02588,0.13179
2013,Indirect migration background,West,"No, never",0.12082,435,654,0.09582,0.14582
2013,Indirect migration background,West,"Yes, every week",0.01211,57,654,0.00372,0.02049
2013,Indirect migration background,West,"Yes, every 2 weeks",0.01818,75,654,0.00794,0.02843
2013,Indirect migration background,West,"Yes, less frequently",0.02492,87,654,0.01296,0.03688
2015,No migration background,West,"No, never",0.28608,5154,8548,0.27650,0.29566
2015,No migration background,West,"Yes, every week",0.02960,560,8548,0.02600,0.03319
2015,No migration background,West,"Yes, every 2 weeks",0.04368,774,8548,0.03935,0.04801
2015,No migration background,West,"Yes, every 3-4 weeks",0.02604,435,8548,0.02266,0.02941
2015,No migration background,West,"Yes, less frequently",0.09581,1625,8548,0.08957,0.10205
2015,No migration background,East,"No, never",0.27170,1585,2680,0.25485,0.28854
2015,No migration background,East,"Yes, every week",0.02642,171,2680,0.02035,0.03250
2015,No migration background,East,"Yes, every 2 weeks",0.05425,304,2680,0.04567,0.06283
2015,No migration background,East,"Yes, every 3-4 weeks",0.03125,170,2680,0.02466,0.03783
2015,No migration background,East,"Yes, less frequently",0.07935,450,2680,0.06912,0.08959
2015,Direct migration background,West,"No, never",0.30925,1723,2677,0.29174,0.32676
2015,Direct migration background,West,"Yes, every week",0.04181,202,2677,0.03422,0.04939
2015,Direct migration background,West,"Yes, every 2 weeks",0.05660,292,2677,0.04784,0.06535
2015,Direct migration background,West,"Yes, every 3-4 weeks",0.03315,143,2677,0.02636,0.03993
2015,Direct migration background,West,"Yes, less frequently",0.06429,317,2677,0.05500,0.07358
2015,Direct migration background,East,"No, never",0.15816,91,91,0.08277,0.23355
2015,Indirect migration background,West,"No, never",0.20063,605,946,0.17510,0.22616
2015,Indirect migration background,West,"Yes, every week",0.02312,65,946,0.01354,0.03271
2015,Indirect migration background,West,"Yes, every 2 weeks",0.04234,108,946,0.02950,0.05518
2015,Indirect migration background,West,"Yes, every 3-4 weeks",0.01483,41,946,0.00713,0.02254
2015,Indirect migration background,West,"Yes, less frequently",0.04658,127,946,0.03314,0.06001
2017,No migration background,West,"No, never",0.30702,5843,9420,0.29770,0.31633
2017,No migration background,West,"Yes, every week",0.03044,652,9420,0.02697,0.03390
2017,No migration background,West,"Yes, every 2 weeks",0.04523,854,9420,0.04104,0.04943
2017,No migration background,West,"Yes, every 3-4 weeks",0.02885,619,9420,0.02547,0.03223
2017,No migration background,West,"Yes, less frequently",0.08437,1452,9420,0.07875,0.08998
2017,No migration background,East,"No, never",0.29439,1844,2963,0.27798,0.31080
2017,No migration background,East,"Yes, every week",0.02998,184,2963,0.02384,0.03612
2017,No migration background,East,"Yes, every 2 weeks",0.04923,308,2963,0.04144,0.05702
2017,No migration background,East,"Yes, every 3-4 weeks",0.02890,200,2963,0.02287,0.03493
2017,No migration background,East,"Yes, less frequently",0.07374,427,2963,0.06433,0.08315
2017,Direct migration background,West,"No, never",0.35543,1926,2841,0.33782,0.37303
2017,Direct migration background,West,"Yes, every week",0.04222,187,2841,0.03483,0.04962
2017,Direct migration background,West,"Yes, every 2 weeks",0.05356,305,2841,0.04527,0.06184
2017,Direct migration background,West,"Yes, every 3-4 weeks",0.03270,136,2841,0.02616,0.03925
