year,migback,sex,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,male,"No, never",0.54847,2698,4925,0.53457,0.56237
2005,No migration background,male,"Yes, every week",0.06197,323,4925,0.05523,0.06870
2005,No migration background,male,"Yes, every 2 weeks",0.08376,388,4925,0.07602,0.09150
2005,No migration background,male,"Yes, every 3-4 weeks",0.06401,302,4925,0.05718,0.07085
2005,No migration background,male,"Yes, less frequently",0.24179,1214,4925,0.22983,0.25375
2005,No migration background,female,"No, never",0.68010,2984,4370,0.66627,0.69393
2005,No migration background,female,"Yes, every week",0.05688,233,4370,0.05001,0.06375
2005,No migration background,female,"Yes, every 2 weeks",0.10266,400,4370,0.09366,0.11166
2005,No migration background,female,"Yes, every 3-4 weeks",0.04340,185,4370,0.03736,0.04944
2005,No migration background,female,"Yes, less frequently",0.11696,568,4370,0.10743,0.12649
2005,Direct migration background,male,"No, never",0.68449,426,594,0.64709,0.72190
2005,Direct migration background,male,"Yes, every week",0.06636,42,594,0.04633,0.08639
2005,Direct migration background,male,"Yes, every 3-4 weeks",0.06388,35,594,0.04420,0.08356
2005,Direct migration background,male,"Yes, less frequently",0.15391,91,594,0.12487,0.18296
2005,Direct migration background,female,"No, never",0.70401,386,495,0.66375,0.74426
2005,Direct migration background,female,"Yes, every 2 weeks",0.13959,64,495,0.10903,0.17015
2005,Direct migration background,female,"Yes, less frequently",0.08776,45,495,0.06281,0.11271
2005,Indirect migration background,male,"No, never",0.61858,154,192,0.54970,0.68747
2005,Indirect migration background,male,"Yes, less frequently",0.16863,38,192,0.11553,0.22173
2005,Indirect migration background,female,"No, never",0.69579,154,154,0.62288,0.76869
2007,No migration background,male,"No, never",0.54680,2736,5021,0.53303,0.56058
2007,No migration background,male,"Yes, every week",0.06922,375,5021,0.06220,0.07624
2007,No migration background,male,"Yes, every 2 weeks",0.08760,413,5021,0.07978,0.09542
2007,No migration background,male,"Yes, every 3-4 weeks",0.06399,307,5021,0.05722,0.07076
2007,No migration background,male,"Yes, less frequently",0.23239,1190,5021,0.22070,0.24407
2007,No migration background,female,"No, never",0.65024,2975,4530,0.63635,0.66413
2007,No migration background,female,"Yes, every week",0.06417,279,4530,0.05703,0.07130
2007,No migration background,female,"Yes, every 2 weeks",0.09896,411,4530,0.09026,0.10765
2007,No migration background,female,"Yes, every 3-4 weeks",0.04085,195,4530,0.03509,0.04662
2007,No migration background,female,"Yes, less frequently",0.14579,670,4530,0.13551,0.15606
2007,Direct migration background,male,"No, never",0.69097,380,566,0.65287,0.72907
2007,Direct migration background,male,"Yes, every week",0.04911,35,566,0.03129,0.06693
2007,Direct migration background,male,"Yes, every 2 weeks",0.05839,35,566,0.03905,0.07772
2007,Direct migration background,male,"Yes, every 3-4 weeks",0.06144,41,566,0.04164,0.08124
2007,Direct migration background,male,"Yes, less frequently",0.14009,75,566,0.11147,0.16871
2007,Direct migration background,female,"No, never",0.69405,341,446,0.65123,0.73686
2007,Direct migration background,female,"Yes, every 2 weeks",0.12064,52,446,0.09038,0.15090
2007,Direct migration background,female,"Yes, less frequently",0.11183,53,446,0.08254,0.14111
2007,Indirect migration background,male,"No, never",0.65654,171,208,0.59184,0.72123
2007,Indirect migration background,male,"Yes, less frequently",0.16043,37,208,0.11043,0.21042
2007,Indirect migration background,female,"No, never",0.75139,165,165,0.68524,0.81754
2009,No migration background,male,"No, never",0.53399,2389,4411,0.51927,0.54871
2009,No migration background,male,"Yes, every week",0.07636,323,4411,0.06852,0.08419
2009,No migration background,male,"Yes, every 2 weeks",0.08738,362,4411,0.07904,0.09571
2009,No migration background,male,"Yes, every 3-4 weeks",0.05979,271,4411,0.05279,0.06679
