year,age_gr,sex,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,male,"No, never",0.35934,637,954,0.32887,0.38980
2005,17-29 y.,male,"Yes, every week",0.03084,52,954,0.01987,0.04182
2005,17-29 y.,male,"Yes, every 2 weeks",0.03756,67,954,0.02549,0.04964
2005,17-29 y.,male,"Yes, every 3-4 weeks",0.02858,56,954,0.01800,0.03916
2005,17-29 y.,male,"Yes, less frequently",0.08559,142,954,0.06783,0.10335
2005,17-29 y.,female,"No, never",0.33832,688,979,0.30867,0.36798
2005,17-29 y.,female,"Yes, every week",0.02019,43,979,0.01138,0.02901
2005,17-29 y.,female,"Yes, every 2 weeks",0.06328,112,979,0.04802,0.07854
2005,17-29 y.,female,"Yes, every 3-4 weeks",0.03350,48,979,0.02222,0.04478
2005,17-29 y.,female,"Yes, less frequently",0.04054,88,979,0.02818,0.05290
2005,30-45 y.,male,"No, never",0.43723,1339,2468,0.41765,0.45680
2005,30-45 y.,male,"Yes, every week",0.04964,146,2468,0.04107,0.05821
2005,30-45 y.,male,"Yes, every 2 weeks",0.06814,198,2468,0.05820,0.07809
2005,30-45 y.,male,"Yes, every 3-4 weeks",0.05908,165,2468,0.04977,0.06838
2005,30-45 y.,male,"Yes, less frequently",0.20790,620,2468,0.19189,0.22392
2005,30-45 y.,female,"No, never",0.43778,1464,2164,0.41687,0.45869
2005,30-45 y.,female,"Yes, every week",0.03333,93,2164,0.02576,0.04089
2005,30-45 y.,female,"Yes, every 2 weeks",0.07517,214,2164,0.06406,0.08629
2005,30-45 y.,female,"Yes, every 3-4 weeks",0.02609,97,2164,0.01937,0.03281
2005,30-45 y.,female,"Yes, less frequently",0.08458,296,2164,0.07285,0.09630
2005,46-65 y.,male,"No, never",0.34731,1242,2276,0.32775,0.36688
2005,46-65 y.,male,"Yes, every week",0.04229,181,2276,0.03402,0.05056
2005,46-65 y.,male,"Yes, every 2 weeks",0.04571,159,2276,0.03713,0.05429
2005,46-65 y.,male,"Yes, every 3-4 weeks",0.03863,129,2276,0.03071,0.04655
2005,46-65 y.,male,"Yes, less frequently",0.14681,565,2276,0.13226,0.16135
2005,46-65 y.,female,"No, never",0.34829,1339,1928,0.32702,0.36956
2005,46-65 y.,female,"Yes, every week",0.02671,112,1928,0.01951,0.03390
2005,46-65 y.,female,"Yes, every 2 weeks",0.04700,159,1928,0.03755,0.05645
2005,46-65 y.,female,"Yes, every 3-4 weeks",0.01956,75,1928,0.01338,0.02574
2005,46-65 y.,female,"Yes, less frequently",0.05318,243,1928,0.04316,0.06320
2005,66 and older,male,"No, never",0.02805,60,60,-0.01408,0.07018
2005,66 and older,female,"No, never",0.01567,33,33,-0.02736,0.05870
2007,17-29 y.,male,"No, never",0.36158,653,960,0.33117,0.39199
2007,17-29 y.,male,"Yes, every week",0.03547,58,960,0.02376,0.04717
2007,17-29 y.,male,"Yes, every 2 weeks",0.05723,78,960,0.04252,0.07193
2007,17-29 y.,male,"Yes, every 3-4 weeks",0.02624,46,960,0.01612,0.03636
2007,17-29 y.,male,"Yes, less frequently",0.06840,125,960,0.05242,0.08437
2007,17-29 y.,female,"No, never",0.33670,626,921,0.30616,0.36724
2007,17-29 y.,female,"Yes, every week",0.01958,42,921,0.01063,0.02853
2007,17-29 y.,female,"Yes, every 2 weeks",0.06155,101,921,0.04602,0.07708
2007,17-29 y.,female,"Yes, every 3-4 weeks",0.01611,34,921,0.00798,0.02425
2007,17-29 y.,female,"Yes, less frequently",0.06909,118,921,0.05271,0.08548
2007,30-45 y.,male,"No, never",0.45742,1283,2390,0.43744,0.47739
2007,30-45 y.,male,"Yes, every week",0.05068,153,2390,0.04189,0.05948
2007,30-45 y.,male,"Yes, every 2 weeks",0.07556,213,2390,0.06496,0.08616
2007,30-45 y.,male,"Yes, every 3-4 weeks",0.06056,166,2390,0.05099,0.07012
2007,30-45 y.,male,"Yes, less frequently",0.20724,575,2390,0.19099,0.22350
2007,30-45 y.,female,"No, never",0.45861,1443,2161,0.43759,0.47962
2007,30-45 y.,female,"Yes, every week",0.03989,115,2161,0.03164,0.04815
2007,30-45 y.,female,"Yes, every 2 weeks",0.06861,199,2161,0.05795,0.07927
