year,quintil_oecd,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,"No, never",0.64216,636,985,0.61221,0.67211
2005,1st Quintile,"Yes, every week",0.07248,65,985,0.05628,0.08868
2005,1st Quintile,"Yes, every 2 weeks",0.09926,98,985,0.08058,0.11794
2005,1st Quintile,"Yes, every 3-4 weeks",0.06106,54,985,0.04610,0.07602
2005,1st Quintile,"Yes, less frequently",0.12504,132,985,0.10437,0.14570
2005,2nd Quintile,"No, never",0.63325,988,1518,0.60900,0.65750
2005,2nd Quintile,"Yes, every week",0.05287,84,1518,0.04161,0.06413
2005,2nd Quintile,"Yes, every 2 weeks",0.10612,154,1518,0.09062,0.12162
2005,2nd Quintile,"Yes, every 3-4 weeks",0.05788,67,1518,0.04613,0.06963
2005,2nd Quintile,"Yes, less frequently",0.14988,225,1518,0.13192,0.16784
2005,3rd Quintile,"No, never",0.66345,1261,1922,0.64232,0.68458
2005,3rd Quintile,"Yes, every week",0.03175,73,1922,0.02391,0.03959
2005,3rd Quintile,"Yes, every 2 weeks",0.10478,188,1922,0.09108,0.11848
2005,3rd Quintile,"Yes, every 3-4 weeks",0.03927,84,1922,0.03058,0.04796
2005,3rd Quintile,"Yes, less frequently",0.16075,316,1922,0.14433,0.17718
2005,4th Quintile,"No, never",0.62026,1651,2589,0.60156,0.63896
2005,4th Quintile,"Yes, every week",0.05985,138,2589,0.05071,0.06898
2005,4th Quintile,"Yes, every 2 weeks",0.08978,205,2589,0.07876,0.10079
2005,4th Quintile,"Yes, every 3-4 weeks",0.05362,135,2589,0.04494,0.06230
2005,4th Quintile,"Yes, less frequently",0.17650,460,2589,0.16181,0.19118
2005,5th Quintile,"No, never",0.57107,2266,3884,0.55551,0.58664
2005,5th Quintile,"Yes, every week",0.07349,281,3884,0.06528,0.08170
2005,5th Quintile,"Yes, every 2 weeks",0.07052,269,3884,0.06247,0.07857
2005,5th Quintile,"Yes, every 3-4 weeks",0.06447,230,3884,0.05675,0.07220
