year,regtyp,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,"No, never",0.26498,4700,7411,0.25494,0.27503
2005,Urban regions,"Yes, every week",0.02242,416,7411,0.01905,0.02579
2005,Urban regions,"Yes, every 2 weeks",0.03771,600,7411,0.03337,0.04205
2005,Urban regions,"Yes, every 3-4 weeks",0.02252,370,7411,0.01914,0.02590
2005,Urban regions,"Yes, less frequently",0.07361,1325,7411,0.06767,0.07956
2005,Rural regions,"No, never",0.23421,2102,3487,0.22015,0.24827
2005,Rural regions,"Yes, every week",0.02774,225,3487,0.02229,0.03319
2005,Rural regions,"Yes, every 2 weeks",0.03703,314,3487,0.03076,0.04330
2005,Rural regions,"Yes, every 3-4 weeks",0.02345,200,3487,0.01843,0.02847
2005,Rural regions,"Yes, less frequently",0.06965,646,3487,0.06120,0.07810
2007,Urban regions,"No, never",0.26828,4583,7378,0.25817,0.27839
2007,Urban regions,"Yes, every week",0.02599,468,7378,0.02236,0.02962
2007,Urban regions,"Yes, every 2 weeks",0.03638,581,7378,0.03211,0.04065
2007,Urban regions,"Yes, every 3-4 weeks",0.02245,383,7378,0.01907,0.02583
2007,Urban regions,"Yes, less frequently",0.07874,1363,7378,0.07259,0.08488
2007,Rural regions,"No, never",0.24950,2185,3698,0.23555,0.26345
2007,Rural regions,"Yes, every week",0.02886,257,3698,0.02346,0.03426
2007,Rural regions,"Yes, every 2 weeks",0.04331,359,3698,0.03674,0.04987
2007,Rural regions,"Yes, every 3-4 weeks",0.02509,210,3698,0.02005,0.03013
2007,Rural regions,"Yes, less frequently",0.07889,687,3698,0.07020,0.08758
2009,Urban regions,"No, never",0.26659,3899,6460,0.25581,0.27738
2009,Urban regions,"Yes, every week",0.03183,448,6460,0.02755,0.03611
2009,Urban regions,"Yes, every 2 weeks",0.03603,527,6460,0.03148,0.04057
2009,Urban regions,"Yes, every 3-4 weeks",0.02609,348,6460,0.02220,0.02997
2009,Urban regions,"Yes, less frequently",0.08591,1238,6460,0.07907,0.09274
2009,Rural regions,"No, never",0.25145,1969,3351,0.23676,0.26614
2009,Rural regions,"Yes, every week",0.02964,239,3351,0.02390,0.03539
2009,Rural regions,"Yes, every 2 weeks",0.04161,318,3351,0.03485,0.04838
2009,Rural regions,"Yes, every 3-4 weeks",0.02686,201,3351,0.02139,0.03234
2009,Rural regions,"Yes, less frequently",0.08212,624,3351,0.07282,0.09142
2011,Urban regions,"No, never",0.27739,6397,10541,0.26885,0.28594
2011,Urban regions,"Yes, every week",0.03444,790,10541,0.03096,0.03792
2011,Urban regions,"Yes, every 2 weeks",0.04160,971,10541,0.03778,0.04541
