year,pgisced97,quintil_oecd,plb0219_v1,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2005,Pre-primary Level,1st Quintile,"No, never",0.75,25520,0.7446872867920342,0.7553127132079658
2005,Pre-primary Level,1st Quintile,"Yes, less frequently",0.25,25520,0.24468728679203422,0.2553127132079658
2005,Pre-primary Level,2nd Quintile,"No, never",0.6666666666666666,25520,0.6608829171069951,0.6724504162263382
2005,Pre-primary Level,2nd Quintile,"Yes, every week",0.2222222222222222,25520,0.21712143456209884,0.22732300988234558
2005,Pre-primary Level,2nd Quintile,"Yes, every 2 weeks",0.1111111111111111,25520,0.1072552780713301,0.1149669441508921
2005,Pre-primary Level,3rd Quintile,"No, never",0.8333333333333334,25520,0.8287608778271939,0.8379057888394729
2005,Pre-primary Level,3rd Quintile,"Yes, every week",0.16666666666666666,25520,0.1620942111605272,0.17123912217280612
2005,Pre-primary Level,4th Quintile,"No, never",0.5,25520,0.49386540719850736,0.5061345928014926
2005,Pre-primary Level,4th Quintile,"Yes, every week",0.16666666666666666,25520,0.1620942111605272,0.17123912217280612
2005,Pre-primary Level,4th Quintile,"Yes, every 2 weeks",0.16666666666666666,25520,0.1620942111605272,0.17123912217280612
2005,Pre-primary Level,4th Quintile,"Yes, less frequently",0.08333333333333333,25520,0.07994230957263895,0.0867243570940277
2005,Pre-primary Level,4th Quintile,"Yes, every 3-4 weeks",0.08333333333333333,25520,0.07994230957263895,0.0867243570940277
2005,Pre-primary Level,5th Quintile,"No, never",0.47058823529411764,25520,0.46446426517211253,0.47671220541612275
2005,Pre-primary Level,5th Quintile,"Yes, less frequently",0.17647058823529413,25520,0.17179332879567139,0.18114784767491687
2005,Pre-primary Level,5th Quintile,"Yes, every week",0.17647058823529413,25520,0.17179332879567139,0.18114784767491687
2005,Pre-primary Level,5th Quintile,"Yes, every 3-4 weeks",0.11764705882352941,25520,0.11369405310766313,0.12160006453939569
2005,Pre-primary Level,5th Quintile,"Yes, every 2 weeks",0.058823529411764705,25520,0.055936662211062284,0.061710396612467126
2005,Primary Level,1st Quintile,"No, never",0.8,25520,0.795092325758806,0.8049076742411941
2005,Primary Level,1st Quintile,"Yes, every week",0.08,25520,0.07667145338465375,0.08332854661534625
2005,Primary Level,1st Quintile,"Yes, every 3-4 weeks",0.04,25520,0.03759574045705476,0.042404259542945244
2005,Primary Level,1st Quintile,"Yes, less frequently",0.04,25520,0.03759574045705476,0.042404259542945244
2005,Primary Level,1st Quintile,"Yes, every 2 weeks",0.04,25520,0.03759574045705476,0.042404259542945244
2005,Primary Level,2nd Quintile,"No, never",0.7857142857142857,25520,0.7806799210486892,0.7907486503798822
2005,Primary Level,2nd Quintile,"Yes, every 2 weeks",0.14285714285714285,25520,0.13856382224474062,0.14715046346954508
