,Unnamed: 0,year,bula_h,regtyp,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,Schleswig-Holstein,Urban regions,"No, never",0.66677,84,9936,0.54154,0.77728
1,1,2005,Schleswig-Holstein,Urban regions,"Yes, less frequently",0.33323,38,9936,0.26591,0.39958
2,2,2005,Schleswig-Holstein,Rural regions,"No, never",0.70361,109,9936,0.61465,0.79696
3,3,2005,Schleswig-Holstein,Rural regions,"Yes, less frequently",0.29639,50,9936,0.23285,0.36841
4,4,2005,Hamburg,Urban regions,"No, never",1.0,104,9936,0.82751,1.16358
5,5,2005,Lower Saxony,Urban regions,"No, never",0.60932,262,9936,0.55159,0.67411
6,6,2005,Lower Saxony,Urban regions,"Yes, every week",0.0615,32,9936,0.04677,0.08671
7,7,2005,Lower Saxony,Urban regions,"Yes, every 2 weeks",0.09737,44,9936,0.07204,0.11972
8,8,2005,Lower Saxony,Urban regions,"Yes, less frequently",0.23181,96,9936,0.19212,0.27103
9,9,2005,Lower Saxony,Rural regions,"No, never",0.61097,288,9936,0.55154,0.68271
10,10,2005,Lower Saxony,Rural regions,"Yes, every week",0.10632,45,9936,0.08326,0.13263
11,11,2005,Lower Saxony,Rural regions,"Yes, every 2 weeks",0.07107,36,9936,0.05188,0.09751
12,12,2005,Lower Saxony,Rural regions,"Yes, less frequently",0.21164,90,9936,0.16726,0.26457
13,13,2005,Bremen,Urban regions,"No, never",1.0,34,9936,0.71098,1.30251
14,14,2005,North Rhine-Westphalia,Urban regions,"No, never",0.64758,1462,9936,0.62052,0.67699
15,15,2005,North Rhine-Westphalia,Urban regions,"Yes, every week",0.0471,113,9936,0.04078,0.05583
16,16,2005,North Rhine-Westphalia,Urban regions,"Yes, every 2 weeks",0.08508,194,9936,0.07675,0.09418
17,17,2005,North Rhine-Westphalia,Urban regions,"Yes, every 3-4 weeks",0.06211,124,9936,0.05183,0.07319
18,18,2005,North Rhine-Westphalia,Urban regions,"Yes, less frequently",0.15813,386,9936,0.14359,0.17262
19,19,2005,Hesse,Urban regions,"No, never",0.59117,390,9936,0.53723,0.63842
20,20,2005,Hesse,Urban regions,"Yes, every week",0.0763,49,9936,0.05904,0.09652
21,21,2005,Hesse,Urban regions,"Yes, every 2 weeks",0.07275,50,9936,0.05646,0.09022
22,22,2005,Hesse,Urban regions,"Yes, every 3-4 weeks",0.06286,35,9936,0.04685,0.08352
23,23,2005,Hesse,Urban regions,"Yes, less frequently",0.19692,134,9936,0.16288,0.23036
24,24,2005,Hesse,Rural regions,"No, never",1.0,88,9936,0.82884,1.17043
25,25,2005,"Rhineland-Palatinate, Saarland",Urban regions,"No, never",0.72299,310,9936,0.6552,0.7884
26,26,2005,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every 2 weeks",0.09861,38,9936,0.07017,0.13703
27,27,2005,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, less frequently",0.1784,86,9936,0.14384,0.2251
28,28,2005,"Rhineland-Palatinate, Saarland",Rural regions,"No, never",1.0,100,9936,0.83774,1.14696
29,29,2005,Baden-Wuerttemberg,Urban regions,"No, never",0.67897,876,9936,0.63575,0.72248
30,30,2005,Baden-Wuerttemberg,Urban regions,"Yes, every week",0.0408,64,9936,0.02961,0.05129
31,31,2005,Baden-Wuerttemberg,Urban regions,"Yes, every 2 weeks",0.09709,82,9936,0.07806,0.11218
32,32,2005,Baden-Wuerttemberg,Urban regions,"Yes, every 3-4 weeks",0.04549,54,9936,0.03559,0.05479
33,33,2005,Baden-Wuerttemberg,Urban regions,"Yes, less frequently",0.13766,180,9936,0.12239,0.15305
34,34,2005,Baden-Wuerttemberg,Rural regions,"No, never",1.0,71,9936,0.80034,1.22209
35,35,2005,Bavaria,Urban regions,"No, never",0.65845,558,9936,0.61072,0.70241
36,36,2005,Bavaria,Urban regions,"Yes, every week",0.06037,46,9936,0.04556,0.07681
37,37,2005,Bavaria,Urban regions,"Yes, every 2 weeks",0.0761,58,9936,0.06049,0.09219
38,38,2005,Bavaria,Urban regions,"Yes, every 3-4 weeks",0.04636,36,9936,0.03386,0.06537
39,39,2005,Bavaria,Urban regions,"Yes, less frequently",0.15872,125,9936,0.13646,0.18425
40,40,2005,Bavaria,Rural regions,"No, never",0.63079,514,9936,0.59135,0.67463
41,41,2005,Bavaria,Rural regions,"Yes, every week",0.06739,52,9936,0.05099,0.0838
42,42,2005,Bavaria,Rural regions,"Yes, every 2 weeks",0.06768,54,9936,0.05246,0.09089
43,43,2005,Bavaria,Rural regions,"Yes, every 3-4 weeks",0.05955,45,9936,0.04576,0.07355
44,44,2005,Bavaria,Rural regions,"Yes, less frequently",0.17459,157,9936,0.14702,0.2024
45,45,2005,Berlin,Urban regions,"No, never",0.60236,207,9936,0.52821,0.66916
46,46,2005,Berlin,Urban regions,"Yes, every 2 weeks",0.1398,43,9936,0.10859,0.17238
47,47,2005,Berlin,Urban regions,"Yes, less frequently",0.25784,86,9936,0.21945,0.29634
48,48,2005,Brandenburg,Rural regions,"No, never",0.65818,216,9936,0.59002,0.73277
49,49,2005,Brandenburg,Rural regions,"Yes, every 2 weeks",0.14502,41,9936,0.11869,0.17713
50,50,2005,Brandenburg,Rural regions,"Yes, less frequently",0.1968,63,9936,0.15153,0.24508
51,51,2005,Mecklenburg-Western Pomerania,Rural regions,"No, never",0.81229,119,9936,0.68372,0.92606
52,52,2005,Mecklenburg-Western Pomerania,Rural regions,"Yes, less frequently",0.18771,38,9936,0.13232,0.25037
53,53,2005,Saxony,Urban regions,"No, never",0.71885,224,9936,0.65394,0.80704
54,54,2005,Saxony,Urban regions,"Yes, less frequently",0.28115,84,9936,0.21474,0.35902
55,55,2005,Saxony,Rural regions,"No, never",0.63237,213,9936,0.56829,0.69383
56,56,2005,Saxony,Rural regions,"Yes, every 2 weeks",0.12892,34,9936,0.09391,0.17666
57,57,2005,Saxony,Rural regions,"Yes, less frequently",0.23871,77,9936,0.19461,0.28482
58,58,2005,Saxony-Anhalt,Urban regions,"No, never",1.0,54,9936,0.83533,1.17125
59,59,2005,Saxony-Anhalt,Rural regions,"No, never",0.60899,191,9936,0.54213,0.69824
60,60,2005,Saxony-Anhalt,Rural regions,"Yes, every 2 weeks",0.17705,50,9936,0.11895,0.22904
61,61,2005,Saxony-Anhalt,Rural regions,"Yes, less frequently",0.21396,58,9936,0.16285,0.27267
62,62,2005,Thuringa,Urban regions,"No, never",1.0,76,9936,0.76723,1.25153
63,63,2005,Thuringa,Rural regions,"No, never",0.82184,172,9936,0.7323,0.94022
64,64,2005,Thuringa,Rural regions,"Yes, less frequently",0.17816,47,9936,0.1339,0.22109
65,65,2007,Schleswig-Holstein,Urban regions,"No, never",0.72154,83,10306,0.56672,0.82344
66,66,2007,Schleswig-Holstein,Urban regions,"Yes, less frequently",0.27846,31,10306,0.20677,0.36397
67,67,2007,Schleswig-Holstein,Rural regions,"No, never",1.0,113,10306,0.86288,1.10526
68,68,2007,Hamburg,Urban regions,"No, never",0.71788,99,10306,0.59958,0.84496
69,69,2007,Hamburg,Urban regions,"Yes, less frequently",0.28212,37,10306,0.20537,0.36861
70,70,2007,Lower Saxony,Urban regions,"No, never",0.59463,268,10306,0.54174,0.66493
71,71,2007,Lower Saxony,Urban regions,"Yes, every week",0.09906,41,10306,0.0712,0.12676
72,72,2007,Lower Saxony,Urban regions,"Yes, every 2 weeks",0.09384,38,10306,0.0702,0.12105
73,73,2007,Lower Saxony,Urban regions,"Yes, less frequently",0.21247,93,10306,0.18031,0.24751
74,74,2007,Lower Saxony,Rural regions,"No, never",0.59811,303,10306,0.55253,0.65856
75,75,2007,Lower Saxony,Rural regions,"Yes, every week",0.08556,48,10306,0.06942,0.10228
76,76,2007,Lower Saxony,Rural regions,"Yes, every 2 weeks",0.07856,40,10306,0.06204,0.09745
77,77,2007,Lower Saxony,Rural regions,"Yes, every 3-4 weeks",0.05955,34,10306,0.04086,0.0824
78,78,2007,Lower Saxony,Rural regions,"Yes, less frequently",0.17822,102,10306,0.15063,0.21391
79,79,2007,Bremen,Urban regions,"No, never",1.0,45,10306,0.76226,1.23633
80,80,2007,North Rhine-Westphalia,Urban regions,"No, never",0.61934,1383,10306,0.58969,0.6456
81,81,2007,North Rhine-Westphalia,Urban regions,"Yes, every week",0.05315,134,10306,0.04479,0.06205
82,82,2007,North Rhine-Westphalia,Urban regions,"Yes, every 2 weeks",0.1029,202,10306,0.08989,0.1178
83,83,2007,North Rhine-Westphalia,Urban regions,"Yes, every 3-4 weeks",0.04694,101,10306,0.03835,0.05791
84,84,2007,North Rhine-Westphalia,Urban regions,"Yes, less frequently",0.17768,403,10306,0.16097,0.19424
85,85,2007,North Rhine-Westphalia,Rural regions,"No, never",1.0,37,10306,0.77136,1.17925
86,86,2007,Hesse,Urban regions,"No, never",0.5807,378,10306,0.52896,0.63296
87,87,2007,Hesse,Urban regions,"Yes, every week",0.07955,54,10306,0.0611,0.10125
88,88,2007,Hesse,Urban regions,"Yes, every 2 weeks",0.07187,50,10306,0.05394,0.0922
89,89,2007,Hesse,Urban regions,"Yes, every 3-4 weeks",0.0515,38,10306,0.03628,0.06554
90,90,2007,Hesse,Urban regions,"Yes, less frequently",0.21638,144,10306,0.18143,0.24802
91,91,2007,Hesse,Rural regions,"No, never",1.0,77,10306,0.81017,1.16023
92,92,2007,"Rhineland-Palatinate, Saarland",Urban regions,"No, never",0.7092,315,10306,0.64945,0.78308
93,93,2007,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every week",0.06968,36,10306,0.05678,0.08364
94,94,2007,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, every 2 weeks",0.07911,38,10306,0.06283,0.09578
95,95,2007,"Rhineland-Palatinate, Saarland",Urban regions,"Yes, less frequently",0.14201,71,10306,0.11605,0.17045
96,96,2007,"Rhineland-Palatinate, Saarland",Rural regions,"No, never",0.67722,88,10306,0.55293,0.8334
97,97,2007,"Rhineland-Palatinate, Saarland",Rural regions,"Yes, less frequently",0.32278,33,10306,0.24385,0.39899
98,98,2007,Baden-Wuerttemberg,Urban regions,"No, never",0.67343,860,10306,0.63208,0.71943
99,99,2007,Baden-Wuerttemberg,Urban regions,"Yes, every week",0.03933,61,10306,0.03078,0.04821
100,100,2007,Baden-Wuerttemberg,Urban regions,"Yes, every 2 weeks",0.07328,64,10306,0.05763,0.08876
101,101,2007,Baden-Wuerttemberg,Urban regions,"Yes, every 3-4 weeks",0.0584,76,10306,0.04763,0.0721
102,102,2007,Baden-Wuerttemberg,Urban regions,"Yes, less frequently",0.15556,192,10306,0.13728,0.17777
103,103,2007,Baden-Wuerttemberg,Rural regions,"No, never",1.0,80,10306,0.84408,1.15711
104,104,2007,Bavaria,Urban regions,"No, never",0.64138,508,10306,0.59656,0.68688
105,105,2007,Bavaria,Urban regions,"Yes, every week",0.07618,56,10306,0.06165,0.09066
106,106,2007,Bavaria,Urban regions,"Yes, every 2 weeks",0.06258,50,10306,0.0469,0.07695
107,107,2007,Bavaria,Urban regions,"Yes, every 3-4 weeks",0.05261,43,10306,0.03946,0.06528
