year,quintil_oecd,sampreg,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,West,"No, never",0.65761,453,694,0.62228,0.69294
2005,1st Quintile,West,"Yes, every week",0.07379,48,694,0.05432,0.09325
2005,1st Quintile,West,"Yes, every 2 weeks",0.08477,62,694,0.06403,0.10551
2005,1st Quintile,West,"Yes, every 3-4 weeks",0.05991,41,694,0.04224,0.07758
2005,1st Quintile,West,"Yes, less frequently",0.12392,90,694,0.09939,0.14845
2005,1st Quintile,East,"No, never",0.58515,183,261,0.52527,0.64504
2005,1st Quintile,East,"Yes, every 2 weeks",0.15270,36,261,0.10898,0.19642
2005,1st Quintile,East,"Yes, less frequently",0.12915,42,261,0.08838,0.16991
2005,2nd Quintile,West,"No, never",0.64545,711,1048,0.61648,0.67443
2005,2nd Quintile,West,"Yes, every week",0.05064,56,1048,0.03736,0.06392
2005,2nd Quintile,West,"Yes, every 2 weeks",0.10337,102,1048,0.08493,0.12181
2005,2nd Quintile,West,"Yes, every 3-4 weeks",0.06072,43,1048,0.04625,0.07519
2005,2nd Quintile,West,"Yes, less frequently",0.13982,136,1048,0.11881,0.16082
2005,2nd Quintile,East,"No, never",0.59219,277,418,0.54503,0.63936
2005,2nd Quintile,East,"Yes, every 2 weeks",0.11537,52,418,0.08471,0.14603
2005,2nd Quintile,East,"Yes, less frequently",0.18374,89,418,0.14657,0.22091
2005,3rd Quintile,West,"No, never",0.67923,957,1419,0.65494,0.70353
2005,3rd Quintile,West,"Yes, every week",0.03080,52,1419,0.02181,0.03980
2005,3rd Quintile,West,"Yes, every 2 weeks",0.09777,127,1419,0.08231,0.11323
2005,3rd Quintile,West,"Yes, every 3-4 weeks",0.03799,60,1419,0.02804,0.04794
2005,3rd Quintile,West,"Yes, less frequently",0.15421,223,1419,0.13541,0.17300
2005,3rd Quintile,East,"No, never",0.59068,304,458,0.54560,0.63576
2005,3rd Quintile,East,"Yes, every 2 weeks",0.13710,61,458,0.10557,0.16864
2005,3rd Quintile,East,"Yes, less frequently",0.19093,93,458,0.15489,0.22696
2005,4th Quintile,West,"No, never",0.62748,1284,2000,0.60628,0.64867
2005,4th Quintile,West,"Yes, every week",0.06042,106,2000,0.04997,0.07086
2005,4th Quintile,West,"Yes, every 2 weeks",0.08499,152,2000,0.07277,0.09722
2005,4th Quintile,West,"Yes, every 3-4 weeks",0.05219,105,2000,0.04244,0.06194
2005,4th Quintile,West,"Yes, less frequently",0.17492,353,2000,0.15827,0.19158
2005,4th Quintile,East,"No, never",0.58170,367,559,0.54077,0.62262
2005,4th Quintile,East,"Yes, every week",0.05678,32,559,0.03758,0.07599
2005,4th Quintile,East,"Yes, every 2 weeks",0.11534,53,559,0.08884,0.14185
2005,4th Quintile,East,"Yes, less frequently",0.18491,107,559,0.15269,0.21712
2005,5th Quintile,West,"No, never",0.58235,1993,3338,0.56562,0.59908
2005,5th Quintile,West,"Yes, every week",0.07471,245,3338,0.06579,0.08363
2005,5th Quintile,West,"Yes, every 2 weeks",0.06458,208,3338,0.05624,0.07292
2005,5th Quintile,West,"Yes, every 3-4 weeks",0.06113,188,3338,0.05300,0.06926
2005,5th Quintile,West,"Yes, less frequently",0.21723,704,3338,0.20324,0.23122
2005,5th Quintile,East,"No, never",0.45244,273,546,0.41066,0.49423
2005,5th Quintile,East,"Yes, every week",0.06068,36,546,0.04064,0.08072
2005,5th Quintile,East,"Yes, every 2 weeks",0.13298,61,546,0.10447,0.16149
2005,5th Quintile,East,"Yes, every 3-4 weeks",0.09962,42,546,0.07448,0.12477
2005,5th Quintile,East,"Yes, less frequently",0.25427,134,546,0.21771,0.29083
2007,1st Quintile,West,"No, never",0.69523,525,725,0.66170,0.72876
2007,1st Quintile,West,"Yes, every week",0.06726,48,725,0.04902,0.08551
2007,1st Quintile,West,"Yes, every 2 weeks",0.09580,60,725,0.07436,0.11723
2007,1st Quintile,West,"Yes, less frequently",0.12060,92,725,0.09688,0.14432
2007,1st Quintile,East,"No, never",0.67937,237,312,0.62750,0.73124
2007,1st Quintile,East,"Yes, every 2 weeks",0.10953,40,312,0.07482,0.14424
2007,1st Quintile,East,"Yes, less frequently",0.11998,35,312,0.08387,0.15609
2007,2nd Quintile,West,"No, never",0.67057,752,1126,0.64310,0.69803
2007,2nd Quintile,West,"Yes, every week",0.05624,64,1126,0.04278,0.06970
2007,2nd Quintile,West,"Yes, every 2 weeks",0.07884,87,1126,0.06309,0.09459
2007,2nd Quintile,West,"Yes, every 3-4 weeks",0.04973,53,1126,0.03702,0.06243
2007,2nd Quintile,West,"Yes, less frequently",0.14463,170,1126,0.12407,0.16518
