year,age_gr,pgisced97,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,Lower Secondary Level,"No, never",0.033771912374650465,293,10093,0.03370818367777296,0.03383564107152797
2005,17-29 y.,Lower Secondary Level,"Yes, every 2 weeks",0.003271622219420717,33,10093,0.0032514762872041104,0.0032917681516373234
2005,17-29 y.,Upper Secondary Level,"No, never",0.06642000768497454,623,10093,0.06633215751404062,0.06650785785590846
2005,17-29 y.,Upper Secondary Level,"Yes, every week",0.006042454707846107,51,10093,0.0060151141103348986,0.006069795305357316
2005,17-29 y.,Upper Secondary Level,"Yes, every 2 weeks",0.009802967399699677,90,10093,0.009768209224201812,0.009837725575197543
2005,17-29 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.007695954981634349,58,10093,0.007665125159271136,0.007726784803997562
2005,17-29 y.,Upper Secondary Level,"Yes, less frequently",0.01511637026805198,119,10093,0.015073324188665492,0.015159416347438469
2005,17-29 y.,Post-secondary Non-tertiary Level,"No, never",0.013223267822374834,134,10093,0.013182968640494742,0.013263567004254925
2005,17-29 y.,First Stage of Tertiary Education,"No, never",0.00247181534353187,31,10093,0.0024542972039758282,0.002489333483087912
2005,17-29 y.,Second Stage of Tertiary Education,"No, never",0.009195773130133263,102,10093,0.009162098298604163,0.009229447961662363
2005,30-45 y.,Lower Secondary Level,"No, never",0.0180064347657592,167,10093,0.01795952259070357,0.01805334694081483
2005,30-45 y.,Upper Secondary Level,"No, never",0.1502241805993108,1438,10093,0.15009813157491447,0.15035022962370714
2005,30-45 y.,Upper Secondary Level,"Yes, every week",0.012962606412144079,111,10093,0.012922701133048234,0.013002511691239924
2005,30-45 y.,Upper Secondary Level,"Yes, every 2 weeks",0.024118300303297677,210,10093,0.024064176373956397,0.024172424232638958
2005,30-45 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.012255331757980098,111,10093,0.012216516518906644,0.012294146997053553
