,Unnamed: 0,year,quintil_oecd,sex,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,1st Quintile,male,"No, never",0.65252,268,10795,0.58867,0.72236
1,1,2005,1st Quintile,male,"Yes, every week",0.09873,36,10795,0.07211,0.12624
2,2,2005,1st Quintile,male,"Yes, every 2 weeks",0.05897,33,10795,0.04199,0.07964
3,3,2005,1st Quintile,male,"Yes, less frequently",0.18979,85,10795,0.15883,0.22272
4,4,2005,1st Quintile,female,"No, never",0.70976,368,10795,0.65572,0.77761
5,5,2005,1st Quintile,female,"Yes, every week",0.06056,31,10795,0.04592,0.07886
6,6,2005,1st Quintile,female,"Yes, every 2 weeks",0.14616,64,10795,0.11822,0.17233
7,7,2005,1st Quintile,female,"Yes, less frequently",0.08351,49,10795,0.06899,0.10108
8,8,2005,2nd Quintile,male,"No, never",0.64064,515,10795,0.59687,0.6878
9,9,2005,2nd Quintile,male,"Yes, every week",0.04923,46,10795,0.03881,0.06191
10,10,2005,2nd Quintile,male,"Yes, every 2 weeks",0.06945,54,10795,0.05595,0.08372
11,11,2005,2nd Quintile,male,"Yes, every 3-4 weeks",0.05968,40,10795,0.04453,0.07209
12,12,2005,2nd Quintile,male,"Yes, less frequently",0.181,147,10795,0.1583,0.20987
13,13,2005,2nd Quintile,female,"No, never",0.69049,473,10795,0.64346,0.74152
14,14,2005,2nd Quintile,female,"Yes, every week",0.05718,37,10795,0.04491,0.07283
15,15,2005,2nd Quintile,female,"Yes, every 2 weeks",0.14558,100,10795,0.11899,0.17586
16,16,2005,2nd Quintile,female,"Yes, less frequently",0.10675,75,10795,0.0877,0.12816
17,17,2005,3rd Quintile,male,"No, never",0.59846,613,10795,0.56359,0.63898
18,18,2005,3rd Quintile,male,"Yes, every week",0.03597,49,10795,0.02755,0.04478
19,19,2005,3rd Quintile,male,"Yes, every 2 weeks",0.09756,81,10795,0.07881,0.11546
20,20,2005,3rd Quintile,male,"Yes, every 3-4 weeks",0.04573,45,10795,0.03472,0.05918
21,21,2005,3rd Quintile,male,"Yes, less frequently",0.22229,226,10795,0.20005,0.24712
22,22,2005,3rd Quintile,female,"No, never",0.74443,664,10795,0.70519,0.78154
23,23,2005,3rd Quintile,female,"Yes, every 2 weeks",0.1015,94,10795,0.08832,0.11776
24,24,2005,3rd Quintile,female,"Yes, every 3-4 weeks",0.03752,39,10795,0.03004,0.04868
25,25,2005,3rd Quintile,female,"Yes, less frequently",0.11654,107,10795,0.09933,0.13658
26,26,2005,4th Quintile,male,"No, never",0.55531,787,10795,0.52692,0.58785
27,27,2005,4th Quintile,male,"Yes, every week",0.0737,89,10795,0.06216,0.08917
28,28,2005,4th Quintile,male,"Yes, every 2 weeks",0.0851,101,10795,0.07319,0.09976
29,29,2005,4th Quintile,male,"Yes, every 3-4 weeks",0.06196,84,10795,0.05187,0.07203
30,30,2005,4th Quintile,male,"Yes, less frequently",0.22392,308,10795,0.20219,0.24625
31,31,2005,4th Quintile,female,"No, never",0.69632,827,10795,0.65457,0.73268
32,32,2005,4th Quintile,female,"Yes, every week",0.04039,42,10795,0.0314,0.05319
33,33,2005,4th Quintile,female,"Yes, every 2 weeks",0.11684,112,10795,0.10258,0.13667
34,34,2005,4th Quintile,female,"Yes, every 3-4 weeks",0.04337,56,10795,0.03388,0.05218
35,35,2005,4th Quintile,female,"Yes, less frequently",0.10308,132,10795,0.08711,0.11777
36,36,2005,5th Quintile,male,"No, never",0.50622,1095,10795,0.47585,0.53543
37,37,2005,5th Quintile,male,"Yes, every week",0.07267,168,10795,0.06123,0.08497
38,38,2005,5th Quintile,male,"Yes, every 2 weeks",0.06547,158,10795,0.05361,0.07994
39,39,2005,5th Quintile,male,"Yes, every 3-4 weeks",0.07896,152,10795,0.06783,0.09358
40,40,2005,5th Quintile,male,"Yes, less frequently",0.27667,577,10795,0.25171,0.30013
41,41,2005,5th Quintile,female,"No, never",0.66291,1192,10795,0.62824,0.69694
42,42,2005,5th Quintile,female,"Yes, every week",0.07442,115,10795,0.05964,0.08744
43,43,2005,5th Quintile,female,"Yes, every 2 weeks",0.07605,117,10795,0.06442,0.0904
44,44,2005,5th Quintile,female,"Yes, every 3-4 weeks",0.05004,79,10795,0.03985,0.05946
45,45,2005,5th Quintile,female,"Yes, less frequently",0.13658,265,10795,0.12031,0.15482
46,46,2007,1st Quintile,male,"No, never",0.72986,349,11017,0.6639,0.78928
47,47,2007,1st Quintile,male,"Yes, every week",0.07804,36,11017,0.06051,0.09639
48,48,2007,1st Quintile,male,"Yes, every 2 weeks",0.09251,41,11017,0.07134,0.11718
49,49,2007,1st Quintile,male,"Yes, less frequently",0.09959,60,11017,0.08207,0.11838
50,50,2007,1st Quintile,female,"No, never",0.69283,402,11017,0.63971,0.74992
51,51,2007,1st Quintile,female,"Yes, every week",0.0474,31,11017,0.03655,0.06085
52,52,2007,1st Quintile,female,"Yes, every 2 weeks",0.10878,57,11017,0.08865,0.13303
53,53,2007,1st Quintile,female,"Yes, less frequently",0.15099,68,11017,0.12373,0.18051
54,54,2007,2nd Quintile,male,"No, never",0.62047,509,11017,0.57966,0.6602
55,55,2007,2nd Quintile,male,"Yes, every week",0.05399,50,11017,0.03956,0.07038
56,56,2007,2nd Quintile,male,"Yes, every 2 weeks",0.07526,62,11017,0.06028,0.08977
57,57,2007,2nd Quintile,male,"Yes, every 3-4 weeks",0.07278,51,11017,0.0567,0.08853
58,58,2007,2nd Quintile,male,"Yes, less frequently",0.17751,160,11017,0.15937,0.19935
59,59,2007,2nd Quintile,female,"No, never",0.7206,520,11017,0.66543,0.76995
60,60,2007,2nd Quintile,female,"Yes, every week",0.05159,38,11017,0.03834,0.06719
61,61,2007,2nd Quintile,female,"Yes, every 2 weeks",0.10189,80,11017,0.08492,0.12133
62,62,2007,2nd Quintile,female,"Yes, less frequently",0.12592,91,11017,0.1065,0.14479
63,63,2007,3rd Quintile,male,"No, never",0.61517,647,11017,0.58235,0.65813
64,64,2007,3rd Quintile,male,"Yes, every week",0.04962,61,11017,0.03927,0.06106
65,65,2007,3rd Quintile,male,"Yes, every 2 weeks",0.08266,87,11017,0.06993,0.09643
66,66,2007,3rd Quintile,male,"Yes, every 3-4 weeks",0.0777,70,11017,0.06299,0.09103
67,67,2007,3rd Quintile,male,"Yes, less frequently",0.17486,197,11017,0.15581,0.1953
68,68,2007,3rd Quintile,female,"No, never",0.66688,644,11017,0.62217,0.70607
69,69,2007,3rd Quintile,female,"Yes, every week",0.04754,42,11017,0.03666,0.0598
70,70,2007,3rd Quintile,female,"Yes, every 2 weeks",0.12467,116,11017,0.10447,0.1462
71,71,2007,3rd Quintile,female,"Yes, every 3-4 weeks",0.04326,46,11017,0.03347,0.05307
72,72,2007,3rd Quintile,female,"Yes, less frequently",0.11765,114,11017,0.10175,0.13751
73,73,2007,4th Quintile,male,"No, never",0.55335,792,11017,0.51748,0.58328
74,74,2007,4th Quintile,male,"Yes, every week",0.04607,73,11017,0.03694,0.05549
75,75,2007,4th Quintile,male,"Yes, every 2 weeks",0.10125,132,11017,0.08647,0.1161
76,76,2007,4th Quintile,male,"Yes, every 3-4 weeks",0.04945,77,11017,0.04222,0.05839
77,77,2007,4th Quintile,male,"Yes, less frequently",0.24988,335,11017,0.22399,0.27297
78,78,2007,4th Quintile,female,"No, never",0.66446,824,11017,0.62703,0.69673
79,79,2007,4th Quintile,female,"Yes, every week",0.04996,59,11017,0.03895,0.06106
80,80,2007,4th Quintile,female,"Yes, every 2 weeks",0.09709,109,11017,0.0797,0.1135
81,81,2007,4th Quintile,female,"Yes, every 3-4 weeks",0.04727,63,11017,0.03788,0.05822
82,82,2007,4th Quintile,female,"Yes, less frequently",0.14122,177,11017,0.12025,0.1608
83,83,2007,5th Quintile,male,"No, never",0.47546,990,11017,0.44251,0.50529
84,84,2007,5th Quintile,male,"Yes, every week",0.09883,206,11017,0.08535,0.11297
85,85,2007,5th Quintile,male,"Yes, every 2 weeks",0.06715,139,11017,0.05612,0.07765
86,86,2007,5th Quintile,male,"Yes, every 3-4 weeks",0.07252,143,11017,0.062,0.08449
87,87,2007,5th Quintile,male,"Yes, less frequently",0.28604,550,11017,0.26239,0.30699
88,88,2007,5th Quintile,female,"No, never",0.62143,1091,11017,0.58509,0.65766
89,89,2007,5th Quintile,female,"Yes, every week",0.08364,129,11017,0.07151,0.09707
90,90,2007,5th Quintile,female,"Yes, every 2 weeks",0.07725,117,11017,0.06569,0.08857
91,91,2007,5th Quintile,female,"Yes, every 3-4 weeks",0.05131,84,11017,0.04045,0.0609
92,92,2007,5th Quintile,female,"Yes, less frequently",0.16638,298,11017,0.14885,0.18196
93,93,2009,1st Quintile,male,"No, never",0.66987,292,9762,0.60267,0.73329
94,94,2009,1st Quintile,male,"Yes, every week",0.10735,39,9762,0.08191,0.14154
95,95,2009,1st Quintile,male,"Yes, every 2 weeks",0.09507,36,9762,0.06062,0.13786
96,96,2009,1st Quintile,male,"Yes, less frequently",0.12771,61,9762,0.1014,0.15523
97,97,2009,1st Quintile,female,"No, never",0.69901,350,9762,0.64432,0.76673
98,98,2009,1st Quintile,female,"Yes, every week",0.08217,43,9762,0.06037,0.10732
99,99,2009,1st Quintile,female,"Yes, every 2 weeks",0.11191,58,9762,0.08725,0.13554
100,100,2009,1st Quintile,female,"Yes, less frequently",0.10691,54,9762,0.08282,0.13385
101,101,2009,2nd Quintile,male,"No, never",0.60183,424,9762,0.55255,0.65778
102,102,2009,2nd Quintile,male,"Yes, every week",0.0719,54,9762,0.05453,0.09121
103,103,2009,2nd Quintile,male,"Yes, every 2 weeks",0.07395,53,9762,0.05662,0.09314
104,104,2009,2nd Quintile,male,"Yes, every 3-4 weeks",0.06625,36,9762,0.04567,0.09082
105,105,2009,2nd Quintile,male,"Yes, less frequently",0.18607,115,9762,0.15112,0.22443
106,106,2009,2nd Quintile,female,"No, never",0.64398,448,9762,0.57638,0.70714
107,107,2009,2nd Quintile,female,"Yes, every week",0.04057,31,9762,0.02644,0.05997
108,108,2009,2nd Quintile,female,"Yes, every 2 weeks",0.10883,87,9762,0.08842,0.13358
109,109,2009,2nd Quintile,female,"Yes, every 3-4 weeks",0.07153,37,9762,0.05293,0.09535
110,110,2009,2nd Quintile,female,"Yes, less frequently",0.13509,85,9762,0.1068,0.16536
111,111,2009,3rd Quintile,male,"No, never",0.61717,592,9762,0.56957,0.67488
112,112,2009,3rd Quintile,male,"Yes, every week",0.04819,48,9762,0.03531,0.06002
113,113,2009,3rd Quintile,male,"Yes, every 2 weeks",0.07537,72,9762,0.05866,0.09431
114,114,2009,3rd Quintile,male,"Yes, every 3-4 weeks",0.06017,69,9762,0.04703,0.07444
115,115,2009,3rd Quintile,male,"Yes, less frequently",0.1991,203,9762,0.1702,0.22381
116,116,2009,3rd Quintile,female,"No, never",0.66542,603,9762,0.6128,0.72231
117,117,2009,3rd Quintile,female,"Yes, every week",0.06069,46,9762,0.04369,0.07953
118,118,2009,3rd Quintile,female,"Yes, every 2 weeks",0.10006,102,9762,0.08185,0.11998
119,119,2009,3rd Quintile,female,"Yes, every 3-4 weeks",0.0297,37,9762,0.02016,0.04138
120,120,2009,3rd Quintile,female,"Yes, less frequently",0.14413,135,9762,0.12474,0.16629
121,121,2009,4th Quintile,male,"No, never",0.54322,679,9762,0.5003,0.58817
122,122,2009,4th Quintile,male,"Yes, every week",0.05205,68,9762,0.04089,0.06409
123,123,2009,4th Quintile,male,"Yes, every 2 weeks",0.0907,99,9762,0.07345,0.11186
124,124,2009,4th Quintile,male,"Yes, every 3-4 weeks",0.05413,69,9762,0.04378,0.06453
125,125,2009,4th Quintile,male,"Yes, less frequently",0.2599,299,9762,0.22757,0.29063
126,126,2009,4th Quintile,female,"No, never",0.66409,737,9762,0.61931,0.71226
127,127,2009,4th Quintile,female,"Yes, every week",0.0472,59,9762,0.03774,0.06169
128,128,2009,4th Quintile,female,"Yes, every 2 weeks",0.08043,92,9762,0.06736,0.09522
129,129,2009,4th Quintile,female,"Yes, every 3-4 weeks",0.0506,54,9762,0.03664,0.0681
130,130,2009,4th Quintile,female,"Yes, less frequently",0.15767,162,9762,0.13602,0.18316
131,131,2009,5th Quintile,male,"No, never",0.45365,828,9762,0.4189,0.48923
132,132,2009,5th Quintile,male,"Yes, every week",0.11561,173,9762,0.09776,0.13823
133,133,2009,5th Quintile,male,"Yes, every 2 weeks",0.08009,135,9762,0.06712,0.09557
134,134,2009,5th Quintile,male,"Yes, every 3-4 weeks",0.07458,122,9762,0.05798,0.09475
135,135,2009,5th Quintile,male,"Yes, less frequently",0.27607,484,9762,0.25189,0.30361
136,136,2009,5th Quintile,female,"No, never",0.60334,915,9762,0.56365,0.65148
137,137,2009,5th Quintile,female,"Yes, every week",0.07942,126,9762,0.0651,0.09303
138,138,2009,5th Quintile,female,"Yes, every 2 weeks",0.06993,110,9762,0.05673,0.08437
139,139,2009,5th Quintile,female,"Yes, every 3-4 weeks",0.05903,77,9762,0.04308,0.07659
140,140,2009,5th Quintile,female,"Yes, less frequently",0.18829,264,9762,0.16344,0.21382
141,141,2011,1st Quintile,male,"No, never",0.66161,576,12879,0.59084,0.75098
142,142,2011,1st Quintile,male,"Yes, every week",0.07447,77,12879,0.06003,0.09262
143,143,2011,1st Quintile,male,"Yes, every 2 weeks",0.08263,80,12879,0.04999,0.12193
144,144,2011,1st Quintile,male,"Yes, every 3-4 weeks",0.04483,49,12879,0.02997,0.06271
145,145,2011,1st Quintile,male,"Yes, less frequently",0.13645,118,12879,0.09966,0.17913
146,146,2011,1st Quintile,female,"No, never",0.65054,652,12879,0.58369,0.72283
147,147,2011,1st Quintile,female,"Yes, every week",0.0721,68,12879,0.05069,0.09922
148,148,2011,1st Quintile,female,"Yes, every 2 weeks",0.1313,122,12879,0.09782,0.16157
149,149,2011,1st Quintile,female,"Yes, every 3-4 weeks",0.0388,52,12879,0.02708,0.05185
150,150,2011,1st Quintile,female,"Yes, less frequently",0.10726,90,12879,0.07314,0.1482
151,151,2011,2nd Quintile,male,"No, never",0.58926,739,12879,0.53964,0.65369
152,152,2011,2nd Quintile,male,"Yes, every week",0.07618,77,12879,0.05361,0.10154
153,153,2011,2nd Quintile,male,"Yes, every 2 weeks",0.0852,109,12879,0.06474,0.10596
154,154,2011,2nd Quintile,male,"Yes, every 3-4 weeks",0.04751,80,12879,0.0371,0.05953
