year,bula_h,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,"No, never",0.023051083997977683,193,10533,0.022999450170604962,0.023102717825350404
2005,Schleswig-Holstein,"Yes, less frequently",0.010463095650302907,88,10533,0.010428085110272482,0.010498106190333333
2005,Hamburg,"No, never",0.011889389984390545,104,10533,0.011852096300807788,0.011926683667973302
2005,Lower Saxony,"No, never",0.05706611507562932,550,10533,0.056986300448447824,0.05714592970281082
2005,Lower Saxony,"Yes, every week",0.00791867690201668,77,10533,0.007888180215005888,0.007949173589027471
2005,Lower Saxony,"Yes, every 2 weeks",0.007835026365238319,80,10533,0.007804689905954237,0.0078653628245224
2005,Lower Saxony,"Yes, every 3-4 weeks",0.004775040046383596,51,10533,0.004751320747208399,0.004798759345558793
2005,Lower Saxony,"Yes, less frequently",0.020704755795470597,186,10533,0.020655761604224165,0.02075374998671703
2005,Bremen,"No, never",0.0038542739611089768,34,10533,0.0038329540473988778,0.0038755938748190758
2005,North Rhine-Westphalia,"No, never",0.1471054100201365,1492,10533,0.14698353499553693,0.14722728504473606
2005,North Rhine-Westphalia,"Yes, every week",0.010744026548469732,115,10533,0.010708554146987917,0.010779498949951546
2005,North Rhine-Westphalia,"Yes, every 2 weeks",0.019966499692101427,201,10533,0.01991836877436128,0.020014630609841575
2005,North Rhine-Westphalia,"Yes, every 3-4 weeks",0.014311354092467017,128,10533,0.014270488014926686,0.014352220170007347
2005,North Rhine-Westphalia,"Yes, less frequently",0.035486806371392975,392,10533,0.03542315023744248,0.035550462505343466
2005,Hesse,"No, never",0.0520543927105963,478,10533,0.05197796108167556,0.052130824339517046
2005,Hesse,"Yes, every week",0.006876473452558792,57,10533,0.006848039499993686,0.006904907405123897
2005,Hesse,"Yes, every 2 weeks",0.006271393604133537,60,10533,0.00624423117292098,0.0062985560353460935
2005,Hesse,"Yes, every 3-4 weeks",0.005640533620599017,44,10533,0.005614765394852686,0.005666301846345348
2005,Hesse,"Yes, less frequently",0.016336182391890365,157,10533,0.016292565837994214,0.016379798945786516
2005,"Rhineland-Palatinate, Saarland","No, never",0.040451640663068285,410,10533,0.04038385244496801,0.04051942888116856
2005,"Rhineland-Palatinate, Saarland","Yes, every week",0.0045099658342715445,38,10533,0.004486911223292289,0.0045330204452508
2005,"Rhineland-Palatinate, Saarland","Yes, every 2 weeks",0.006016074270949805,51,10533,0.005989467082271209,0.006042681459628401
2005,"Rhineland-Palatinate, Saarland","Yes, every 3-4 weeks",0.002887264806634002,35,10533,0.00286880325691238,0.002905726356355624
2005,"Rhineland-Palatinate, Saarland","Yes, less frequently",0.009799844932433388,109,10533,0.009765950855493042,0.009833739009373734
2005,Baden-Wuerttemberg,"No, never",0.09376958018480663,947,10533,0.09366927970326715,0.09386988066634612
2005,Baden-Wuerttemberg,"Yes, every week",0.006036354767171257,70,10533,0.0060097030410178436,0.00606300649332467
2005,Baden-Wuerttemberg,"Yes, every 2 weeks",0.01336828405311275,90,10533,0.013328768498420594,0.013407799607804905
2005,Baden-Wuerttemberg,"Yes, every 3-4 weeks",0.006422898393362596,62,10533,0.006395411919650232,0.0064503848670749596
2005,Baden-Wuerttemberg,"Yes, less frequently",0.01900857421777086,196,10533,0.018961589124719312,0.01905555931082241
2005,Bavaria,"No, never",0.10459557249330927,1072,10533,0.10449027476943214,0.1047008702171864
2005,Bavaria,"Yes, every week",0.010374037309915707,98,10533,0.010339174518531852,0.010408900101299561
2005,Bavaria,"Yes, every 2 weeks",0.011660150329575012,112,10533,0.011623213642327724,0.0116970870168223
2005,Bavaria,"Yes, every 3-4 weeks",0.008605963192867036,81,10533,0.008574181603839126,0.008637744781894946
2005,Bavaria,"Yes, less frequently",0.027061552819157005,282,10533,0.027005722288785998,0.027117383349528013
2005,Berlin,"No, never",0.023122790709564127,207,10533,0.023071078531874904,0.02317450288725335
