year,migback,regtyp,plb0219_v1,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2005,No migration background,Urban regions,"No, never",0.6200829875518672,25520,0.6141279429965112,0.6260380321072232
2005,No migration background,Urban regions,"Yes, less frequently",0.19269709543568464,25520,0.18785791764757268,0.1975362732237966
2005,No migration background,Urban regions,"Yes, every 2 weeks",0.08215767634854772,25520,0.07878849917069064,0.0855268535264048
2005,No migration background,Urban regions,"Yes, every week",0.055767634854771785,25520,0.05295219476296076,0.05858307494658281
2005,No migration background,Urban regions,"Yes, every 3-4 weeks",0.04929460580912863,25520,0.04663854254977591,0.05195066906848135
2005,No migration background,Rural regions,"No, never",0.5952308162641394,25520,0.5892085193913006,0.6012531131369783
2005,No migration background,Rural regions,"Yes, less frequently",0.189850198715989,25520,0.18503843902944245,0.19466195840253553
2005,No migration background,Rural regions,"Yes, every 2 weeks",0.08957505350045858,25520,0.08607131771307466,0.0930787892878425
2005,No migration background,Rural regions,"Yes, every week",0.06725771935188016,25520,0.06418468343339226,0.07033075527036806
2005,No migration background,Rural regions,"Yes, every 3-4 weeks",0.05808621216753287,25520,0.055216371127942254,0.06095605320712348
2005,Direct migration background,Urban regions,"No, never",0.7052200614124872,25520,0.6996260026066659,0.7108141202183085
2005,Direct migration background,Urban regions,"Yes, less frequently",0.11770726714431934,25520,0.11375338494718058,0.1216611493414581
2005,Direct migration background,Urban regions,"Yes, every 2 weeks",0.07267144319344933,25520,0.06948640645754163,0.07585647992935703
2005,Direct migration background,Urban regions,"Yes, every week",0.052200614124872056,25520,0.04947156248239354,0.054929665767350574
2005,Direct migration background,Urban regions,"Yes, every 3-4 weeks",0.052200614124872056,25520,0.04947156248239354,0.054929665767350574
2005,Direct migration background,Rural regions,"No, never",0.7028571428571428,25520,0.69725012531053,0.7084641604037557
2005,Direct migration background,Rural regions,"Yes, less frequently",0.12,25520,0.11601298659870964,0.12398701340129036
2005,Direct migration background,Rural regions,"Yes, every 2 weeks",0.09142857142857143,25520,0.08789237614041391,0.09496476671672895
2005,Direct migration background,Rural regions,"Yes, every 3-4 weeks",0.05142857142857143,25520,0.04871867316676497,0.05413846969037789
2005,Direct migration background,Rural regions,"Yes, every week",0.03428571428571429,25520,0.032053187567265135,0.03651824100416344
2005,Indirect migration background,Urban regions,"No, never",0.6768447837150128,25520,0.6711067134144026,0.6825828540156229
2005,Indirect migration background,Urban regions,"Yes, less frequently",0.11959287531806616,25520,0.11561171043758908,0.12357404019854323
2005,Indirect migration background,Urban regions,"Yes, every 2 weeks",0.08142493638676845,25520,0.07806947862695902,0.08478039414657788
2005,Indirect migration background,Urban regions,"Yes, every week",0.06870229007633588,25520,0.06559883394568285,0.07180574620698892
2005,Indirect migration background,Urban regions,"Yes, every 3-4 weeks",0.05343511450381679,25520,0.05067578030690638,0.056194448700727206
2005,Indirect migration background,Rural regions,"No, never",0.7192982456140351,25520,0.7137851845818921,0.7248113066461781
2005,Indirect migration background,Rural regions,"Yes, every 2 weeks",0.12280701754385964,25520,0.11878007991744645,0.12683395517027285
2005,Indirect migration background,Rural regions,"Yes, less frequently",0.10526315789473684,25520,0.10149784047158232,0.10902847531789135
