year,pgisced97,regtyp,plb0219_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,Primary Level,Urban regions,"No, never",0.006445768816922401,43,10414,0.0064181028336745705,0.006473434800170232
2005,Lower Secondary Level,Urban regions,"No, never",0.05059711550157205,454,10414,0.05052134483439758,0.050672886168746524
2005,Lower Secondary Level,Urban regions,"Yes, every week",0.004479845083617182,33,10414,0.004456757978251196,0.004502932188983169
2005,Lower Secondary Level,Urban regions,"Yes, every 2 weeks",0.00655882893973117,50,10414,0.006530922965566325,0.006586734913896015
2005,Lower Secondary Level,Urban regions,"Yes, less frequently",0.0057737466323403855,49,10414,0.0057475536811962295,0.0057999395834845415
2005,Lower Secondary Level,Rural regions,"No, never",0.019454225269159176,178,10414,0.0194064774143047,0.019501973124013652
2005,Upper Secondary Level,Urban regions,"No, never",0.2369290324770939,2267,10414,0.23678203679963508,0.23707602815455273
2005,Upper Secondary Level,Urban regions,"Yes, every week",0.015801876100032548,148,10414,0.015758763069564707,0.01584498913050039
2005,Upper Secondary Level,Urban regions,"Yes, every 2 weeks",0.03089026964899179,281,10414,0.0308304546244532,0.030950084673530377
2005,Upper Secondary Level,Urban regions,"Yes, every 3-4 weeks",0.01802580355065196,144,10414,0.017979808583474047,0.018071798517829876
2005,Upper Secondary Level,Urban regions,"Yes, less frequently",0.0558020699339192,520,10414,0.05572271578557517,0.05588142408226323
2005,Upper Secondary Level,Rural regions,"No, never",0.11034417356033303,1161,10414,0.11023585604848932,0.11045249107217675
2005,Upper Secondary Level,Rural regions,"Yes, every week",0.012502808042588952,109,10414,0.012464394472210342,0.012541221612967562
2005,Upper Secondary Level,Rural regions,"Yes, every 2 weeks",0.01823430564494507,179,10414,0.01818805034517511,0.018280560944715026
2005,Upper Secondary Level,Rural regions,"Yes, every 3-4 weeks",0.01037310767945384,101,10414,0.010338080663049407,0.010408134695858273
2005,Upper Secondary Level,Rural regions,"Yes, less frequently",0.030816535990150305,325,10414,0.030756790123404584,0.030876281856896025
2005,Post-secondary Non-tertiary Level,Urban regions,"No, never",0.040698613378908836,391,10414,0.04063030400559725,0.04076692275222042
