year,age_gr,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Heterosexual,0.79775,3343,3562,0.78455,0.81094
2016,17-29 y.,Homosexual,0.01229,36,3562,0.00867,0.01591
2016,17-29 y.,Bisexual,0.01382,61,3562,0.00999,0.01766
2016,17-29 y.,No answer/ Do not wish to respond,0.02641,122,3562,0.02114,0.03168
2016,30-45 y.,Heterosexual,0.88426,6374,6646,0.87657,0.89195
2016,30-45 y.,Homosexual,0.01566,55,6646,0.01268,0.01865
2016,30-45 y.,Bisexual,0.00549,33,6646,0.00371,0.00726
2016,30-45 y.,No answer/ Do not wish to respond,0.02934,184,6646,0.02528,0.03339
2016,46-65 y.,Heterosexual,0.83926,7391,7841,0.83113,0.84739
2016,46-65 y.,Homosexual,0.01057,53,7841,0.00831,0.01283
2016,46-65 y.,No answer/ Do not wish to respond,0.05493,397,7841,0.04989,0.05997
2016,66 and older,Heterosexual,0.75943,3701,4057,0.74627,0.77258
2016,66 and older,No answer/ Do not wish to respond,0.09345,356,4057,0.08450,0.10241
2019,17-29 y.,Heterosexual,0.81122,3374,3717,0.79863,0.82380
2019,17-29 y.,Homosexual,0.00891,47,3717,0.00589,0.01193
2019,17-29 y.,Bisexual,0.01957,138,3717,0.01512,0.02402
2019,17-29 y.,No answer/ Do not wish to respond,0.03303,158,3717,0.02728,0.03877
2019,30-45 y.,Heterosexual,0.91460,5780,6126,0.90761,0.92160
2019,30-45 y.,Homosexual,0.00863,71,6126,0.00632,0.01095
2019,30-45 y.,Bisexual,0.00973,88,6126,0.00727,0.01218
2019,30-45 y.,No answer/ Do not wish to respond,0.03170,187,6126,0.02732,0.03609
2019,46-65 y.,Heterosexual,0.92311,9646,10192,0.91794,0.92828
2019,46-65 y.,Homosexual,0.00606,85,10192,0.00455,0.00756
2019,46-65 y.,Bisexual,0.00322,63,10192,0.00212,0.00432
2019,46-65 y.,No answer/ Do not wish to respond,0.04774,398,10192,0.04360,0.05188
2019,66 and older,Heterosexual,0.86402,4600,5024,0.85454,0.87350
2019,66 and older,No answer/ Do not wish to respond,0.10960,424,5024,0.10096,0.11824
