year,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Heterosexual,0.70306,16552,17615,0.69631,0.70980
2016,West,Homosexual,0.00952,136,17615,0.00809,0.01096
2016,West,Bisexual,0.00408,99,17615,0.00314,0.00503
2016,West,No answer/ Do not wish to respond,0.04446,828,17615,0.04142,0.04751
2016,East,Heterosexual,0.69531,4257,4519,0.68189,0.70873
2016,East,Bisexual,0.00528,31,4519,0.00316,0.00739
2016,East,No answer/ Do not wish to respond,0.04910,231,4519,0.04280,0.05540
2019,West,Heterosexual,0.75309,18346,19641,0.74706,0.75912
2019,West,Homosexual,0.00519,176,19641,0.00419,0.00620
2019,West,Bisexual,0.00553,232,19641,0.00450,0.00657
2019,West,No answer/ Do not wish to respond,0.04764,887,19641,0.04466,0.05062
2019,East,Heterosexual,0.76220,5054,5458,0.75091,0.77350
2019,East,Homosexual,0.00651,44,5458,0.00438,0.00864
2019,East,Bisexual,0.00972,80,5458,0.00712,0.01232
2019,East,No answer/ Do not wish to respond,0.04934,280,5458,0.04359,0.05508
