year,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Heterosexual,0.71081,13698,14538,0.70344,0.71818
2016,Urban regions,Homosexual,0.01115,126,14538,0.00944,0.01286
2016,Urban regions,Bisexual,0.00472,98,14538,0.00361,0.00584
2016,Urban regions,No answer/ Do not wish to respond,0.04073,616,14538,0.03752,0.04395
2016,Rural regions,Heterosexual,0.68235,7111,7617,0.67190,0.69281
2016,Rural regions,Homosexual,0.00390,31,7617,0.00250,0.00530
2016,Rural regions,Bisexual,0.00337,32,7617,0.00207,0.00467
2016,Rural regions,No answer/ Do not wish to respond,0.05493,443,7617,0.04981,0.06005
2019,Urban regions,Heterosexual,0.76430,15204,16318,0.75779,0.77081
2019,Urban regions,Homosexual,0.00624,169,16318,0.00503,0.00745
2019,Urban regions,Bisexual,0.00670,232,16318,0.00544,0.00795
2019,Urban regions,No answer/ Do not wish to respond,0.04773,713,16318,0.04446,0.05100
2019,Rural regions,Heterosexual,0.76955,8196,8781,0.76074,0.77835
2019,Rural regions,Homosexual,0.00386,51,8781,0.00257,0.00516
2019,Rural regions,Bisexual,0.00555,80,8781,0.00400,0.00711
2019,Rural regions,No answer/ Do not wish to respond,0.05065,454,8781,0.04607,0.05524
