year,age_gr,pgisced97,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Pre-primary Level,Heterosexual,0.40009,294,294,0.34399,0.45618
2016,17-29 y.,Primary Level,Heterosexual,0.69543,66,66,0.58354,0.80731
2016,17-29 y.,Lower Secondary Level,Heterosexual,0.74156,650,650,0.70787,0.77524
2016,17-29 y.,Upper Secondary Level,Heterosexual,0.86208,1289,1334,0.84357,0.88059
2016,17-29 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.03224,45,1334,0.02276,0.04173
2016,17-29 y.,Post-secondary Non-tertiary Level,Heterosexual,0.86177,243,243,0.81828,0.90525
2016,17-29 y.,First Stage of Tertiary Education,Heterosexual,0.90419,44,44,0.81622,0.99216
2016,17-29 y.,Second Stage of Tertiary Education,Heterosexual,0.91635,364,364,0.88786,0.94483
2016,30-45 y.,Primary Level,Heterosexual,0.85130,148,148,0.79378,0.90882
2016,30-45 y.,Lower Secondary Level,Heterosexual,0.79046,522,553,0.75651,0.82442
2016,30-45 y.,Lower Secondary Level,No answer/ Do not wish to respond,0.05191,31,553,0.03341,0.07042
2016,30-45 y.,Upper Secondary Level,Heterosexual,0.86405,2612,2693,0.85110,0.87699
2016,30-45 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.03540,81,2693,0.02842,0.04238
2016,30-45 y.,Post-secondary Non-tertiary Level,Heterosexual,0.94238,847,847,0.92668,0.95808
2016,30-45 y.,First Stage of Tertiary Education,Heterosexual,0.86887,310,310,0.83123,0.90651
2016,30-45 y.,Second Stage of Tertiary Education,Heterosexual,0.92202,1883,1916,0.91002,0.93403
2016,30-45 y.,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.02034,33,1916,0.01401,0.02666
2016,46-65 y.,Primary Level,Heterosexual,0.75814,106,106,0.67624,0.84005
2016,46-65 y.,Lower Secondary Level,Heterosexual,0.78096,473,510,0.74503,0.81689
2016,46-65 y.,Lower Secondary Level,No answer/ Do not wish to respond,0.07197,37,510,0.04952,0.09443
2016,46-65 y.,Upper Secondary Level,Heterosexual,0.82732,3476,3687,0.81512,0.83952
2016,46-65 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.05785,211,3687,0.05032,0.06539
2016,46-65 y.,Post-secondary Non-tertiary Level,Heterosexual,0.88719,645,677,0.86334,0.91104
2016,46-65 y.,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.04660,32,677,0.03071,0.06248
2016,46-65 y.,First Stage of Tertiary Education,Heterosexual,0.86837,601,601,0.84132,0.89542
2016,46-65 y.,Second Stage of Tertiary Education,Heterosexual,0.86580,2051,2131,0.85132,0.88028
2016,46-65 y.,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.04860,80,2131,0.03947,0.05773
2016,66 and older,Lower Secondary Level,Heterosexual,0.69411,442,507,0.65396,0.73426
2016,66 and older,Lower Secondary Level,No answer/ Do not wish to respond,0.13866,65,507,0.10855,0.16877
2016,66 and older,Upper Secondary Level,Heterosexual,0.74880,1848,2034,0.72995,0.76765
2016,66 and older,Upper Secondary Level,No answer/ Do not wish to respond,0.09104,186,2034,0.07854,0.10355
2016,66 and older,Post-secondary Non-tertiary Level,Heterosexual,0.73665,102,102,0.65075,0.82255
2016,66 and older,First Stage of Tertiary Education,Heterosexual,0.76178,254,254,0.70929,0.81427
2016,66 and older,Second Stage of Tertiary Education,Heterosexual,0.85090,1012,1066,0.82951,0.87229
2016,66 and older,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.04653,54,1066,0.03388,0.05918
2019,17-29 y.,Pre-primary Level,Heterosexual,0.53799,288,288,0.48031,0.59567
2019,17-29 y.,Primary Level,Heterosexual,0.56022,64,64,0.43765,0.68279
2019,17-29 y.,Lower Secondary Level,Heterosexual,0.72744,608,644,0.69302,0.76186
2019,17-29 y.,Lower Secondary Level,No answer/ Do not wish to respond,0.06618,36,644,0.04696,0.08539
2019,17-29 y.,Upper Secondary Level,Heterosexual,0.89090,1361,1476,0.87499,0.90681
2019,17-29 y.,Upper Secondary Level,Bisexual,0.02393,66,1476,0.01613,0.03173
2019,17-29 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.02807,49,1476,0.01964,0.03650
2019,17-29 y.,Post-secondary Non-tertiary Level,Heterosexual,0.89012,251,251,0.85136,0.92889
2019,17-29 y.,First Stage of Tertiary Education,Heterosexual,0.89740,53,53,0.81492,0.97987
2019,17-29 y.,Second Stage of Tertiary Education,Heterosexual,0.88383,402,402,0.85247,0.91519
2019,30-45 y.,Primary Level,Heterosexual,0.74389,128,128,0.66798,0.81980
2019,30-45 y.,Lower Secondary Level,Heterosexual,0.86148,464,464,0.83001,0.89295
2019,30-45 y.,Upper Secondary Level,Heterosexual,0.91039,2176,2302,0.89872,0.92206
2019,30-45 y.,Upper Secondary Level,Bisexual,0.01462,41,2302,0.00971,0.01952
2019,30-45 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.04323,85,2302,0.03492,0.05153
2019,30-45 y.,Post-secondary Non-tertiary Level,Heterosexual,0.94477,747,747,0.92837,0.96116
2019,30-45 y.,First Stage of Tertiary Education,Heterosexual,0.96489,336,336,0.94518,0.98460
2019,30-45 y.,Second Stage of Tertiary Education,Heterosexual,0.93086,1862,1936,0.91956,0.94217
2019,30-45 y.,Second Stage of Tertiary Education,Homosexual,0.01254,39,1936,0.00758,0.01749
2019,30-45 y.,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.01501,35,1936,0.00959,0.02042
2019,46-65 y.,Primary Level,Heterosexual,0.73626,114,114,0.65501,0.81751
2019,46-65 y.,Lower Secondary Level,Heterosexual,0.91241,599,640,0.89049,0.93433
2019,46-65 y.,Lower Secondary Level,No answer/ Do not wish to respond,0.07292,41,640,0.05276,0.09308
2019,46-65 y.,Upper Secondary Level,Heterosexual,0.91438,4247,4518,0.90622,0.92254
2019,46-65 y.,Upper Secondary Level,Homosexual,0.00636,40,4518,0.00404,0.00868
2019,46-65 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.05780,231,4518,0.05099,0.06461
2019,46-65 y.,Post-secondary Non-tertiary Level,Heterosexual,0.92945,872,903,0.91274,0.94617
2019,46-65 y.,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.04408,31,903,0.03069,0.05748
2019,46-65 y.,First Stage of Tertiary Education,Heterosexual,0.94644,824,824,0.93105,0.96182
2019,46-65 y.,Second Stage of Tertiary Education,Heterosexual,0.95399,2929,3012,0.94651,0.96148
2019,46-65 y.,Second Stage of Tertiary Education,Homosexual,0.00659,31,3012,0.00370,0.00948
2019,46-65 y.,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.01679,52,3012,0.01220,0.02138
2019,66 and older,Lower Secondary Level,Heterosexual,0.81954,467,538,0.78702,0.85207
2019,66 and older,Lower Secondary Level,No answer/ Do not wish to respond,0.15827,71,538,0.12740,0.18914
2019,66 and older,Upper Secondary Level,Heterosexual,0.86135,2271,2501,0.84781,0.87490
2019,66 and older,Upper Secondary Level,No answer/ Do not wish to respond,0.11760,230,2501,0.10497,0.13022
2019,66 and older,Post-secondary Non-tertiary Level,Heterosexual,0.84751,143,143,0.78838,0.90664
2019,66 and older,First Stage of Tertiary Education,Heterosexual,0.90824,345,345,0.87773,0.93875
2019,66 and older,Second Stage of Tertiary Education,Heterosexual,0.89173,1320,1396,0.87542,0.90803
2019,66 and older,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.07467,76,1396,0.06088,0.08847
