year,migback,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,No migration background,Heterosexual,0.71878,15242,16240,0.71187,0.72570
2016,No migration background,Homosexual,0.00982,133,16240,0.00831,0.01134
2016,No migration background,Bisexual,0.00463,102,16240,0.00359,0.00568
2016,No migration background,No answer/ Do not wish to respond,0.04652,763,16240,0.04328,0.04976
2016,Direct migration background,Heterosexual,0.77453,4292,4517,0.76234,0.78672
2016,Direct migration background,No answer/ Do not wish to respond,0.05241,225,4517,0.04591,0.05891
2016,Indirect migration background,Heterosexual,0.43876,1275,1346,0.41224,0.46529
2016,Indirect migration background,No answer/ Do not wish to respond,0.02325,71,1346,0.01520,0.03131
2019,No migration background,Heterosexual,0.77680,18332,19635,0.77097,0.78262
2019,No migration background,Homosexual,0.00622,188,19635,0.00512,0.00732
2019,No migration background,Bisexual,0.00653,244,19635,0.00540,0.00765
2019,No migration background,No answer/ Do not wish to respond,0.04887,871,19635,0.04586,0.05189
2019,Direct migration background,Heterosexual,0.82057,3641,3878,0.80850,0.83265
2019,Direct migration background,No answer/ Do not wish to respond,0.05996,237,3878,0.05249,0.06744
2019,Indirect migration background,Heterosexual,0.47201,1427,1524,0.44694,0.49708
2019,Indirect migration background,Bisexual,0.00739,38,1524,0.00309,0.01170
2019,Indirect migration background,No answer/ Do not wish to respond,0.02213,59,1524,0.01475,0.02952
