year,age_gr,migback,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,No migration background,Heterosexual,0.81062,2087,2187,0.79419,0.82704
2016,17-29 y.,No migration background,Bisexual,0.01626,45,2187,0.01096,0.02156
2016,17-29 y.,No migration background,No answer/ Do not wish to respond,0.02726,55,2187,0.02043,0.03408
2016,17-29 y.,Direct migration background,Heterosexual,0.74044,640,674,0.70732,0.77356
2016,17-29 y.,Direct migration background,No answer/ Do not wish to respond,0.01874,34,674,0.00850,0.02899
2016,17-29 y.,Indirect migration background,Heterosexual,0.79013,616,649,0.75878,0.82149
2016,17-29 y.,Indirect migration background,No answer/ Do not wish to respond,0.02881,33,649,0.01593,0.04169
2016,30-45 y.,No migration background,Heterosexual,0.89900,3855,3993,0.88966,0.90835
2016,30-45 y.,No migration background,Homosexual,0.01675,40,3993,0.01277,0.02074
2016,30-45 y.,No migration background,No answer/ Do not wish to respond,0.02591,98,3993,0.02098,0.03083
2016,30-45 y.,Direct migration background,Heterosexual,0.85380,2022,2086,0.83863,0.86896
2016,30-45 y.,Direct migration background,No answer/ Do not wish to respond,0.02693,64,2086,0.01998,0.03388
2016,30-45 y.,Indirect migration background,Heterosexual,0.84098,497,497,0.80880,0.87317
2016,46-65 y.,No migration background,Heterosexual,0.84072,5925,6262,0.83166,0.84979
2016,46-65 y.,No migration background,Homosexual,0.01198,50,6262,0.00929,0.01468
2016,46-65 y.,No migration background,No answer/ Do not wish to respond,0.05234,287,6262,0.04682,0.05786
2016,46-65 y.,Direct migration background,Heterosexual,0.82656,1307,1401,0.80673,0.84640
2016,46-65 y.,Direct migration background,No answer/ Do not wish to respond,0.06970,94,1401,0.05636,0.08304
2016,46-65 y.,Indirect migration background,Heterosexual,0.88233,159,159,0.83209,0.93258
2016,66 and older,No migration background,Heterosexual,0.76146,3375,3698,0.74772,0.77520
2016,66 and older,No migration background,No answer/ Do not wish to respond,0.09076,323,3698,0.08150,0.10002
2016,66 and older,Direct migration background,Heterosexual,0.73846,323,356,0.69274,0.78418
2016,66 and older,Direct migration background,No answer/ Do not wish to respond,0.12010,33,356,0.08628,0.15392
2019,17-29 y.,No migration background,Heterosexual,0.81817,2357,2600,0.80335,0.83300
2019,17-29 y.,No migration background,Homosexual,0.01110,39,2600,0.00707,0.01512
2019,17-29 y.,No migration background,Bisexual,0.02174,107,2600,0.01613,0.02735
2019,17-29 y.,No migration background,No answer/ Do not wish to respond,0.02992,97,2600,0.02337,0.03647
2019,17-29 y.,Direct migration background,Heterosexual,0.72033,373,408,0.67672,0.76394
2019,17-29 y.,Direct migration background,No answer/ Do not wish to respond,0.03041,35,408,0.01373,0.04709
2019,17-29 y.,Indirect migration background,Heterosexual,0.84449,644,644,0.81648,0.87251
2019,30-45 y.,No migration background,Heterosexual,0.92723,3800,4017,0.91920,0.93527
2019,30-45 y.,No migration background,Homosexual,0.01090,58,4017,0.00769,0.01411
2019,30-45 y.,No migration background,Bisexual,0.01141,66,4017,0.00812,0.01469
2019,30-45 y.,No migration background,No answer/ Do not wish to respond,0.02671,93,4017,0.02172,0.03170
2019,30-45 y.,Direct migration background,Heterosexual,0.87296,1479,1554,0.85640,0.88952
2019,30-45 y.,Direct migration background,No answer/ Do not wish to respond,0.04552,75,1554,0.03515,0.05588
2019,30-45 y.,Indirect migration background,Heterosexual,0.92715,501,501,0.90437,0.94993
2019,46-65 y.,No migration background,Heterosexual,0.92771,7997,8415,0.92218,0.93325
2019,46-65 y.,No migration background,Homosexual,0.00644,74,8415,0.00473,0.00815
2019,46-65 y.,No migration background,Bisexual,0.00315,49,8415,0.00195,0.00434
2019,46-65 y.,No migration background,No answer/ Do not wish to respond,0.04445,295,8415,0.04005,0.04885
2019,46-65 y.,Direct migration background,Heterosexual,0.90210,1392,1481,0.88696,0.91724
2019,46-65 y.,Direct migration background,No answer/ Do not wish to respond,0.06349,89,1481,0.05107,0.07592
2019,46-65 y.,Indirect migration background,Heterosexual,0.91242,257,257,0.87779,0.94704
2019,66 and older,No migration background,Heterosexual,0.86593,4178,4564,0.85605,0.87582
2019,66 and older,No migration background,No answer/ Do not wish to respond,0.10831,386,4564,0.09929,0.11732
2019,66 and older,Direct migration background,Heterosexual,0.84248,397,435,0.80821,0.87676
2019,66 and older,Direct migration background,No answer/ Do not wish to respond,0.12668,38,435,0.09538,0.15797
